"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALLR0005","2008-07","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","2,N","8","2,N","0","2,N","0","2,N","0","2,,N,31,+","12.7","2,,N,24,+","57.4","2,,,N","0","2,,,N"
"US1ALLR0005","2008-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","4,N","6","4,N","1","4,N","0","4,N","0","4,,N,31,+","87.9","4,,N,26,","162.2","2,a,,N","0","4,,,N"
"US1ALLR0005","2008-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7",",N","4",",N","0",",N","0",",N","0",",,N,30,+","17.8",",,N,15,","35.4",",,,N","0",",,,N"
"US1ALLR0005","2008-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","5","2,N","5","2,N","1","2,N","0","2,N","0","2,,N,31,+","55.6","2,,N,08,","90.4","2,,,N","0","2,,,N"
"US1ALLR0005","2008-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7","4,N","5","4,N","0","4,N","0","4,N","0","4,,N,30,+","20.1","4,,N,08,","61.5","4,,,N","0","4,,,N"
"US1ALLR0005","2008-12","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","15","2,N","12","2,N","3","2,N","","","","","125.7","2,,N,10,","337.5","2,,,N","",""
"US1ALLR0005","2009-02","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","2,N","5","2,N","1","2,N","","","","","30.2","2,,N,28,","66.6","2,,,N","",""
"US1ALLR0005","2009-03","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10",",N","6",",N","2",",N","","","","","71.1",",,N,26,","155.9",",,,N","",""
"US1ALLR0005","2009-04","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","13","2,N","9","2,N","2","2,N","","","","","47.2","2,,N,03,","140.0","2,,,N","",""
"US1ALLR0005","2009-05","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","16","4,N","10","4,N","2","4,N","","","","","36.1","4,,N,17,","315.2",",a,,N","",""
"US1ALLR0005","2009-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","1,N","5","1,N","2","1,N","","","","","71.9","1,,N,16,","142.8","1,,,N","",""
"US1ALLR0005","2009-07","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","3,N","7","3,N","1","3,N","","","","","43.2","3,,N,05,","89.8","3,,,N","",""
"US1ALLR0005","2009-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","3,N","4","3,N","2","3,N","","","","","55.1","3,,N,19,","110.8","3,,,N","",""
"US1ALLR0005","2009-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","16","3,N","12","3,N","3","3,N","","","","","41.1","3,,N,17,","222.0","3,,,N","",""
"US1ALLR0005","2009-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","19","1,N","14","1,N","3","1,N","","","","","46.7","1,,N,07,","241.9","1,,,N","",""
"US1ALLR0005","2009-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","1,N","4","1,N","1","1,N","","","","","33.5","1,,N,11,","79.5","1,,,N","",""
"US1ALLR0005","2009-12","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11","2,N","8","2,N","1","2,N","","","","","72.4","2,,N,09,","163.4","2,,,N","",""
"US1ALLR0005","2010-01","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","2,N","6","2,N","2","2,N","","","","","37.8","2,,N,17,","102.4","2,,,N","",""
"US1ALLR0005","2010-03","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","14","2,N","12","2,N","0","2,N","","","","","21.6","2,,N,12,","119.9","2,,,N","",""
"US1ALLR0005","2010-04","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","2,N","4","2,N","1","2,N","","","","","41.4","2,,N,25,","80.5","2,,,N","",""
"US1ALLR0005","2010-05","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11","1,N","11","1,N","2","1,N","","","","","41.4","1,,N,03,","156.2","1,,,N","",""
"US1ALLR0005","2010-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11","2,N","7","2,N","0","2,N","","","","","24.9","2,,N,10,","90.3","2,,,N","",""
"US1ALLR0005","2010-07","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","2,N","5","2,N","0","2,N","","","","","11.7","2,,N,13,+","44.3","2,,,N","",""
"US1ALLR0005","2010-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","5,N","3","5,N","0","5,N","","","","","20.3","5,,N,22,","34.1","5,,,N","",""
"US1ALLR0005","2010-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","5","3,N","5","3,N","0","3,N","","","","","18.0","3,,N,26,","47.7","3,,,N","",""
"US1ALLR0005","2010-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","4","2,N","3","2,N","2","2,N","","","","","101.6","2,,N,25,","162.6","2,,,N","",""
"US1ALLR0005","2010-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","2,N","8","2,N","2","2,N","","","","","59.4","2,,N,30,","160.4","2,,,N","",""
"US1ALLR0005","2011-01","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","","","","","","","","","","","","","142.5","3,a,,N","",""
"US1ALLR0005","2011-02","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","1,N","4","1,N","0","1,N","","","","","13.7","1,,N,25,","45.0","1,,,N","",""
"US1ALLR0005","2011-04","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7","5,N","5","5,N","2","5,N","","","","","62.0","5,,N,05,","201.4","3,a,,N","",""
"US1ALLR0005","2011-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10",",N","5",",N","2",",N","","","","","37.6",",,N,18,","103.4",",,,N","",""
"US1ALLR0005","2011-07","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","5,N","5","5,N","1","5,N","","","","","39.4","5,,N,15,","79.8","5,,,N","",""
"US1ALLR0005","2011-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11",",N","7",",N","2",",N","","","","","30.7",",,N,08,","83.6",",,,N","",""
"US1ALLR0005","2011-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","1,N","5","1,N","2","1,N","","","","","95.3","1,,N,06,","172.2","1,,,N","",""
"US1ALLR0005","2011-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7","4,N","3","4,N","0","4,N","","","","","5.1","4,,N,11,","14.4","4,,,N","",""
"US1ALLR0005","2011-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7","5,N","4","5,N","0","5,N","","","","","21.6","5,,N,27,","50.4","5,,,N","",""
"US1ALLR0005","2012-01","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","13","4,N","8","4,N","2","4,N","","","","","53.6","4,,N,23,","171.7","4,,,N","",""
"US1ALLR0005","2012-02","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","12","1,N","6","1,N","0","1,N","","","","","19.3","1,,N,05,","82.8","1,,,N","",""
"US1ALLR0005","2012-03","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","13","2,N","7","2,N","1","2,N","","","","","51.6","2,,N,09,","110.2","2,,,N","",""
"US1ALLR0005","2012-05","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11",",N","8",",N","0",",N","","","","","18.3",",,N,14,","84.9",",,,N","",""
"US1ALLR0005","2012-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","4,N","5","4,N","0","4,N","","","","","20.6","4,,N,04,","38.3","4,,,N","",""
"US1ALLR0005","2012-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","14","1,N","6","1,N","1","1,N","","","","","26.7","1,,N,14,","94.2","1,,,N","",""
"US1ALLR0005","2012-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11","1,N","5","1,N","2","1,N","","","","","63.8","1,,N,18,","110.4","1,,,N","",""
"US1ALLR0005","2012-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","3,N","7","3,N","1","3,N","","","","","32.0","3,,N,02,","90.3","3,,,N","",""
"US1ALLR0005","2012-12","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","5,N","9","5,N","2","5,N","","","","","42.7","5,,N,26,","146.2","5,,,N","",""
"US1ALLR0005","2013-02","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","11","4,N","7","4,N","0","4,N","","","","","19.8","4,,N,22,","82.5","4,,,N","",""
"US1ALLR0005","2013-03","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","12",",N","7",",N","1",",N","","","","","29.5",",,N,24,","143.9",",,,N","",""
"US1ALLR0005","2013-04","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","1,N","8","1,N","2","1,N","","","","","38.4","1,,N,19,","153.0","1,,,N","",""
"US1ALLR0005","2013-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","12","4,N","5","4,N","1","4,N","","","","","25.4","4,,N,10,","69.8","4,,,N","",""
"US1ALLR0005","2013-07","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","18","2,N","9","2,N","3","2,N","","","","","145.0","2,,N,05,","268.7","2,,,N","",""
"US1ALLR0005","2013-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","14","1,N","6","1,N","0","1,N","","","","","21.1","1,,N,08,","57.1","1,,,N","",""
"US1ALLR0005","2013-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","6","2,N","5","2,N","2","2,N","","","","","59.2","2,,N,21,","106.5","2,,,N","",""
"US1ALLR0005","2013-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7",",N","3",",N","0",",N","","","","","17.3",",,N,07,","38.7",",,,N","",""
"US1ALLR0005","2013-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","2,N","7","2,N","1","2,N","","","","","46.5","2,,N,26,","97.0","2,,,N","",""
"US1ALLR0005","2013-12","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","13","1,N","9","1,N","2","1,N","","","","","37.6","1,,N,22,","162.8","1,,,N","",""
"US1ALLR0005","2014-01","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","5","3,N","4","3,N","1","3,N","","","","","39.6","3,,N,11,","62.9","3,,,N","",""
"US1ALLR0005","2014-02","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","9","2,N","8","2,N","2","2,N","","","","","48.3","2,,N,03,","155.8","2,,,N","",""
"US1ALLR0005","2014-03","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","7","4,N","2","4,N","0","4,N","","","","","23.4","4,,N,16,","43.4","1,a,,N","",""
"US1ALLR0005","2014-06","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","14","5,N","9","5,N","2","5,N","","","","","29.5","5,,N,11,","144.8","5,,,N","",""
"US1ALLR0005","2014-08","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","10","4,N","8","4,N","0","4,N","","","","","18.0","4,,N,31,","70.6","4,,,N","",""
"US1ALLR0005","2014-09","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","8","4,N","1","4,N","0","4,N","","","","","15.2","4,,N,01,","22.1","4,,,N","",""
"US1ALLR0005","2014-10","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","12","3,N","7","3,N","2","3,N","","","","","85.9","3,,N,14,","203.8",",a,,N","",""
"US1ALLR0005","2014-11","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","5","2,N","5","2,N","1","2,N","","","","","57.9","2,,N,17,","88.7","2,,,N","",""
"US1ALLR0005","2014-12","34.58187","-87.11093","241.1","TRINITY 1.7 SW, AL US","12","2,N","9","2,N","2","2,N","","","","","62.0","2,,N,24,","186.8","2,,,N","",""
