"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00040232","1955-03","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","1.7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","12",",0","0",",0","","","-0.6",",0,01,","0",",,0,31,+","0",",,0,31,+","10.4",",,0,09,","27.8",",0,27,","128.5",",,,0","","","197.6",",0","13.0",",,,0","0",",,,0","12.01",",0","19.33",",,,0","4.70",",,,0"
"USC00040232","1955-04","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","0.0",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","","","1.1",",0,15,+","0",",,0,30,+","0",",,0,30,+","7.4",",,0,21,","26.7",",0,09,","159.8",",,,0","","","173.5",",0","33.7",",,,0","0",",,,0","12.55",",0","19.25",",,,0","5.85",",,,0"
"USC00040232","1955-05","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","74.8",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","7",",0","","","5.6",",0,13,+","0",",,0,31,+","0",",,0,31,+","8.4",",,0,07,","36.1",",0,22,","247.6",",,,0","","","49.5",",0","16.3",",,,0","0",",,,0","19.15",",0","26.07",",,,0","12.23",",,,0"
"USC00040232","1955-06","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","84.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","","","8.3",",0,19,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","38.9",",0,08,","304.0",",,,0","","","12.5",",0","0.0",",,,0","0",",,,0","20.73",",0","28.96",",,,0","12.50",",,,0"
"USC00040232","1955-07","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","109.2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","8.3",",0,05,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.3",",0,14,","308.8","1,,,0","2.2","0","2.2",",0","0.0",",,,0","0",",,,0","21.78",",0","31.29",",,,0","12.27",",,,0"
"USC00040232","1955-08","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","128.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","6.7",",0,29,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","39.4",",0,03,","269.1",",,,0","2.5","0","0.3",",0","0.0",",,,0","0",",,,0","22.46",",0","34.09",",,,0","10.84",",,,0"
"USC00040232","1955-09","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","114.4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","5.6",",0,29,","0",",,0,30,+","0",",,0,30,+","0.5",",,0,15,","42.8",",0,04,","225.4",",,,0","9.3","0","6.8",",0","0.5",",,,0","0",",,,0","21.92",",0","32.54",",,,0","11.30",",,,0"
"USC00040232","1955-10","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","11.5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","","","5.0",",0,28,","0",",,0,31,+","0",",,0,31,+","2.0",",,0,11,","32.2",",0,14,","138.7",",,,0","53.9","0","44.6",",0","2.0",",,,0","0",",,,0","17.27",",0","26.16",",,,0","8.37",",,,0"
"USC00040232","1955-11","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","1.4","1,0","7",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","9",",0","0",",0","","","0.6","1,0,25,+","0",",,0,30,+","0",",,0,30,+","8.6",",,0,17,","28.3",",0,11,+","60.0",",,,0","255.0","0","201.1",",0","23.5",",,,0","0",",,,0","11.39","1,0","17.73",",,,0","5.04","1,,,0"
"USC00040232","1955-12","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","","","0.0",",0","16",",0","12",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","","","-0.6",",0,30,","0",",,0,31,+","0",",,0,31,+","41.7",",,0,23,","18.3",",0,22,","49.3","2,,,0","521.0","0","266.0",",0","181.5",",,,0","0",",,,0","9.75",",0","13.91",",,,0","5.60",",,,0"
"USC00040232","1956-01","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","0.0","0","0.0","1,0","18",",0","13",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","0",",0","0",",0","","","-1.1","1,0,29,","0",",,0,31,+","0",",,0,31,+","20.6",",,0,25,","15.0",",0,16,+","25.1",",,,0","808.2","0","287.2",",0","118.7",",,,0","0",",,,0","8.78","1,0","12.61",",,,0","4.95","1,,,0"
"USC00040232","1956-02","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","0",",0","0",",0","","","-1.1",",0,17,+","0",",,0,29,+","0",",,0,29,+","9.9",",,0,23,","18.9",",0,23,","72.6",",,,0","1100.1","0","291.9",",0","18.3",",,,0","0",",,,0","8.27",",0","14.59",",,,0","1.95",",,,0"
"USC00040232","1956-03","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","","","-1.1",",0,13,","0",",,0,31,+","0",",,0,31,+","1.0",",,0,05,","25.6",",0,18,","136.9",",,,0","1298.7","0","198.6",",0","1.0",",,,0","0",",,,0","11.93",",0","19.62",",,,0","4.23",",,,0"
"USC00040232","1956-04","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","1.7","0","1.7",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","0.6",",0,12,","0",",,0,30,+","0",",,0,30,+","15.2",",,0,12,","28.9",",0,23,+","139.9",",,,0","1420.2","0","121.5",",0","48.8",",,,0","0",",,,0","14.34",",0","21.95",",,,0","6.73",",,,0"
