"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013886","1999-05","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.3",",W","","","67.9",",W","6",",W","4",",W","0",",W","0",",W","0",",W","0",",W","30",",W","0",",W","","","","","","","8.3",",W,03,","8.6",",,W,06,","31.1",",W,23,","","","9.5",",W","29.9",",,,W","20.22",",W","26.04",",,,W","14.40",",,,W","","","50",",W","40",",W","13.0",",W","16.5",",W"
"USW00013886","1999-06","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.1",",W","","","162.5",",W","9",",W","8",",W","1",",W","0",",W","0",",W","0",",W","29",",W","5",",W","","","","","","","12.8",",W,19,","30.5",",,W,16,","34.4",",W,09,","","","0.0",",W","100.6",",,,W","23.75",",W","28.55",",,,W","18.95",",,,W","","","10",",W","10",",W","11.6",",W","14.3",",W"
"USW00013886","1999-07","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.6",",W","","","260.7",",W","10",",W","6",",W","2",",W","0",",W","0",",W","0",",W","30",",W","17",",W","","","","","","","15.6",",W,13,+","50.5",",,W,05,","38.9",",W,31,","1.6","W","1.6",",W","116.6",",,,W","26.69",",W","31.90",",,,W","21.48",",,,W","","","20",",W","30",",W","17.0",",W","23.7",",W"
"USW00013886","1999-08","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.9",",W","","","283.3",",W","5",",W","2",",W","1",",W","0",",W","0",",W","0",",W","31",",W","21",",W","","","","","","","13.9",",W,31,","42.2",",,W,23,","37.8",",W,14,+","1.6","W","0.0",",W","61.1",",,,W","27.47",",W","33.28",",,,W","21.66",",,,W","","","340",",W","10",",W","11.2",",W","15.2",",W"
"USW00013886","1999-09","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.7",",W","","","128.3",",W","8",",W","7",",W","2",",W","0",",W","0",",W","0",",W","30",",W","6",",W","","","","","","","8.3",",W,23,","52.6",",,W,27,","33.9",",W,08,","6.0","W","4.4",",W","122.3",",,,W","22.46",",W","28.48",",,,W","16.44",",,,W","","","30",",W","30",",W","13.0",",W","17.0",",W"
"USW00013886","1999-10","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.8",",W","","","15.3",",W","12",",W","5",",W","2",",W","0",",W","0",",W","0",",W","18",",W","0",",W","","","","","","","2.2",",W,25,","89.7",",,W,04,","27.2",",W,17,","81.5","W","75.5",",W","189.3",",,,W","16.39",",W","21.25",",,,W","11.53",",,,W","","","10",",W","360",",W","9.8",",W","13.4",",W"
"USW00013886","1999-11","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.8",",W","","","0.0",",W","9",",W","6",",W","1",",W","0",",W","2",",W","0",",W","12",",W","0",",W","","","","","","","-0.6",",W,30,","43.4",",,W,26,","26.1",",W,14,","223.7","W","142.2",",W","98.0",",,,W","13.59",",W","19.61",",,,W","7.58",",,,W","","","20",",W","20",",W","12.5",",W","15.2",",W"
"USW00013886","1999-12","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.8",",W","","","0.0",",W","8",",W","6",",W","0",",W","0",",W","13",",W","0",",W","1",",W","0",",W","","","","","","","-5.0",",W,26,+","18.0",",,W,21,","21.7",",W,05,","548.7","W","325.0",",W","64.5",",,,W","7.85",",W","13.60",",,,W","2.10",",,,W","","","250",",W","250",",W","11.6",",W","15.2",",W"
"USW00013886","2000-01","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.0",",W","0.0","W","0.0",",W","15",",W","9",",W","0",",W","0",",W","16",",W","1",",W","1",",W","0",",W","","","","","","","-8.9",",W,27,","24.4",",,W,10,","22.8",",W,13,","953.5","W","404.8",",W","102.4",",,,W","5.27",",W","9.82",",,,W","0.73",",,,W","","","260",",W","270",",W","12.5",",W","16.1",",W"
"USW00013886","2000-02","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.0",",W","0.0","W","0.0","1,W","6",",W","4",",W","0",",W","0","1,W","8","1,W","0","1,W","5","1,W","0","1,W","","","","","","","-5.6","1,W,01,","20.1",",,W,14,","23.9","1,W,25,","1216.1","W","262.6","1,W","54.1",",,,W","8.95","1,W","15.31","1,,,W","2.59","1,,,W","","","280","1,W","280",",W","16.1","1,W","20.6",",W"
"USW00013886","2000-03","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.4",",W","2.8","W","2.8",",W","7",",W","4",",W","2",",W","0",",W","2",",W","0",",W","15",",W","0",",W","","","","","","","-0.6",",W,13,","54.6",",,W,20,","27.2",",W,08,","1364.0","W","147.9",",W","110.4",",,,W","13.65",",W","19.92",",,,W","7.39",",,,W","","","270",",W","250",",W","15.2",",W","20.6",",W"
"USW00013886","2000-04","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.7",",W","8.3","W","5.5",",W","12",",W","8",",W","1",",W","0",",W","2",",W","0",",W","16",",W","0",",W","","","","","","","0.0",",W,09,+","31.8",",,W,14,","27.2",",W,20,+","1477.6","W","113.6",",W","114.1",",,,W","14.73",",W","20.94",",,,W","8.52",",,,W","","","250",",W","240",",W","12.5",",W","16.1",",W"
"USW00013886","2000-05","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.6",",W","136.4","W","128.1",",W","7",",W","3",",W","2",",W","0",",W","0",",W","0",",W","31",",W","4",",W","","","","","","","10.0",",W,01,","55.1",",,W,02,","33.9",",W,27,","1477.9","W","0.3",",W","90.8",",,,W","22.45",",W","28.56",",,,W","16.35",",,,W","","","40",",W","30",",W","16.1",",W","25.5",",W"
"USW00013886","2000-06","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.9",",W","355.3","W","218.9",",W","9",",W","7",",W","1",",W","0",",W","0",",W","0",",W","30",",W","19",",W","","","","","","","11.1",",W,07,","31.8",",,W,20,","36.1",",W,14,","1477.9","W","0.0",",W","57.5",",,,W","25.63",",W","31.72",",,,W","19.54",",,,W","","","310",",W","290",",W","15.2",",W","18.3",",W"
"USW00013886","2000-07","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.0",",W","612.9","W","257.6",",W","12",",W","6",",W","2",",W","0",",W","0",",W","0",",W","31",",W","19",",W","","","","","","","17.8",",W,25,","27.9",",,W,28,","37.2",",W,11,+","0.0","W","0.0",",W","97.3",",,,W","26.64",",W","32.18",",,,W","21.11",",,,W","","","80",",W","80",",W","13.4",",W","17.0",",W"
"USW00013886","2000-08","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","2.7",",W","841.9","W","229.0",",W","12",",W","5",",W","0",",W","0",",W","0",",W","0",",W","31",",W","11",",W","","","","","","","16.7",",W,22,","15.5",",,W,05,","37.8",",W,18,","0.0","W","0.0",",W","46.5",",,,W","25.72",",W","30.92",",,,W","20.52",",,,W","","","20",",W","10",",W","11.6",",W","16.1",",W"
"USW00013886","2000-09","34.84611","-82.34611","319.4","GREENVILLE DOWNTOWN AIRPORT, SC US","3.3","3,W","946.8","W","104.9","2,W","11","2,W","7","2,W","1","2,W","0","2,W","0","2,W","0","2,W","26","2,W","0","2,W","","","","","","","8.3","2,W,27,","29.0","2,,W,22,","31.7","2,W,24,+","13.3","W","13.3","2,W","107.5","2,,,W","21.61","2,W","26.28","2,,,W","16.93","2,,,W","","","40","2,W","40","2,W","11.6","2,W","14.8","2,W"
