"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00040747","1961-01","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","2","2,0","2","2,0","1","2,0","","","0","4,0","","","","","","","","","","","0","4,T,0,23,","35.1","2,,0,31,","","","70.2",",a,,0","0","4,T,,0","",""
"USC00040747","1961-02","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","6","2,0","5","2,0","0","2,0","","","4",",0","","","","","","","","","","","102",",,0,16,+","23.9","2,,0,11,","","","97.6",",a,,0","382",",,,0","",""
"USC00040747","1961-03","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","16","2,0","14","2,0","1","2,0","","","11",",0","","","","","","","","","","","229",",,0,26,+","40.1","2,,0,06,","","","241.5",",a,,0","1532",",,,0","",""
"USC00040747","1961-04","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","6",",0","3",",0","2",",0","","","","","","","","","","","","","","","","","37.1",",,0,22,","","","98.4",",,,0","","","",""
"USC00040747","1961-05","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","10",",0","8",",0","0",",0","","","","","","","","","","","","","","","","","25.1",",,0,10,","","","114.0",",,,0","","","",""
"USC00040747","1961-06","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","13.7",",,0,01,","","","24.4",",,,0","0",",,,0","",""
"USC00040747","1961-07","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","2",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.5",",,0,03,","","","1.8",",,,0","0",",,,0","",""
"USC00040747","1961-08","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","2",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","2","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,13,","","","44.5",",,,0","0",",,,0","",""
"USC00040747","1961-09","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","15.2",",,0,18,","","","25.9",",,,0","0",",,,0","",""
"USC00040747","1961-10","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","7",",0","7",",0","2",",0","1",",0","0",",0","","","","","","","","","25",",,0,26,","13",",,0,26,","43.7",",,0,21,","","","121.2",",,,0","13",",,,0","",""
"USC00040747","1961-11","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","8",",0","5",",0","1",",0","","","","","","","","","","","","","","","","","64.3",",,0,30,","","","130.1",",,,0","","","",""
"USC00040747","1961-12","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","9",",0","8",",0","2",",0","","","","","","","","","","","","","","","","","31.8",",,0,02,","","","122.6",",,,0","","","",""
"USC00040747","1962-01","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","4","3,0","3","3,0","1","3,0","","","4",",0","","","","","","","","","","","356",",,0,19,","44.5","3,,0,19,","","","148.4",",a,,0","1220",",a,,0","",""
"USC00040747","1962-02","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","17",",0","17",",0","11",",0","","","14",",0","","","","","","","","","","","356",",,0,16,","128.8",",,0,10,","","","618.2",",,,0","2298",",,,0","",""
"USC00040747","1962-03","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","15",",0","12",",0","3",",0","","","11",",0","","","","","","","","","","","686",",,0,02,","63.8",",,0,02,","","","272.4",",,,0","2390",",,,0","",""
"USC00040747","1962-05","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","6",",0","3",",0","0",",0","1","2,0","0","3,0","","","","","","","1","","51","2,,0,16,","0","3,,0,31,+","18.5",",,0,16,","","","31.1",",,,0","0","3,,,0","",""
"USC00040747","1962-06","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","0","1,0","0","1,0","0","1,0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","0.0","1,,0,30,+","","","0.0","1,,,0","0",",,,0","",""
"USC00040747","1962-07","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","1","","0",",,0,31,+","0",",,0,31,+","1.5",",,0,27,","","","1.5",",,,0","0",",,,0","",""
"USC00040747","1962-08","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","9.7",",,0,09,","","","9.7",",,,0","0",",,,0","",""
"USC00040747","1962-09","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","4.1",",,0,28,","","","7.4",",,,0","0",",,,0","",""
"USC00040747","1962-10","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","4",",0","4",",0","4",",0","1",",0","1",",0","","","","","","","","","51",",,0,14,","51",",,0,14,","200.7",",,0,13,","","","617.5",",,,0","51",",,,0","",""
"USC00040747","1962-11","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","6",",0","3",",0","2",",0","5",",0","0","4,0","","","","","","","","","102",",,0,28,+","0","4,,0,30,+","56.1",",,0,27,","","","102.4",",,,0","0","4,,,0","",""
"USC00040747","1962-12","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","6",",0","6",",0","2",",0","0","1,0","0",",0","","","","","","","","","0","1,,0,31,+","0",",,0,31,+","80.8",",,0,03,","","","195.8",",,,0","0",",,,0","",""
"USC00040747","1963-01","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","4",",0","4",",0","2",",0","2",",0","0","2,0","","","","","","","","","127",",,0,30,","0","2,T,0,03,","152.1",",,0,31,","","","246.1",",,,0","0","2,T,,0","",""
"USC00040747","1963-02","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","8",",0","6",",0","3",",0","1",",0","0","1,0","","","","","","","","","51",",,0,13,","0","1,,0,28,+","267.7",",,0,01,","","","367.3",",,,0","0","1,,,0","",""
"USC00040747","1963-03","39.3","-120.51667","1751.1","BIG BEN RANGER STATION, CA US","13",",0","10",",0","4",",0","","","","","","","","","","","","","","","","","89.2",",,0,28,","","","269.7",",,,0","","","",""
