"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027491","1959-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","6","3,I","3","3,I","0","3,I","","","","","","","","","","","","","","","","","11.1","3,,I,28,","","","","","","","30.1","3,,,I","","","","","",""
"RSM00027491","1959-08","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","11.8",",,I,13,","","","","","","","43.9",",,,I","","","","","",""
"RSM00027491","1959-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","11","3,I","6","3,I","0","3,I","","","","","","","","","","","","","","","","","9.9","3,,I,12,","","","","","","","41.0","3,,,I","","","","","",""
"RSM00027491","1959-10","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","16","2,I","6","2,I","0","2,I","","","","","","","","","","","","","","","","","15.4","2,,I,22,","","","","","","","44.7","2,,,I","","","","","",""
"RSM00027491","1959-11","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","11","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","4.6","2,,I,15,","","","","","","","12.2","2,,,I","","","","","",""
"RSM00027491","1959-12","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9","2,I","1","2,I","0","2,I","","","","","","","","","","","","","","","","","5.0","2,,I,30,","","","","","","","13.2","2,,,I","","","","","",""
"RSM00027491","1960-01","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","15",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","3.8",",,I,22,","","","","","","","22.8",",,,I","","","","","",""
"RSM00027491","1960-02","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","18",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","6.9",",,I,16,","","","","","","","28.3",",,,I","","","","","",""
"RSM00027491","1960-03","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","8","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","5.7","1,,I,31,","","","","","","","16.6","1,,,I","","","","","",""
"RSM00027491","1960-04","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","2.7",",,I,24,","","","","","","","7.0",",,,I","","","","","",""
"RSM00027491","1960-05","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.6",",,I,08,","","","","","","","3.8",",,,I","","","","","",""
"RSM00027491","1960-06","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","6","3,I","3","3,I","1","3,I","","","","","","","","","","","","","","","","","28.2","3,,I,18,","","","","","","","49.0","3,,,I","","","","","",""
"RSM00027491","1960-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","9.1",",,I,03,","","","","","","","46.8",",,,I","","","","","",""
"RSM00027491","1960-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13","1,I","6","1,I","0","1,I","","","","","","","","","","","","","","","","","17.2","1,,I,06,","","","","","","","55.5","1,,,I","","","","","",""
