"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA001101Q9A","1989-12","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","15","4,C","13","4,C","1","4,C","0",",C","0",",C","0",",,C,31,+","0",",,C,31,+","28.3","4,,C,07,","98.1","4,,,C","0",",,,C"
"CA001101Q9A","1990-02","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","13","4,C","11","4,C","1","4,C","26","2,C","3","4,C","430","2,,C,01,","150","4,,C,06,","59.6","4,,C,09,","177.9","4,,,C","260","4,,,C"
"CA001101Q9A","1990-03","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","12","3,C","6","3,C","1","3,C","0","1,C","0","2,C","20","1,,C,01,","10","2,,C,07,","29.1","3,,C,09,","100.0","3,,,C","10","2,,,C"
"CA001101Q9A","1990-04","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","17",",C","11",",C","0",",C","0",",C","0",",C","0",",,C,30,+","0",",,C,30,+","22.1",",,C,22,","136.0",",,,C","0",",,,C"
"CA001101Q9A","1990-05","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","17",",C","12",",C","1",",C","0",",C","0",",C","0",",,C,31,+","0",",,C,31,+","29.1",",,C,31,","107.8",",,,C","0",",,,C"
"CA001101Q9A","1990-06","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","19","1,C","11","1,C","3","1,C","0",",C","0",",C","0",",,C,30,+","0",",,C,30,+","35.8","1,,C,06,","144.3","1,,,C","0",",,,C"
"CA001101Q9A","1990-07","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","7",",C","3",",C","0",",C","0",",C","0",",C","0",",,C,31,+","0",",,C,31,+","6.7",",,C,02,","22.5",",,,C","0",",,,C"
"CA001101Q9A","1990-08","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","8","1,C","3","1,C","0","1,C","0",",C","0",",C","0",",,C,31,+","0",",,C,31,+","24.1","1,,C,30,","56.5","1,,,C","0",",,,C"
"CA001101Q9A","1990-09","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","5",",C","3",",C","1",",C","0",",C","0",",C","0",",,C,30,+","0",",,C,30,+","30.5",",,C,15,","42.0",",,,C","0",",,,C"
"CA001101Q9A","1990-10","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","17","4,C","10","4,C","1","4,C","0",",C","0",",C","0",",,C,31,+","0",",,C,31,+","39.4","4,,C,03,","150.3","4,,,C","0",",,,C"
"CA001101Q9A","1990-11","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","","","","","","","0",",C","0","2,C","0",",T,C,27,","0","2,T,C,20,","","","432.9","4,a,,C","0","2,T,,C"
"CA001101Q9A","1991-01","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","15","1,C","13","1,C","4","1,C","31",",C","3",",C","620",",,C,09,","281",",,C,07,","47.3","1,,C,11,","229.0","1,,,C","491",",,,C"
"CA001101Q9A","1991-02","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","17",",C","10",",C","2",",C","1",",C","0",",C","40",",,C,01,","0",",T,C,28,","30.2",",,C,01,","167.4",",,,C","0",",T,,C"
"CA001101Q9A","1991-03","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","17","4,C","6","4,C","0","4,C","","","0","2,C","","","0","2,T,C,10,+","17.3","4,,C,18,","65.1","4,,,C","0","2,T,,C"
"CA001101Q9A","1991-04","49.2667","-122.8333","150.0","COQUITLAM MUNDY PARK 2, BC CA","14",",C","11",",C","1",",C","0",",C","0",",C","0",",,C,30,+","0",",,C,30,+","51.1",",,C,03,","169.9",",,,C","0",",,,C"
