"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00043113","1955-11","38.7","-121.16667","106.7","FOLSOM DAM, CA US","","","0.0",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","8",",0","0",",0","","","-1.7",",0,25,","0",",,0,30,+","0",",,0,30,+","17.3",",,0,14,","27.8",",0,10,+","","","","","226.1",",0","45.3",",,,0","0",",,,0","10.80",",0","17.28",",,,0","4.32",",,,0","2627",",,,0"
"USC00043113","1955-12","38.7","-121.16667","106.7","FOLSOM DAM, CA US","","","0.0",",0","20",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","","","1.1",",0,29,","0",",,0,31,+","0",",,0,31,+","41.7",",,0,23,","17.8",",0,22,+","18.4","5,,,0","","","244.9",",0","310.8",",,,0","0",",,,0","10.43",",0","13.55",",,,0","7.31",",,,0","4136",",,,0"
"USC00043113","1956-01","38.7","-121.16667","106.7","FOLSOM DAM, CA US","0.0","0","0.0",",0","18",",0","16",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","1",",0","0",",0","","","-1.7",",0,31,","0",",,0,31,+","0",",,0,31,+","25.4",",,0,14,","21.1",",0,08,","15.1","2,,,0","","","277.0",",0","205.9",",,,0","0",",,,0","9.40",",0","13.37",",,,0","5.43",",,,0","2464","2,,,0"
"USC00043113","1956-02","38.7","-121.16667","106.7","FOLSOM DAM, CA US","0.0","0","0.0",",0","6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","0",",0","0",",0","","","-2.8",",0,01,","0",",,0,29,+","0",",,0,29,+","27.9",",,0,20,","19.4",",0,09,","59.9",",,,0","","","282.6",",0","68.1",",,,0","0",",,,0","8.59",",0","14.20",",,,0","2.98",",,,0","3906",",,,0"
"USC00043113","1956-03","38.7","-121.16667","106.7","FOLSOM DAM, CA US","0.0","0","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","11",",0","0",",0","","","-1.7",",0,06,","0",",,0,31,+","0",",,0,31,+","1.3",",,0,06,","26.1",",0,30,","131.9",",,,0","","","176.1",",0","2.1",",,,0","0",",,,0","12.65",",0","19.57",",,,0","5.74",",,,0","2810","2,,,0"
"USC00043113","1956-04","38.7","-121.16667","106.7","FOLSOM DAM, CA US","10.3","0","10.3",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","3.9",",0,13,+","0",",,0,30,+","0",",,0,30,+","13.5",",,0,26,","28.9",",0,23,+","137.6",",,,0","","","108.8",",0","43.3",",,,0","0",",,,0","15.05",",0","21.48",",,,0","8.62",",,,0","2428",",,,0"
"USC00043113","1956-05","38.7","-121.16667","106.7","FOLSOM DAM, CA US","53.1","0","42.8",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","3",",0","","","8.3",",0,12,+","0",",,0,31,+","0",",,0,31,+","41.7",",,0,04,","35.0",",0,17,","205.8",",,,0","","","39.8",",0","78.2",",,,0","0",",,,0","18.43",",0","25.54",",,,0","11.32",",,,0","3008",",,,0"
"USC00043113","1956-06","38.7","-121.16667","106.7","FOLSOM DAM, CA US","199.4","0","146.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","8.3",",0,05,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,19,","42.2",",0,28,","283.6",",,,0","","","4.2",",0","0.0",",T,,0","0",",,,0","23.07",",0","31.82",",,,0","14.32",",,,0","2723",",,,0"
"USC00043113","1956-07","38.7","-121.16667","106.7","FOLSOM DAM, CA US","410.4","0","211.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","10.6",",0,13,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","40.6",",0,23,","322.2",",,,0","0.2","0","0.2",",0","0.0",",,,0","0",",,,0","25.13",",0","35.01",",,,0","15.25",",,,0","2764",",,,0"
"USC00043113","1956-08","38.7","-121.16667","106.7","FOLSOM DAM, CA US","575.4","0","165.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","10.6",",0,17,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.3",",0,11,+","268.3",",,,0","0.2","0","0.0",",0","0.0",",,,0","0",",,,0","23.66",",0","33.06",",,,0","14.25",",,,0","2597",",,,0"
