"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419268","1982-01","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  17.2",",,,0,0,2","","","  21.1",",,,0,0,2","   3.3",",,,0,0,2","   7.2",",,,0,0,2","   9.9",",,,0,0,2","  15.9",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-02","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  16.7",",,,0,0,2","","","  23.9",",,,0,0,2","   5.0",",,,0,0,2","   7.8",",,,0,0,2","  11.0",",,,0,0,2","  17.1",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-03","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  22.8",",,,0,0,2","","","  28.9",",,,0,0,2","   8.9",",,,0,0,2","  16.7",",,,0,0,2","  16.5",",,,0,0,2","  22.6",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-04","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  24.4",",,,0,0,2","","","  36.1",",,,0,0,2","  16.1",",,,0,0,2","  18.9",",,,0,0,2","  20.3",",,,0,0,2","  26.9",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-05","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  28.3",",,,0,0,2","","","  37.2",",,,0,0,2","  17.2",",,,0,0,2","  22.2",",,,0,0,2","  22.4",",,,0,0,2","  29.0",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-06","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  30.0",",,,0,0,2","","","  38.3",",,,0,0,2","  25.0",",,,0,0,2","  30.0",",,,0,0,2","  27.9",",,,0,0,2","  35.1",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-07","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  30.6",",,,0,0,2","","","  38.3",",,,0,0,2","  25.6",",,,0,0,2","  30.6",",,,0,0,2","  28.6",",,,0,0,2","  35.7",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-08","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  31.1",",,,0,0,2","","","  38.3",",,,0,0,2","  26.1",",,,0,0,2","  31.7",",,,0,0,2","  29.6",",,,0,0,2","  37.1",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-09","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  31.1","1,,,0,0,2","","","  38.3",",,,0,0,2","  23.9","1,,,0,0,2","  31.7",",,,0,0,2","  28.0","1,,,0,0,2","  35.1",",,,0,0,2","","","","","","","","","","","",""
"USC00419268","1982-10","29.185","-99.8325","280.4","UVALDE 3 SW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  28.9",",,,0,0,2","","","  35.6",",,,0,0,2","  16.7",",,,0,0,2","  21.1",",,,0,0,2","  22.1",",,,0,0,2","  28.5",",,,0,0,2","","","","","","","","","","","",""
