"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013987","1948-01","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","0.0","0","0.0",",X","3",",X","1",",X","0",",X","2",",X","1",",X","1",",X","29",",X","15",",X","0",",X","0",",X","9","","","","","","-18.9",",X,28,","102",",,X,01,","109",",,X,01,","3.6",",,X,01,","17.2",",X,08,","","","636.7",",X","5.1",",,,X","127",",,,X","-2.21",",X","2.74",",,,X","-7.15",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-02","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","0.0","0","0.0",",X","10",",X","7",",X","0",",X","3","2,X","3","1,X","0",",X","21",",X","6",",X","2",",X","0",",X","17","","","","","","-11.1",",X,14,+","76","2,,X,13,","56","1,,X,12,","14.5",",,X,27,+","23.3",",X,18,","","","467.6",",X","54.1",",,,X","109","1,,,X","2.21",",X","7.24",",,,X","-2.82",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-03","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","0.6","0","0.6",",X","11",",X","8",",X","3",",X","4",",X","2",",X","2",",X","15",",X","3",",X","9",",X","0",",X","13","","","","6","","-20.6",",X,12,+","127",",,X,11,","102",",,X,10,","46.5",",,X,01,","26.1",",X,20,","","","381.6",",X","136.5",",,,X","153",",,,X","6.04",",X","11.85",",,,X","0.24",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-04","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","39.4","0","38.8",",X","7",",X","6",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","24",",X","0",",X","4","","","","5","","-1.1",",X,14,","0",",,X,30,+","0",",,X,30,+","17.0",",,X,21,","30.6",",X,17,","","","69.2",",X","54.1",",,,X","0",",,,X","17.32",",X","24.00",",,,X","10.64",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-05","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","96.7","0","57.3",",X","10",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","0",",X","12","","","","9","","5.6",",X,07,","0",",,X,31,+","0",",,X,31,+","23.9",",,X,10,","31.7",",X,22,+","","","37.3",",X","64.1",",,,X","0",",,,X","18.98",",X","25.14",",,,X","12.82",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-06","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","270.7","0","174.0",",X","14",",X","11",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","13",",X","5","","","","14","","11.1",",X,09,","0",",,X,30,+","0",",,X,30,+","66.5",",,X,22,","35.6",",X,11,","","","0.0",",X","343.8",",,,X","0",",,,X","24.13",",X","30.75",",,,X","17.51",",,,X","","","","","","","","","","","","","",""
"USW00013987","1948-07","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","521.7","0","251.0",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","4","","","","13","","16.7",",0,31,","0",",,0,31,+","0",",,0,31,+","73.7",",,0,26,","35.6",",0,28,+","0.0","0","0.0",",0","198.6",",,,0","0",",,,0","26.43",",0","32.50",",,,0","20.35",",,,0","","","","","","","","","","","","","",""
"USW00013987","1948-08","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","741.1","0","219.4",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","10","","","","8","","13.3",",0,06,","0",",,0,31,+","0",",,0,31,+","9.7",",,0,13,+","36.1",",0,22,+","0.0","0","0.0",",0","40.1",",,,0","0",",,,0","25.41",",0","31.48",",,,0","19.34",",,,0","","","","","","","","","","","","","",""
"USW00013987","1948-09","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","869.7","0","128.6",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","5","","","","5","","7.2",",0,25,","0",",,0,30,+","0",",,0,30,+","14.5",",,0,07,","34.4",",0,20,","13.8","0","13.8",",0","24.9",",,,0","0",",,,0","22.16",",0","29.28",",,,0","15.04",",,,0","","","","","","","","","","","","","",""
"USW00013987","1948-10","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","","","876.4","0","6.7",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","4","","","","5","","-2.2",",0,18,","0",",,0,31,+","0",",,0,31,+","15.7",",,0,06,","28.9",",0,15,","134.8","0","121.0",",0","29.7",",,,0","0",",,,0","14.65",",0","22.38",",,,0","6.91",",,,0","","","","","","","","","","","","","",""
