"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"LAW00041076","1966-03","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW00041076","1966-04","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","350.2",",X","7","2,X","6","2,X","1","2,X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","29",",X","7","","7","","22.2",",X,20,+","0",",,X,30,+","0",",,X,30,+","27.7","2,,X,30,","37.8",",X,28,+","","","0.0",",X","73.6","2,,,X","0",",,,X","30.01",",X","35.90",",,,X","24.11",",,,X"
"LAW00041076","1966-05","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","317.0",",X","23","1,X","21","1,X","6","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","25",",X","11","","4","","22.8",",X,26,+","0",",,X,31,+","0",",,X,31,+","49.3","1,,X,17,","36.1",",X,14,+","","","0.0",",X","357.8","1,,,X","0",",,,X","28.56",",X","32.72",",,,X","24.40",",,,X"
"LAW00041076","1966-06","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","292.4",",X","16","2,X","15","2,X","1","2,X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","21",",X","3","","6","","22.8",",X,25,+","0",",,X,30,+","0",",,X,30,+","73.7","2,,X,18,","35.0",",X,01,","","","0.0",",X","196.0","2,,,X","0",",,,X","28.08",",X","32.00",",,,X","24.16",",,,X"
"LAW00041076","1966-07","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","292.7",",X","16","1,X","13","1,X","5","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","18",",X","8","","5","","22.8",",X,29,+","0",",,X,31,+","0",",,X,31,+","78.5","1,,X,23,","33.9",",X,31,+","0.0","X","0.0",",X","332.5","1,,,X","0",",,,X","27.78",",X","31.65",",,,X","23.90",",,,X"
"LAW00041076","1966-08","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","278.1",",X","23","1,X","21","1,X","5","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","14",",X","1","","3","","22.2",",X,08,","0",",,X,31,+","0",",,X,31,+","65.5","1,,X,12,","32.8",",X,28,+","0.0","X","0.0",",X","485.3","1,,,X","0",",,,X","27.30",",X","30.69",",,,X","23.92",",,,X"
"LAW00041076","1966-09","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","279.0",",X","15",",X","13",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","23",",X","13","","1","","18.9",",X,28,","0",",,X,30,+","0",",,X,30,+","62.0",",,X,08,","32.8",",X,30,+","0.0","X","0.0",",X","352.7",",,,X","0",",,,X","27.63",",X","32.06",",,,X","23.20",",,,X"
"LAW00041076","1966-10","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","291.4",",X","6","2,X","4","2,X","0","2,X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","26",",X","20","","","","21.1",",X,20,+","0",",,X,31,+","0",",,X,31,+","10.7","2,,X,23,+","36.1",",X,31,+","0.0","X","0.0",",X","33.9","2,,,X","0",",,,X","27.73",",X","33.10",",,,X","22.36",",,,X"
"LAW00041076","1966-11","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","207.6","1,X","1","1,X","1","1,X","0","1,X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","29","1,X","19","1,X","15","","","","16.1","1,X,07,+","0",",,X,30,+","0",",,X,30,+","16.8","1,,X,12,","35.0","1,X,14,+","0.0","X","0.0","1,X","16.8","1,,,X","0",",,,X","25.49","1,X","31.32","1,,,X","19.67","1,,,X"
"LAW00041076","1966-12","15.68333","106.41667","168.2","SARAVANE L 44, LA","","","227.3",",X","2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","22",",X","8","","","","15.0",",X,29,","0",",,X,31,+","0",",,X,31,+","4.6",",,X,25,","35.0",",X,20,+","0.0","X","0.0",",X","8.9",",,,X","0",",,,X","25.66",",X","31.85",",,,X","19.48",",,,X"
