"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024110","1949-04","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","0.0",",X","0","1,X","0","1,X","0","1,X","0",",X","0",",X","0",",X","3",",X","0",",X","8",",X","0",",X","","","","","","","-1.1",",X,03,","0",",,X,30,+","0",",,X,30,+","0.0","1,T,X,27,+","27.2",",X,17,+","","","202.9",",X","0.0","1,T,,X","0",",,,X","11.57",",X","19.12",",,,X","4.02",",,,X","","","","","","","","","","","","","",""
"USW00024110","1949-05","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","48.8",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","24",",X","5",",X","1","","","","1","","0.0",",X,04,","0",",,X,31,+","0",",,X,31,+","20.8",",,X,01,","35.0",",X,12,+","","","63.3",",X","24.9",",,,X","0",",,,X","17.87",",X","25.03",",,,X","10.71",",,,X","","","","","","","","","","","","","",""
"USW00024110","1949-06","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","65.8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","3",",X","","","","","","","4.4",",X,30,","0",",,X,30,+","0",",,X,30,+","1.3",",,X,16,","36.1",",X,06,","","","33.1",",X","2.3",",,,X","0",",,,X","19.42",",X","26.75",",,,X","12.09",",,,X","","","","","","","338","3,X","","","","","21.0","3,X"
"USW00024110","1949-07","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","130.9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","11",",X","","","","","1","","8.9",",X,01,","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,27,+","38.9",",X,31,","0.9","","0.9",",X","0.0",",T,,X","0",",,,X","22.53",",X","30.31",",,,X","14.75",",,,X","","","","","","","293","4,X","","","","","17.9","4,X"
"USW00024110","1949-08","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","116.1",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","8",",X","","","","","1","","7.8",",X,24,","0",",,X,31,+","0",",,X,31,+","0.3",",,X,02,","38.9",",X,01,","5.0","","4.1",",X","0.3",",,,X","0",",,,X","21.95",",X","29.66",",,,X","14.23",",,,X","","","","","","","338",",X","","","","","14.8",",X"
"USW00024110","1949-09","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","58.8",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","23",",X","3",",X","2","","","","","","3.3",",X,12,","0",",,X,30,+","0",",,X,30,+","2.8",",,X,15,","35.6",",X,01,","54.8","","49.8",",X","5.7",",,,X","0",",,,X","18.63",",X","25.67",",,,X","11.59",",,,X","","","","","","","","","","","","","",""
"USW00024110","1949-10","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","0.0",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","1",",X","0",",X","","","","","","","-6.1",",X,20,+","0",",,X,31,+","0",",T,X,18,","2.5",",,X,07,","21.1",",X,02,","356.7","","301.9",",X","7.1",",,,X","0",",T,,X","8.60",",X","15.29",",,,X","1.90",",,,X","","","","","","","293",",X","","","","","20.1",",X"
"USW00024110","1949-11","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","0.0",",X","11",",X","5",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","0",",X","0",",X","15","","","","","","-1.1",",X,30,","0",",,X,30,+","0",",T,X,10,","8.1",",,X,23,","18.3",",X,02,","697.2","","340.5",",X","32.2",",,,X","0",",T,,X","6.98",",X","11.37",",,,X","2.60",",,,X","","","","","","","203",",X","","","","","25.0",",X"
"USW00024110","1949-12","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","","","0.0",",X","3",",X","1",",X","0",",X","6",",X","2",",X","0",",X","24",",X","5",",X","0",",X","0",",X","7","","","","","","-15.6",",X,19,","25",",,X,22,+","51",",,X,17,","2.5",",,X,25,","12.8",",X,29,","1265.8","","568.6",",X","3.3",",,,X","76",",,,X","-0.01",",X","4.03",",,,X","-4.05",",,,X","","","","","","","180",",X","","","","","18.3",",X"
"USW00024110","1950-01","47.20778","-119.31917","364.5","MOSES LAKE GRANT CO AIRPORT, WA US","","","0.0","X","0.0","2,X","13",",X","4",",X","0",",X","28",",X","11",",X","17","2,X","29","2,X","27",",X","0",",X","0",",X","5","","","","","","-30.0","2,X,17,+","356",",,X,21,+","102",",,X,19,","7.6",",,X,19,","6.7",",X,22,","2182.1","X","916.3",",X","30.3",",,,X","545",",,,X","-13.56","2,X","-8.97",",,,X","-18.14","2,,,X","","","","","","","338",",X","","","","","22.8",",X"
