"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00299156","1904-12","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","","","","","","","","","0",",0","","","","","","","","","","","","","","","","","","","0",",T,0,26,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",T,,0","","","","","","","",""
"USC00299156","1905-01","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","0.0","0","0.0",",0","2",",0","2",",0","0",",0","","","2",",0","2",",0","26",",0","6",",0","0",",0","0",",0","","","","","-19.4",",0,13,","","","102",",,0,10,","6.4",",,0,10,","19.4",",0,30,","","","","","","","489.7",",0","","","","","","","","","","","","","","","11.0",",,,0","153",",,,0","2.54",",0","10.03",",,,0","-4.95",",,,0","",""
"USC00299156","1905-02","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","0.0","0","0.0",",0","3",",0","3",",0","0",",0","","","3",",0","2",",0","25",",0","7",",0","0",",0","0",",0","","","","","-23.9",",0,13,","","","127",",,0,06,","12.7",",,0,06,","18.9",",0,28,","","","","","","","525.2",",0","","","","","","","","","","","","","","","29.3",",,,0","293",",,,0","-0.43",",0","6.76",",,,0","-7.61",",,,0","",""
"USC00299156","1905-03","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","0.0","0","0.0",",0","5",",0","5",",0","1",",0","0",",0","1",",0","0",",0","3",",0","0",",0","7",",0","0",",0","","","","","-1.1",",0,08,","0",",,0,31,+","25",",,0,08,","35.6",",,0,31,","26.1",",0,26,","","","","","","","213.1",",0","","","","","","","","","","","","","","","75.2",",,,0","25",",,,0","11.46",",0","17.89",",,,0","5.03",",,,0","",""
"USC00299156","1905-04","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","4.4","0","4.4","4,0","1",",0","1",",0","1",",0","0",",0","0",",0","0","4,0","5","4,0","0","3,0","13","3,0","1","3,0","","","","","0.0","4,0,24,+","0",",,0,30,+","0",",,0,30,+","53.3",",,0,22,","35.6","3,0,19,","","","","","","","159.7","3,0","","","","","","","","","","","","","","","53.3",",,,0","0",",,,0","12.32","4,0","21.20","3,,,0","3.44","4,,,0","",""
"USC00299156","1905-05","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","43.8","0","39.4",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","1","","4.4",",0,04,+","0",",,0,31,+","0",",,0,31,+","33.0",",,0,20,","29.4",",0,29,","","","","","","","29.6",",0","","","","","","","","","","","","","","","57.2",",,,0","0",",,,0","18.65",",0","25.59",",,,0","11.70",",,,0","",""
"USC00299156","1905-06","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","246.3","0","202.5",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","3","","10.0",",0,21,","0",",,0,30,+","0",",,0,30,+","25.4",",,0,20,","37.2",",0,28,","","","","","","","0.0",",0","","","","","","","","","","","","","","","63.5",",,,0","0",",,,0","25.08",",0","31.87",",,,0","18.30",",,,0","",""
"USC00299156","1905-07","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","4",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","81.3",",,0,22,","","","","","","","","","","","","","","","","","","","","","","","","","103.4",",,,0","0",",,,0","","","","","","","",""
"USC00299156","1905-08","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","201.0","4,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","27","4,0","19","4,0","","","","","15.0","4,0,13,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,06,","36.7","4,0,28,+","","","","","","","0.0","4,0","","","","","","","","","","","","","","","25.7",",,,0","0",",,,0","25.78","4,0","33.31","4,,,0","18.25","4,,,0","",""
"USC00299156","1905-09","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","114.0","2,0","1",",0","1",",0","1",",0","0","1,0","0","1,0","0","2,0","0","2,0","0","2,0","28","2,0","5","2,0","","","1","","6.7","2,0,19,","0","1,,0,30,+","0","1,,0,30,+","63.5",",,0,05,","35.0","2,0,01,","","","","","","","3.9","2,0","","","","","","","","","","","","","","","63.5",",,,0","0","1,,,0","22.27","2,0","29.03","2,,,0","15.51","2,,,0","",""
