"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"KZ000028986","1959-01","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","1",",I","0",",I","0",",I","","","","","","","","","","","0.6",",,I,07,","","","0.8",",,,I","",""
"KZ000028986","1959-02","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","6",",I","0",",I","0",",I","","","","","","","","","","","1.7",",,I,07,","","","5.2",",,,I","",""
"KZ000028986","1959-03","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","11",",I","0",",I","0",",I","","","","","","","","","","","1.8",",,I,25,","","","6.4",",,,I","",""
"KZ000028986","1959-04","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7",",I","3",",I","0",",I","","","","","","","","","","","7.5",",,I,28,","","","24.5",",,,I","",""
"KZ000028986","1959-05","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","3","1,I","0","1,I","0","1,I","","","","","","","","","","","1.8","1,,I,08,","","","4.0","1,,,I","",""
"KZ000028986","1959-06","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7","2,I","2","2,I","0","2,I","","","","","","","","","","","5.8","2,,I,16,","","","16.5","2,,,I","",""
"KZ000028986","1959-07","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","12","1,I","5","1,I","0","1,I","","","","","","","","","","","17.6","1,,I,03,","","","65.7","1,,,I","",""
"KZ000028986","1959-08","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","10",",I","6",",I","0",",I","","","","","","","","","","","6.6",",,I,26,","","","32.9",",,,I","",""
"KZ000028986","1959-09","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5",",I","1",",I","0",",I","","","","","","","","","","","3.0",",,I,10,","","","7.4",",,,I","",""
"KZ000028986","1959-10","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","8",",I","4",",I","0",",I","","","","","","","","","","","5.4",",,I,06,","","","20.3",",,,I","",""
"KZ000028986","1959-11","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","12",",I","1",",I","0",",I","","","","","","","","","","","3.8",",,I,27,","","","14.7",",,,I","",""
"KZ000028986","1959-12","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","6",",I","0",",I","0",",I","","","","","","","","","","","2.4",",,I,04,","","","6.9",",,,I","",""
"KZ000028986","1960-01","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","9",",I","2",",I","0",",I","","","","","","","","","","","5.3",",,I,14,","","","17.6",",,,I","",""
"KZ000028986","1960-02","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5","1,I","1","1,I","0","1,I","","","","","","","","","","","5.3","1,,I,21,","","","9.2","1,,,I","",""
"KZ000028986","1960-03","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7","1,I","3","1,I","0","1,I","","","","","","","","","","","7.3","1,,I,09,","","","17.9","1,,,I","",""
"KZ000028986","1960-04","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","2",",I","2",",I","0",",I","","","","","","","","","","","6.0",",,I,29,","","","10.6",",,,I","",""
"KZ000028986","1960-05","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","9",",I","4",",I","1",",I","","","","","","","","","","","27.5",",,I,09,","","","45.8",",,,I","",""
"KZ000028986","1960-06","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","10",",I","6",",I","0",",I","","","","","","","","","","","14.6",",,I,06,","","","48.5",",,,I","",""
"KZ000028986","1960-07","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","16","2,I","10","2,I","2","2,I","","","","","","","","","","","64.1","2,,I,14,","","","184.6","2,,,I","",""
"KZ000028986","1960-08","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","13",",I","8",",I","1",",I","","","","","","","","","","","44.0",",,I,14,","","","98.5",",,,I","",""
"KZ000028986","1960-09","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7",",I","2",",I","0",",I","","","","","","","","","","","10.5",",,I,13,","","","26.5",",,,I","",""
"KZ000028986","1960-10","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","9",",I","1",",I","0",",I","","","","","","","","","","","3.8",",,I,09,","","","10.6",",,,I","",""
"KZ000028986","1960-11","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5",",I","1",",I","0",",I","","","","","","","","","","","3.4",",,I,01,","","","6.6",",,,I","",""
"KZ000028986","1960-12","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","13",",I","3",",I","0",",I","","","","","","","","","","","4.5",",,I,05,+","","","20.4",",,,I","",""
"KZ000028986","1961-01","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","3","2,I","0","2,I","0","2,I","","","","","","","","","","","1.8","2,,I,02,","","","4.0","2,,,I","",""
"KZ000028986","1961-02","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5",",I","0",",I","0",",I","","","","","","","","","","","2.1",",,I,23,","","","5.7",",,,I","",""
"KZ000028986","1961-03","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","8",",I","2",",I","0",",I","","","","","","","","","","","4.7",",,I,29,","","","16.9",",,,I","",""
"KZ000028986","1961-04","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","6",",I","3",",I","0",",I","","","","","","","","","","","4.1",",,I,17,","","","13.2",",,,I","",""
"KZ000028986","1961-05","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","4",",I","3",",I","1",",I","","","","","","","","","","","38.5",",,I,12,","","","45.1",",,,I","",""
"KZ000028986","1961-06","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","9",",I","5",",I","0",",I","","","","","","","","","","","8.7",",,I,22,","","","28.6",",,,I","",""
"KZ000028986","1961-07","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","17",",I","10",",I","1",",I","","","","","","","","","","","46.8",",,I,26,","","","117.4",",,,I","",""
"KZ000028986","1961-08","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7",",I","2",",I","0",",I","","","","","","","","","","","6.0",",,I,18,","","","17.2",",,,I","",""
"KZ000028986","1961-09","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5",",I","0",",I","0",",I","","","","","","","","","","","2.2",",,I,22,","","","6.9",",,,I","",""
"KZ000028986","1961-10","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","11","1,I","3","1,I","0","1,I","","","","","","","","","","","8.9","1,,I,05,","","","26.4","1,,,I","",""
"KZ000028986","1961-11","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7",",I","2",",I","0",",I","","","","","","","","","","","2.9",",,I,10,+","","","10.3",",,,I","",""
"KZ000028986","1961-12","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5","1,I","2","1,I","0","1,I","","","","","","","","","","","5.5","1,,I,26,","","","11.8","1,,,I","",""
"KZ000028986","1962-01","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","6",",I","0",",I","0",",I","","","","","","","","","","","1.9",",,I,11,","","","5.3",",,,I","",""
"KZ000028986","1962-02","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","1",",I","0",",I","0",",I","","","","","","","","","","","0.5",",,I,20,","","","0.8",",,,I","",""
"KZ000028986","1962-03","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5","1,I","2","1,I","0","1,I","","","","","","","","","","","6.2","1,,I,03,","","","14.9","1,,,I","",""
"KZ000028986","1962-04","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","4",",I","1",",I","0",",I","","","","","","","","","","","6.1",",,I,21,","","","9.2",",,,I","",""
"KZ000028986","1962-05","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","11",",I","3",",I","0",",I","","","","","","","","","","","4.8",",,I,31,","","","21.3",",,,I","",""
"KZ000028986","1962-06","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","13",",I","9",",I","0",",I","","","","","","","","","","","14.8",",,I,11,","","","73.0",",,,I","",""
"KZ000028986","1962-07","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","4",",I","2",",I","0",",I","","","","","","","","","","","6.7",",,I,30,","","","12.6",",,,I","",""
"KZ000028986","1962-08","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","7",",I","3",",I","0",",I","","","","","","","","","","","17.3",",,I,05,","","","36.5",",,,I","",""
"KZ000028986","1962-09","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","8",",I","3",",I","0",",I","","","","","","","","","","","9.3",",,I,18,","","","25.3",",,,I","",""
"KZ000028986","1962-10","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","8",",I","2",",I","0",",I","","","","","","","","","","","6.0",",,I,25,","","","14.4",",,,I","",""
"KZ000028986","1962-11","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","6",",I","1",",I","0",",I","","","","","","","","","","","3.2",",,I,10,","","","6.8",",,,I","",""
"KZ000028986","1962-12","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5",",I","2",",I","0",",I","","","","","","","","","","","8.9",",,I,22,","","","20.9",",,,I","",""
"KZ000028986","1963-01","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5","1,I","0","1,I","0","1,I","","","","","","","","","","","1.4","1,,I,20,","","","4.0","1,,,I","",""
"KZ000028986","1963-02","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","5","2,I","3","2,I","0","2,I","","","","","","","","","","","9.4","2,,I,27,","","","17.9","2,,,I","",""
"KZ000028986","1963-03","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","9",",I","1",",I","0",",I","","","","","","","","","","","2.7",",,I,12,","","","12.1",",,,I","",""
"KZ000028986","1963-04","52.967","71.933","196.0","ZOLOTAJA NIVA, KZ","0",",I","0",",I","0",",I","","","","","","","","","","","0.1",",,I,24,","","","0.1",",,,I","",""
