"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00023064","1947-03","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","0.0",",6","10",",6","4",",6","0",",6","7",",6","3",",6","0",",6","23",",6","4",",6","3",",6","0",",6","","","","","","","-16.1",",6,02,","51",",,6,12,+","46",",,6,05,","16.8",",,6,12,","27.2",",6,23,","","","461.7",",6","31.0",",,,6","135",",,,6","3.44",",6","10.91",",,,6","-4.03",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-04","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","0.0","1,6","8",",6","4",",6","0",",6","","","1",",6","0",",6","9",",6","0","1,6","10","1,6","0","1,6","","","","","","","-3.3",",6,06,","","","25",",,6,24,","22.6",",,6,09,","29.4","1,6,30,","","","240.0","1,6","63.6",",,,6","28",",,,6","10.02","1,6","17.16","1,,,6","2.87",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-05","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","9.0",",6","15",",6","7",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","16",",6","1",",6","","","","","","","1.1",",6,29,","","","0",",,6,31,+","38.1",",,6,14,","32.8",",6,03,","","","111.7",",6","113.2",",,,6","0",",,,6","15.02",",6","21.56",",,,6","8.48",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-06","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","100.0",",6","7",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","27",",6","8",",6","","","","","","","2.2",",6,13,","","","0",",,6,30,+","14.7",",,6,18,","38.3",",6,28,","","","24.7",",6","42.6",",,,6","0",",,,6","20.84",",6","28.77",",,,6","12.91",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-07","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","206.9",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","18",",6","","","","","","","11.1",",6,01,","","","0",",,6,31,+","16.3",",,6,10,","40.0",",6,30,","1.1","6","1.1",",6","52.5",",,,6","0",",,,6","24.97",",6","32.75",",,,6","17.20",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-08","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","255.5",",6","6",",6","4",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","","","","","16.1",",6,28,","","","0",",,6,31,+","26.2",",,6,13,","38.9",",6,31,+","1.1","6","0.0",",6","57.5",",,,6","0",",,,6","26.58",",6","34.55",",,,6","18.60",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-09","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","131.3",",6","3",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","16",",6","","","","","","","3.3",",6,15,","","","0",",,6,30,+","9.1",",,6,09,","41.1",",6,03,","18.1","6","17.0",",6","11.2",",,,6","0",",,,6","22.15",",6","31.77",",,,6","12.52",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-10","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","44.8",",6","3",",6","1",",6","0",",6","","","0",",6","0",",6","4",",6","0",",6","24",",6","4",",6","","","","","","","-2.2",",6,27,","","","0",",,6,31,+","7.9",",,6,14,","35.0",",6,05,","108.3","6","90.2",",6","10.5",",,,6","0",",,,6","16.87",",6","25.67",",,,6","8.06",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-11","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","0.0",",6","6",",6","2",",6","0",",6","2",",6","1",",6","1",",6","26",",6","2",",6","0",",6","0",",6","","","","","","","-18.9",",6,22,","51",",,6,21,","51",",,6,21,","8.1",",,6,14,","18.9",",6,05,","594.4","6","486.1",",6","18.0",",,,6","51",",,,6","2.13",",6","8.80",",,,6","-4.54",",,,6","","","","","","","","","","","","","",""
"USW00023064","1947-12","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","","","0.0",",6","5",",6","4",",6","0",",6","8",",6","3",",6","1",",6","31",",6","5",",6","1",",6","0",",6","","","","","","","-18.9",",6,10,","127",",,6,04,","64",",,6,03,","13.7",",,6,03,","21.1",",6,27,","1168.8","6","574.4",",6","27.9",",,,6","174",",,,6","-0.20",",6","6.65",",,,6","-7.04",",,,6","","","","","","","","","","","","","",""
"USW00023064","1948-01","37.92722","-100.72472","878.4","GARDEN CITY REGIONAL AIRPORT, KS US","","","0.0","0","0.0",",6","3",",6","1",",6","0",",6","6",",6","2",",6","3",",6","31",",6","9",",6","2",",6","0",",6","3","","","","","","-28.3",",6,28,","178",",,6,30,+","109",",,6,26,","2.8",",,6,26,","22.8",",6,07,","1796.3","0","627.5",",6","3.6",",,,6","188",",,,6","-1.91",",6","6.02",",,,6","-9.84",",,,6","","","","","","","","","","","","","",""
