"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024220","1940-05","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","1.5","3,0","","","","","","","","","0","3,0","0","3,0","3","3,0","0","3,0","19","3,0","0","3,0","","","","","","","-0.6","3,0,13,","","","0","3,,0,31,+","","","30.6","3,0,23,","","","120.3","3,0","","","0","3,,,0","14.09","3,0","22.48","3,,,0","5.70","3,,,0","","","","","","","","","",""
"USW00024220","1940-06","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","39.5",",0","0","2,0","0","2,0","0","2,0","","","0",",0","0",",0","0",",0","0",",0","26",",0","6",",0","","","","","1","","5.0",",0,14,","","","0",",,0,30,+","0.0","2,,0,30,+","33.9",",0,24,+","","","40.0",",0","0.0","2,,,0","0",",,,0","18.32",",0","26.48",",,,0","10.15",",,,0","","","","","","","","","",""
"USW00024220","1940-07","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","67.2",",0","","","","","","","","","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","","","1","","6.7",",0,06,","","","0",",,0,31,+","","","35.6",",0,11,","7.2","0","7.2",",0","","","0",",,,0","20.27",",0","27.75",",,,0","12.78",",,,0","","","","","","","","","",""
"USW00024220","1940-08","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","53.4",",0","1",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","7",",0","","","","","","","4.4",",0,02,","","","0",",,0,31,+","0.5",",,0,27,","34.4",",0,18,","15.6","0","8.4",",0","0.5",",,,0","0",",,,0","19.78",",0","28.53",",,,0","11.04",",,,0","","","","","","","","","",""
"USW00024220","1940-09","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","15.6",",0","8",",0","3",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","","","6","","2.2",",0,20,","","","0",",,0,30,+","11.2",",,0,27,","32.2",",0,11,","75.9","0","60.3",",0","25.2",",,,0","0",",,,0","16.85",",0","24.43",",,,0","9.26",",,,0","","","","","","","","","",""
"USW00024220","1940-10","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","0.0",",0","9",",0","4",",0","0",",0","","","0",",0","0",",0","4",",0","0",",0","3",",0","0",",0","","","","","","","-2.2",",0,31,","","","0",",,0,31,+","11.7",",,0,24,","24.4",",0,19,+","341.8","0","265.9",",0","29.6",",,,0","0",",,,0","9.75",",0","15.92",",,,0","3.59",",,,0","","","","","","","","","",""
"USW00024220","1940-11","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","0.0",",0","11",",0","4",",0","0",",0","7",",0","2",",0","0",",0","29",",0","8",",0","0",",0","0",",0","","","","","","","-12.2",",0,22,","25",",,0,26,+","33",",,0,24,","7.9",",,0,28,","11.1",",0,18,","902.5","0","560.7",",0","27.2",",,,0","104",",,,0","-0.36",",0","4.59",",,,0","-5.30",",,,0","","","","","","","","","",""
"USW00024220","1940-12","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","","","0.0",",0","11",",0","8",",0","0",",0","3",",0","1",",0","0",",0","29",",0","4",",0","0",",0","0",",0","","","","","","","-15.0",",0,16,","76",",,0,18,","66",",,0,18,","11.4",",,0,20,","7.8",",0,09,+","1505.6","0","603.1",",0","42.5",",,,0","94",",,,0","-1.12",",0","2.79",",,,0","-5.04",",,,0","","","","","","","","","",""
"USW00024220","1941-01","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","0.0","0","0.0",",0","13",",0","6",",0","0",",0","27",",0","5",",0","0",",0","31",",0","11",",0","0",",0","0",",0","","","","","","","-10.0",",0,05,","152",",,0,17,","132",",,0,17,","7.9",",,0,17,","8.3",",0,26,","2134.9","0","629.3",",0","35.9",",,,0","301",",,,0","-1.97",",0","1.14",",,,0","-5.07",",,,0","","","","","","","","","",""
"USW00024220","1941-02","47.03389","-120.53028","538.3","ELLENSBURG BOWERS FIELD, WA US","","","0.0","0","0.0",",0","7",",0","3",",0","0",",0","8",",0","0",",0","0",",0","27",",0","0",",0","0",",0","0",",0","","","","","","","-8.9",",0,05,","76",",,0,04,+","20",",,0,23,","5.3",",,0,28,+","11.7",",0,21,","2616.1","0","481.2",",0","16.7",",,,0","20",",,,0","1.15",",0","6.41",",,,0","-4.12",",,,0","","","","","","","","","",""
