"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00206012","1998-02","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","0.0","2,0","5",",0","2",",0","0",",0","21",",0","0",",0","0","2,0","20","2,0","5",",0","0",",0","0",",0","","","","","-7.8","2,0,04,","203",",,0,01,","18",",,0,20,","5.1",",,0,28,","11.1",",0,27,","","","","","   2.2",",,,3,3,2","   2.2",",,,3,5,2","464.2",",0","   6.1",",,,3,3,2","   5.6",",,,3,5,2","   1.1",",,,3,3,2","   1.1",",,,3,5,2","   1.1",",,,3,3,2","   1.1",",,,3,5,2","   1.2",",,,3,3,2","   1.3",",,,3,5,2","","","   1.9",",,,3,3,2","   1.7",",,,3,5,2","","","12.2",",,,0","31",",,,0","0.58","2,0","3.20",",,,0","-2.03","2,,,0","",""
"USC00206012","1998-03","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","0.0","1,0","16",",0","7",",0","1",",0","21",",0","9",",0","0","1,0","23","1,0","9",",0","2",",0","0",",0","","","","","-11.1","1,0,16,","203",",,0,14,+","254",",,0,14,","39.6",",,0,31,","21.7",",0,28,","","","","","   7.2","5,,,0,3,2","   8.3","5,,,0,5,2","509.1",",0","  13.9","5,,,0,3,2","  11.7","5,,,0,5,2","   0.6","5,,,0,3,2","   0.6","5,,,0,5,2","   0.6","5,,,0,3,2","   0.6","5,,,0,5,2","   1.7","5,,,0,3,2","   1.8","5,,,0,5,2","","","   3.3","5,,,0,3,2","   2.8","5,,,0,5,2","","","88.5",",,,0","749",",,,0","1.26","1,0","4.48",",,,0","-1.96","1,,,0","",""
"USC00206012","1998-04","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","0.0",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","2",",0","0",",0","","","","","-1.7",",0,07,+","0",",,0,30,+","0",",,0,30,+","18.5",",,0,17,","22.8",",0,14,+","","","","","  11.7","2,,,0,3,2","  10.6","4,,,0,5,2","312.4",",0","  19.4","2,,,0,3,2","  16.1","4,,,0,5,2","   3.3","2,,,0,3,2","   5.0","4,,,0,5,2","   6.7","2,,,0,3,2","   6.7","4,,,0,5,2","   6.9","2,,,0,3,2","   7.4","4,,,0,5,2","","","  14.3","2,,,0,3,2","  12.4","4,,,0,5,2","","","72.8",",,,0","0",",,,0","7.92",",0","13.28",",,,0","2.56",",,,0","",""
"USC00206012","1998-05","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","26.9","1,0","7",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","23",",0","1",",0","","","","","6.1","1,0,22,+","0",",,0,31,+","0",",,0,31,+","26.9",",,0,31,","32.8",",0,16,","","","","","  20.0",",,,0,3,2","  20.6","1,,,0,5,2","77.3",",0","  27.8",",,,0,3,2","  25.6",",,,0,5,2","  10.6",",,,0,3,2","  11.1","1,,,0,5,2","  15.6",",,,0,3,2","  13.9",",,,0,5,2","  15.8",",,,0,3,2","  16.2","1,,,0,5,2","","","  23.6",",,,0,3,2","  21.0",",,,0,5,2","","","54.1",",,,0","0",",,,0","16.66","1,0","22.74",",,,0","10.57","1,,,0","",""
"USC00206012","1998-06","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","50.6","1,0","7",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","20",",0","1",",0","","","","","2.8","1,0,05,","0",",,0,30,+","0",",,0,30,+","33.5",",,0,25,","32.8",",0,21,","","","","","  22.2","1,,,0,3,2","  23.9","1,,,0,5,2","71.5",",0","  32.8","1,,,0,3,2","  28.9","2,,,0,5,2","  11.1","1,,,0,3,2","  13.9","1,,,0,5,2","  18.3","1,,,0,3,2","  18.3","2,,,0,5,2","  18.1","1,,,0,3,2","  19.3","1,,,0,5,2","","","  26.3","1,,,0,3,2","  23.6","2,,,0,5,2","","","82.1",",,,0","0",",,,0","17.78","1,0","22.98",",,,0","12.59","1,,,0","",""
"USC00206012","1998-07","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","88.3",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","","","12.2",",0,11,","0",",,0,31,+","0",",,0,31,+","10.9",",,0,07,","32.2",",0,15,","","","1.7","0","  24.4","2,,,0,3,2","  25.0","2,,,0,5,2","1.7",",0","  32.8","2,,,0,3,2","  30.0","2,,,0,5,2","  19.4","2,,,0,3,2","  21.1","2,,,0,5,2","  22.8","2,,,0,3,2","  22.8","2,,,0,5,2","  22.2","2,,,0,3,2","  22.9","2,,,0,5,2","","","  30.6","2,,,0,3,2","  27.3","2,,,0,5,2","","","25.5",",,,0","0",",,,0","21.13",",0","26.00",",,,0","16.25",",,,0","",""
"USC00206012","1998-08","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","90.8","2,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","31",",0","0",",0","","","","","11.1","2,0,19,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,08,","29.4",",0,04,","","","3.9","0","  23.3","3,,,0,3,2","  24.4","3,,,0,5,2","2.2",",0","  32.2","3,,,0,3,2","  28.3","3,,,0,5,2","  17.8","3,,,0,3,2","  20.6","3,,,0,5,2","  23.9","3,,,0,3,2","  21.1","3,,,0,5,2","  21.2","3,,,0,3,2","  22.2","3,,,0,5,2","","","  28.9","3,,,0,3,2","  25.5","3,,,0,5,2","","","95.2",",,,0","0",",,,0","21.44","2,0","26.08",",,,0","16.80","2,,,0","",""
"USC00206012","1998-09","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","29.0","2,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","20",",0","0",",0","","","","","6.1","2,0,23,","0",",,0,30,+","0",",,0,30,+","24.1",",,0,27,","28.9",",0,14,+","","","52.1","0","  21.1",",,,0,3,2","  21.1",",,,0,5,2","48.2",",0","  28.9",",,,0,3,2","  24.4",",,,0,5,2","  13.3",",,,0,3,2","  14.4",",,,0,5,2","  18.3",",,,0,3,2","  16.7",",,,0,5,2","  17.2",",,,0,3,2","  18.2",",,,0,5,2","","","  24.6",",,,0,3,2","  21.4",",,,0,5,2","","","76.9",",,,0","0",",,,0","17.80","2,0","22.74",",,,0","12.86","2,,,0","",""
"USC00206012","1998-10","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","1.4","1,0","13",",0","6",",0","1",",0","","","0",",0","0",",0","0",",0","0","1,0","2","1,0","0","1,0","","","","","3.3",",0,22,+","","","0",",,0,31,+","35.1",",,0,06,","22.8","1,0,18,+","","","267.2","0","  15.0","3,,,0,3,2","  13.9","3,,,0,5,2","215.1","1,0","  19.4","3,,,0,3,2","  16.1","3,,,0,5,2","   7.2","3,,,0,3,2","   8.3","3,,,0,5,2","  10.6","3,,,0,3,2","  10.0","3,,,0,5,2","   9.9","3,,,0,3,2","  10.9","3,,,0,5,2","","","  15.2","3,,,0,3,2","  13.3","3,,,0,5,2","","","65.8",",,,0","0",",,,0","11.18","1,0","15.10","1,,,0","7.27",",,,0","",""
"USC00206012","1998-11","44.883","-85.6752","249.9","NW MICHIGAN RESEARCH FARM, MI US","","","0.0","1,0","11",",0","6",",0","1",",0","1","2,0","1",",0","0","1,0","9","1,0","0",",0","0",",0","0",",0","","","","","-2.8","1,0,13,","25","2,,0,21,","46",",,0,21,","29.2",",,0,10,","18.3",",0,30,","","","657.1","0","  11.1","1,,,0,3,2","  11.1","2,,,0,5,2","389.9",",0","  12.2","1,,,0,3,2","  11.7","2,,,0,5,2","   1.7","1,,,0,3,2","   2.8","2,,,0,5,2","   3.3","1,,,0,3,2","   3.9","2,,,0,5,2","   4.6","1,,,0,3,2","   5.2","2,,,0,5,2","","","   7.3","1,,,0,3,2","   6.7","2,,,0,5,2","","","75.0",",,,0","51",",,,0","4.88","1,0","7.66",",,,0","2.10","1,,,0","",""
