"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GHM00065404","1997-06","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","25","5,S","6","5,S","","","34.5","5,S,08,","","","","","","","31.12","5,,,S","",""
"GHM00065404","2015-12","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","26","5,S","24","5,S","","","37.0","5,S,01,","","","","","","","33.89","5,,,S","",""
"GHM00065404","2016-06","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","25","5,S","12","5,S","","","38.0","5,S,08,","","","","","","","32.16","5,,,S","",""
"GHM00065404","2016-07","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","26","5,S","3","5,S","","","33.0","5,S,07,+","","","","","","","30.26","5,,,S","",""
"GHM00065404","2017-07","10.083","-2.508","323.1","WA, GH","","","","","","","0","4,S","27","4,S","4","4,S","","","33.0","4,S,22,","","","","","","","31.06","4,,,S","",""
"GHM00065404","2017-10","10.083","-2.508","323.1","WA, GH","","","0","4,S","0","4,S","0","4,S","27","4,S","25","4,S","20.0","4,S,05,","36.8","4,S,26,","","","","","28.76","7,S","34.22","4,,,S","23.30","4,,,S"
"GHM00065404","2017-12","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","26","5,S","25","5,S","","","37.5","5,S,18,","","","","","","","35.50","5,,,S","",""
"GHM00065404","2018-01","10.083","-2.508","323.1","WA, GH","","","","","","","0","3,S","28","3,S","27","3,S","","","37.0","3,S,20,+","","","","","","","34.90","3,,,S","",""
"GHM00065404","2018-02","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","23","5,S","23","5,S","","","39.5","5,S,19,+","","","","","","","37.56","5,,,S","",""
"GHM00065404","2019-03","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","26","5,S","26","5,S","","","41.0","5,S,15,","","","","","","","39.16","5,,,S","",""
"GHM00065404","2020-01","10.083","-2.508","323.1","WA, GH","","","0","5,S","0","5,S","0","3,S","28","3,S","24","3,S","16.5","5,S,03,","37.5","3,S,31,+","","","","","28.11","7,S","34.96","3,,,S","21.25","5,,,S"
"GHM00065404","2020-03","10.083","-2.508","323.1","WA, GH","","","","","","","0","2,S","29","2,S","28","2,S","","","41.7","2,S,12,","","","","","","","39.22","2,,,S","",""
"GHM00065404","2020-06","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","25","5,S","12","5,S","","","36.0","5,S,05,","","","","","","","31.81","5,,,S","",""
"GHM00065404","2020-07","10.083","-2.508","323.1","WA, GH","216.0","4,S","0","3,S","0","3,S","0","2,S","29","2,S","5","2,S","19.5","3,S,05,","33.0","2,S,07,","0.0","S","0.0","2,S","26.27","4,S","30.22","2,,,S","22.32","3,,,S"
"GHM00065404","2020-08","10.083","-2.508","323.1","WA, GH","","","0","4,S","0","4,S","0","5,S","26","5,S","3","5,S","19.0","4,S,01,","34.4","5,S,13,","","","","","25.75","8,S","29.87","5,,,S","21.64","4,,,S"
"GHM00065404","2020-12","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","26","5,S","26","5,S","","","38.0","5,S,12,+","","","","","","","36.62","5,,,S","",""
"GHM00065404","2021-01","10.083","-2.508","323.1","WA, GH","","","0","5,S","0","5,S","0","4,S","27","4,S","27","4,S","17.4","5,S,17,","38.5","4,S,07,","","","","","28.64","8,S","36.95","4,,,S","20.33","5,,,S"
"GHM00065404","2021-04","10.083","-2.508","323.1","WA, GH","","","","","","","0","5,S","25","5,S","25","5,S","","","42.0","5,S,08,","","","","","","","38.06","5,,,S","",""
"GHM00065404","2021-05","10.083","-2.508","323.1","WA, GH","","","","","","","0","2,S","29","2,S","26","2,S","","","38.2","2,S,24,","","","","","","","34.50","2,,,S","",""
"GHM00065404","2021-08","10.083","-2.508","323.1","WA, GH","","","0","5,S","0","5,S","","","","","","","17.2","5,S,22,","","","","","","","","","","","19.35","5,,,S"
