"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"HUE00100247","1901-01","47.5108","19.0206","153.0","BUDAPEST, HU","0.0","E","0.0",",E","13",",E","3",",E","0",",E","","","0",",E","28",",E","20",",E","0",",E","0",",E","-16.9",",E,10,","","","8.1",",,E,27,","7.5",",E,23,","","","718.8",",E","35.6",",,,E","-4.85",",E","-1.79",",,,E","-7.92",",,,E"
"HUE00100247","1901-02","47.5108","19.0206","153.0","BUDAPEST, HU","0.0","E","0.0",",E","8",",E","2",",E","0",",E","","","0",",E","24",",E","11",",E","0",",E","0",",E","-12.8",",E,23,","","","5.8",",,E,08,","6.8",",E,07,","","","572.0",",E","17.2",",,,E","-2.10",",E","0.77",",,,E","-4.96",",,,E"
"HUE00100247","1901-03","47.5108","19.0206","153.0","BUDAPEST, HU","0.0","E","0.0",",E","11",",E","8",",E","0",",E","","","0",",E","8",",E","0",",E","0",",E","0",",E","-3.3",",E,01,","","","25.2",",,E,04,","18.0",",E,19,","","","389.3",",E","71.3",",,,E","5.78",",E","9.13",",,,E","2.43",",,,E"
"HUE00100247","1901-04","47.5108","19.0206","153.0","BUDAPEST, HU","0.0","E","0.0",",E","9",",E","3",",E","0",",E","","","0",",E","0",",E","0",",E","5",",E","0",",E","3.6",",E,01,","","","20.2",",,E,13,","23.6",",E,10,","","","189.6",",E","39.2",",,,E","12.01",",E","16.59",",,,E","7.44",",,,E"
"HUE00100247","1901-05","47.5108","19.0206","153.0","BUDAPEST, HU","19.8","E","19.8",",E","11",",E","6",",E","0",",E","","","0",",E","0",",E","0",",E","21",",E","0",",E","7.2",",E,06,","","","15.9",",,E,25,","30.5",",E,31,","","","49.1",",E","44.0",",,,E","17.39",",E","22.50",",,,E","12.28",",,,E"
"HUE00100247","1901-06","47.5108","19.0206","153.0","BUDAPEST, HU","117.3","E","97.5",",E","10",",E","7",",E","0",",E","","","0",",E","0",",E","0",",E","27",",E","0",",E","11.2",",E,18,","","","12.5",",,E,22,","31.5",",E,03,","","","6.8",",E","50.6",",,,E","21.36",",E","26.46",",,,E","16.25",",,,E"
"HUE00100247","1901-07","47.5108","19.0206","153.0","BUDAPEST, HU","262.9","E","145.6",",E","9",",E","7",",E","1",",E","","","0",",E","0",",E","0",",E","29",",E","3",",E","14.5",",E,03,","","","38.8",",,E,23,","34.0",",E,30,","1.9","E","1.9",",E","92.0",",,,E","22.97",",E","28.10",",,,E","17.84",",,,E"
"HUE00100247","1901-08","47.5108","19.0206","153.0","BUDAPEST, HU","373.3","E","110.4",",E","6",",E","3",",E","1",",E","","","0",",E","0",",E","0",",E","29",",E","0",",E","10.5",",E,27,","","","26.0",",,E,17,","31.7",",E,01,","10.0","E","8.1",",E","52.4",",,,E","21.64",",E","26.21",",,,E","17.06",",,,E"
"HUE00100247","1901-09","47.5108","19.0206","153.0","BUDAPEST, HU","376.1","E","2.8",",E","9",",E","5",",E","0",",E","","","0",",E","0",",E","0",",E","12",",E","0",",E","7.5",",E,05,","","","9.8",",,E,16,","25.7",",E,01,","77.7","E","67.7",",E","36.2",",,,E","16.17",",E","20.15",",,,E","12.19",",,,E"
"HUE00100247","1901-10","47.5108","19.0206","153.0","BUDAPEST, HU","376.1","E","0.0",",E","14",",E","8",",E","0",",E","","","0",",E","0",",E","0",",E","5",",E","0",",E","4.0",",E,09,","","","7.3",",,E,09,","22.2",",E,02,","251.5","E","173.8",",E","48.4",",,,E","12.73",",E","15.40",",,,E","10.05",",,,E"
