"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00056116","1983-08","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","11",",0","9",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","19.8",",,0,13,","158.8","2,,,0","17.90",",,,0","26.60",",,,0","74.7",",,,0","0",",,,0","2587","1,,,0"
"USC00056116","1983-09","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","5",",0","1",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","3.0",",,0,29,","48.2","1,,,0","13.70","1,,,0","20.94","1,,,0","7.9",",,,0","0",",,,0","1932","2,,,0"
"USC00056116","1983-10","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","5",",0","2",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","2.8",",,0,06,","","","","","","","8.2",",,,0","0",",,,0","",""
"USC00056116","1983-11","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","13",",0","6",",0","0",",0","","","","","","","","","10.7",",,0,18,","","","","","","","37.6",",,,0","","","",""
"USC00056116","1983-12","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","11",",0","6",",0","0",",0","","","","","","","","","6.9",",,0,05,","","","","","","","39.4",",,,0","","","",""
"USC00056116","1984-01","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","4",",0","0",",0","0",",0","","","","","","","","","2.0",",,0,12,","","","","","","","4.4",",,,0","","","",""
"USC00056116","1984-02","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","4",",0","0",",0","0",",0","","","","","","","","","1.8",",,0,11,","","","","","","","4.1",",,,0","","","",""
"USC00056116","1984-03","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","14",",0","7",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","7.1",",,0,18,+","","","","","","","45.8",",,,0","0",",,,0","",""
"USC00056116","1984-04","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","10",",0","2",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","6.6",",,0,24,","","","","","","","17.4",",,,0","0",",,,0","",""
"USC00056116","1984-05","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","6",",0","3",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","17.3",",,0,31,","","","","","","","25.9",",,,0","0",",,,0","",""
"USC00056116","1984-07","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","8",",0","4",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","15.7",",,0,31,","141.7","2,,,0","","","","","34.6",",,,0","0",",,,0","3080","1,,,0"
"USC00056116","1984-10","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","6","1,0","3","1,0","0","1,0","0","1,0","0","1,0","0","1,,0,31,+","0","1,,0,31,+","10.7","1,,0,16,","","","","","","","20.5","1,,,0","0","1,,,0","",""
"USC00056116","1984-11","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","9",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","5.8",",,0,07,","","","","","","","24.4",",,,0","0",",,,0","",""
"USC00056116","1984-12","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","11",",0","5",",0","0",",0","","","","","","","","","5.8",",,0,13,","","","","","","","25.1",",,,0","","","",""
"USC00056116","1985-01","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","6",",0","3",",0","0",",0","","","","","","","","","4.3",",,0,27,","","","","","","","14.1",",,,0","","","",""
"USC00056116","1985-04","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","10",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","11.7",",,0,25,","","","","","","","40.7",",,,0","0",",,,0","",""
"USC00056116","1985-05","38.55","-108.0","1705.7","OLATHE 4 SSW, CO US","9",",0","3",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","11.9",",,0,12,","","","","","","","22.3",",,,0","0",",,,0","4765",",,,0"
