"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026649","1960-11","54.9","26.7","171.0","NAROCH OZERNAYA, BO","16",",I","8",",I","1",",I","41.5",",,I,09,","94.0",",,,I"
"BOM00026649","1960-12","54.9","26.7","171.0","NAROCH OZERNAYA, BO","15","2,I","3","2,I","0","2,I","10.9","2,,I,04,","32.4","2,,,I"
"BOM00026649","1962-01","54.9","26.7","171.0","NAROCH OZERNAYA, BO","13","1,I","7","1,I","0","1,I","6.5","1,,I,13,","33.6","1,,,I"
"BOM00026649","1962-02","54.9","26.7","171.0","NAROCH OZERNAYA, BO","11","1,I","7","1,I","0","1,I","9.1","1,,I,13,","41.7","1,,,I"
"BOM00026649","1962-03","54.9","26.7","171.0","NAROCH OZERNAYA, BO","14",",I","5",",I","0",",I","9.4",",,I,06,","39.1",",,,I"
"BOM00026649","1962-04","54.9","26.7","171.0","NAROCH OZERNAYA, BO","11","4,I","5","4,I","0","4,I","15.1","4,,I,07,","54.4","4,,,I"
"BOM00026649","1962-05","54.9","26.7","171.0","NAROCH OZERNAYA, BO","20",",I","11",",I","0",",I","14.9",",,I,01,","94.7",",,,I"
"BOM00026649","1962-06","54.9","26.7","171.0","NAROCH OZERNAYA, BO","13",",I","10",",I","0",",I","11.8",",,I,01,","50.6",",,,I"
"BOM00026649","1962-07","54.9","26.7","171.0","NAROCH OZERNAYA, BO","19","2,I","10","2,I","1","2,I","29.4","2,,I,14,","111.0","2,,,I"
"BOM00026649","1962-08","54.9","26.7","171.0","NAROCH OZERNAYA, BO","16",",I","11",",I","1",",I","37.9",",,I,19,","108.1",",,,I"
"BOM00026649","1962-09","54.9","26.7","171.0","NAROCH OZERNAYA, BO","14",",I","12",",I","0",",I","15.8",",,I,06,","84.3",",,,I"
"BOM00026649","1962-10","54.9","26.7","171.0","NAROCH OZERNAYA, BO","8",",I","2",",I","0",",I","6.6",",,I,19,","19.6",",,,I"
"BOM00026649","1962-11","54.9","26.7","171.0","NAROCH OZERNAYA, BO","10",",I","6",",I","0",",I","15.5",",,I,21,","63.2",",,,I"
"BOM00026649","1962-12","54.9","26.7","171.0","NAROCH OZERNAYA, BO","13",",I","1",",I","0",",I","3.3",",,I,12,","16.2",",,,I"
"BOM00026649","1963-01","54.9","26.7","171.0","NAROCH OZERNAYA, BO","14",",I","2",",I","0",",I","3.2",",,I,06,","17.6",",,,I"
"BOM00026649","1963-02","54.9","26.7","171.0","NAROCH OZERNAYA, BO","10",",I","3",",I","0",",I","17.8",",,I,06,","37.0",",,,I"
"BOM00026649","1963-03","54.9","26.7","171.0","NAROCH OZERNAYA, BO","8","5,I","6","5,I","0","5,I","10.5","5,,I,25,","36.4","5,,,I"
"BOM00026649","1963-07","54.9","26.7","171.0","NAROCH OZERNAYA, BO","9","2,I","5","2,I","1","2,I","25.7","2,,I,30,","43.4","2,,,I"
"BOM00026649","1963-08","54.9","26.7","171.0","NAROCH OZERNAYA, BO","12",",I","8",",I","1",",I","34.9",",,I,07,","101.7",",,,I"
"BOM00026649","1963-09","54.9","26.7","171.0","NAROCH OZERNAYA, BO","5",",I","3",",I","0",",I","11.9",",,I,30,","26.4",",,,I"
"BOM00026649","1963-10","54.9","26.7","171.0","NAROCH OZERNAYA, BO","13",",I","8",",I","1",",I","34.4",",,I,06,","86.6",",,,I"
"BOM00026649","1963-11","54.9","26.7","171.0","NAROCH OZERNAYA, BO","18","1,I","11","1,I","0","1,I","21.9","1,,I,20,","105.1","1,,,I"
"BOM00026649","1963-12","54.9","26.7","171.0","NAROCH OZERNAYA, BO","8",",I","0",",I","0",",I","1.8",",,I,27,+","10.1",",,,I"
"BOM00026649","1964-01","54.9","26.7","171.0","NAROCH OZERNAYA, BO","7",",I","1",",I","0",",I","2.6",",,I,25,","9.4",",,,I"
"BOM00026649","1964-02","54.9","26.7","171.0","NAROCH OZERNAYA, BO","9","1,I","4","1,I","0","1,I","6.0","1,,I,18,","27.4","1,,,I"
"BOM00026649","1964-03","54.9","26.7","171.0","NAROCH OZERNAYA, BO","7",",I","5",",I","0",",I","5.4",",,I,26,","24.4",",,,I"
"BOM00026649","1964-04","54.9","26.7","171.0","NAROCH OZERNAYA, BO","10",",I","5",",I","0",",I","14.0",",,I,30,","35.9",",,,I"
"BOM00026649","1964-05","54.9","26.7","171.0","NAROCH OZERNAYA, BO","9",",I","3",",I","0",",I","17.2",",,I,18,","36.9",",,,I"
"BOM00026649","1964-06","54.9","26.7","171.0","NAROCH OZERNAYA, BO","7","2,I","6","2,I","1","2,I","30.3","2,,I,21,","56.1","2,,,I"
"BOM00026649","1964-07","54.9","26.7","171.0","NAROCH OZERNAYA, BO","7",",I","2",",I","0",",I","17.3",",,I,24,","32.2",",,,I"
"BOM00026649","1964-08","54.9","26.7","171.0","NAROCH OZERNAYA, BO","11",",I","4",",I","1",",I","26.5",",,I,05,","93.1",",,,I"
"BOM00026649","1964-09","54.9","26.7","171.0","NAROCH OZERNAYA, BO","11",",I","6",",I","1",",I","31.0",",,I,08,","83.4",",,,I"
