"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00073118","1940-11","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","5",",a","2",",a","0",",a","","","","","","","5.6",",,a,24,","15.0",",,,a","",""
"ASN00073118","1940-12","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","6",",a","6",",a","0",",a","0","1,a","0","1,a","6.7","1,a,24,","15.7",",,a,08,","57.4",",,,a","15.91","1,,,a"
"ASN00073118","1941-01","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","10",",a","7",",a","3",",a","0",",a","0",",a","8.3",",a,28,","51.8",",,a,03,","161.9",",,,a","15.99",",,,a"
"ASN00073118","1941-02","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","5",",a","3",",a","0",",a","0",",a","0",",a","6.4",",a,26,","19.8",",,a,03,","60.5",",,,a","14.31",",,,a"
"ASN00073118","1941-03","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","7",",a","5",",a","0",",a","0",",a","0",",a","2.9",",a,24,","18.5",",,a,20,","52.1",",,,a","11.56",",,,a"
"ASN00073118","1941-04","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","2",",a","2",",a","0",",a","","","","","","","3.6",",,a,25,","6.4",",,,a","",""
"ASN00073118","1941-05","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","4",",a","2",",a","0",",a","","","","","","","12.4",",,a,24,","20.2",",,,a","",""
"ASN00073118","1941-06","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","9",",a","6",",a","0",",a","","","","","","","21.8",",,a,09,","60.8",",,,a","",""
"ASN00073118","1941-07","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","18",",a","4",",a","0",",a","","","","","","","7.1",",,a,02,","32.7",",,,a","",""
"ASN00073118","1941-08","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","16",",a","3",",a","0",",a","","","","","","","9.4",",,a,24,","26.3",",,,a","",""
"ASN00073118","1941-09","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","13",",a","5",",a","0",",a","","","","","","","12.4",",,a,23,","33.3",",,,a","",""
"ASN00073118","1941-10","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","6",",a","3",",a","0",",a","","","","","","","15.7",",,a,01,","36.8",",,,a","",""
"ASN00073118","1941-11","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","4",",a","2",",a","0",",a","","","","","","","6.9",",,a,20,","13.7",",,,a","",""
"ASN00073118","1941-12","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","6",",a","2",",a","0",",a","","","","","","","5.6",",,a,01,","11.3",",,,a","",""
"ASN00073118","1942-01","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","5",",a","2",",a","0",",a","","","","","","","16.8",",,a,21,","21.4",",,,a","",""
"ASN00073118","1942-02","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","7",",a","5",",a","2",",a","","","","","","","38.6",",,a,14,","83.9",",,,a","",""
"ASN00073118","1942-03","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","2",",a","1",",a","0",",a","","","","","","","18.8",",,a,27,","19.3",",,,a","",""
"ASN00073118","1942-04","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","4",",a","1",",a","0",",a","","","","","","","4.1",",,a,30,","6.4",",,,a","",""
"ASN00073118","1942-05","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","21",",a","9",",a","1",",a","","","","","","","32.0",",,a,26,","117.3",",,,a","",""
"ASN00073118","1942-06","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","17",",a","6",",a","1",",a","","","","","","","40.1",",,a,20,","100.8",",,,a","",""
"ASN00073118","1942-07","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","20",",a","3",",a","0",",a","","","","","","","12.4",",,a,10,","31.9",",,,a","",""
"ASN00073118","1942-08","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","16",",a","11",",a","0",",a","","","","","","","10.7",",,a,11,","69.4",",,,a","",""
"ASN00073118","1942-09","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","15",",a","9",",a","0",",a","","","","","","","11.2",",,a,06,","58.3",",,,a","",""
"ASN00073118","1942-10","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","7",",a","7",",a","0",",a","","","","","","","18.3",",,a,01,","44.5",",,,a","",""
"ASN00073118","1942-11","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","9",",a","6",",a","1",",a","","","","","","","25.9",",,a,01,","93.5",",,,a","",""
"ASN00073118","1942-12","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","7",",a","1",",a","0",",a","","","","","","","7.6",",,a,07,","14.2",",,,a","",""
"ASN00073118","1943-01","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","8",",a","6",",a","2",",a","","","","","","","44.5",",,a,03,","134.1",",,,a","",""
"ASN00073118","1943-02","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","2",",a","2",",a","0",",a","","","","","","","7.4",",,a,18,","11.2",",,,a","",""
"ASN00073118","1943-03","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","2",",a","1",",a","0",",a","","","","","","","5.8",",,a,06,","6.6",",,,a","",""
"ASN00073118","1943-04","-34.6333","148.05","337.7","COOTAMUNDRA AERO, AS","17",",a","7",",a","1",",a","","","","","","","33.5",",,a,13,","99.5",",,,a","",""
