"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00155311","1940-04","37.55","-82.26667","274.3","MC VEIGH, KY US","7",",6","7",",6","0",",6","","","15.2",",,6,19,","58.9",",,,6"
"USC00155311","1940-05","37.55","-82.26667","274.3","MC VEIGH, KY US","11",",6","8",",6","0",",6","1","","10.7",",,6,29,","52.5",",,,6"
"USC00155311","1940-06","37.55","-82.26667","274.3","MC VEIGH, KY US","9",",6","6",",6","0",",6","2","","19.8",",,6,25,","54.3",",,,6"
"USC00155311","1940-07","37.55","-82.26667","274.3","MC VEIGH, KY US","6",",6","6",",6","0",",6","","","12.2",",,6,12,","40.9",",,,6"
"USC00155311","1940-08","37.55","-82.26667","274.3","MC VEIGH, KY US","","","","","","","1","","","","",""
"USC00155311","1940-09","37.55","-82.26667","274.3","MC VEIGH, KY US","2",",6","2",",6","1",",6","","","35.1",",,6,25,","44.8",",,,6"
"USC00155311","1940-11","37.55","-82.26667","274.3","MC VEIGH, KY US","7",",6","7",",6","0",",6","","","13.7",",,6,02,","46.8",",,,6"
"USC00155311","1940-12","37.55","-82.26667","274.3","MC VEIGH, KY US","7",",6","5",",6","0",",6","","","17.5",",,6,30,","52.7",",,,6"
"USC00155311","1941-01","37.55","-82.26667","274.3","MC VEIGH, KY US","4",",6","3",",6","0",",6","","","24.1",",,6,27,","48.3",",,,6"
"USC00155311","1941-02","37.55","-82.26667","274.3","MC VEIGH, KY US","6",",6","4",",6","0",",6","","","9.1",",,6,14,","28.6",",,,6"
"USC00155311","1941-03","37.55","-82.26667","274.3","MC VEIGH, KY US","7",",6","6",",6","0",",6","","","16.8",",,6,08,","59.1",",,,6"
"USC00155311","1941-04","37.55","-82.26667","274.3","MC VEIGH, KY US","4",",6","4",",6","1",",6","","","38.6",",,6,24,","65.0",",,,6"
"USC00155311","1941-05","37.55","-82.26667","274.3","MC VEIGH, KY US","4",",6","3",",6","0",",6","","","9.7",",,6,18,","23.2",",,,6"
"USC00155311","1941-06","37.55","-82.26667","274.3","MC VEIGH, KY US","11",",6","11",",6","1",",6","","","25.4",",,6,14,","115.9",",,,6"
"USC00155311","1941-08","37.55","-82.26667","274.3","MC VEIGH, KY US","5",",6","5",",6","3",",6","","","49.5",",,6,01,","120.8",",,,6"
"USC00155311","1941-09","37.55","-82.26667","274.3","MC VEIGH, KY US","3",",6","2",",6","0",",6","","","22.4",",,6,11,","42.5",",,,6"
"USC00155311","1941-10","37.55","-82.26667","274.3","MC VEIGH, KY US","9",",6","8",",6","1",",6","","","27.9",",,6,10,","84.6",",,,6"
"USC00155311","1941-12","37.55","-82.26667","274.3","MC VEIGH, KY US","3",",6","3",",6","0",",6","","","12.7",",,6,03,","31.5",",,,6"
