"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00016504","1949-01","67.01667","-50.8","50.3","SONDRESTROM, GL","","","","","12",",X","0",",X","0",",X","31",",X","0",",X","22","4,X","27","4,X","23","4,X","0","4,X","0","4,X","","","","","-45.0","4,X,25,","152",",,X,02,","18",",,X,02,","1.8",",,X,09,","2.8","4,X,08,","","","","","9.1",",,,X","74",",,,X","-23.74","8,X","-18.11","4,,,X","-29.38","4,,,X","","","",""
"GLW00016504","1949-02","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","6",",X","0",",X","0",",X","28",",X","0",",X","24",",X","28",",X","27",",X","0",",X","0",",X","3","","","","-45.0",",X,17,","127",",,X,08,","15",",,X,11,","1.5",",,X,11,","1.7",",X,05,","","","1342.0",",X","4.6",",,,X","49",",,,X","-29.59",",X","-25.97",",,,X","-33.22",",,,X","","","",""
"GLW00016504","1949-03","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0","4,X","6",",X","1",",X","0",",X","31",",X","1",",X","22","2,X","29","2,X","26","2,X","0","2,X","0","2,X","3","","","","-38.3","2,X,05,","152",",,X,03,+","51",",,X,02,","5.1",",,X,02,","9.4","2,X,07,","","","983.0","2,X","7.5",",,,X","75",",,,X","-17.62","4,X","-11.97","2,,,X","-23.26","2,,,X","","","",""
"GLW00016504","1949-04","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","3",",X","0",",X","0",",X","30",",X","0",",X","19",",X","30",",X","29",",X","0",",X","0",",X","3","","","","-27.2",",X,16,+","178",",,X,30,+","23",",,X,04,","2.3",",,X,04,","2.8",",X,06,","","","992.5",",X","4.1",",,,X","46",",,,X","-14.75",",X","-10.26",",,,X","-19.24",",,,X","","","",""
"GLW00016504","1949-05","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","1",",X","0",",X","0",",X","18",",X","0",",X","4",",X","21",",X","6",",X","0",",X","0",",X","","","","","-21.1",",X,01,","178",",,X,06,+","3",",,X,08,","0.3",",,X,08,","17.2",",X,24,","","","555.7",",X","0.3",",,,X","3",",,,X","0.41",",X","5.77",",,,X","-4.96",",,,X","","","",""
"GLW00016504","1949-06","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","1","","","","0.6",",X,04,","0",",,X,30,+","0",",T,X,03,","1.0",",,X,19,","21.7",",X,21,","","","271.7",",X","2.6",",,,X","0",",T,,X","9.28",",X","14.26",",,,X","4.29",",,,X","","","",""
"GLW00016504","1949-07","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","4",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","2.8",",X,31,","0",",,X,31,+","0",",,X,31,+","5.3",",,X,14,","20.6",",X,22,","208.5","X","208.5",",X","13.4",",,,X","0",",,,X","11.61",",X","17.23",",,,X","5.99",",,,X","","","",""
"GLW00016504","1949-08","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","5",",X","4",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","0",",X","0",",X","","","","","-1.7",",X,27,","0",",,X,31,+","0",",T,X,26,","14.0",",,X,19,","17.8",",X,12,","524.3","X","315.8",",X","38.4",",,,X","0",",T,,X","8.15",",X","12.78",",,,X","3.51",",,,X","","","",""
"GLW00016504","1949-09","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","9",",X","6",",X","0",",X","8",",X","5",",X","0",",X","21",",X","7",",X","0",",X","0",",X","2","","","","-11.1",",X,19,+","102",",,X,23,","130",",,X,23,","13.0",",,X,23,","16.1",",X,02,","1038.0","X","513.7",",X","41.6",",,,X","282",",,,X","1.21",",X","5.03",",,,X","-2.61",",,,X","","","",""
"GLW00016504","1949-10","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","9",",X","3",",X","0",",X","25",",X","3",",X","2",",X","30",",X","23",",X","0",",X","0",",X","1","","","","-21.7",",X,22,","102",",,X,22,+","38",",,X,07,","3.8",",,X,07,","8.3",",X,29,","1796.1","X","758.1",",X","17.1",",,,X","145",",,,X","-6.12",",X","-2.82",",,,X","-9.43",",,,X","","","",""
