"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00405560","1898-02","36.266667","-86.683333","152.4","MADISON, TN US","","","0.0","2,6","7","1,6","4","1,6","0","1,6","1",",6","0",",6","16",",6","5","2,6","1","2,6","0","2,6","2","","-12.2",",6,03,","28",",,6,21,","14.0","1,,6,11,","21.1","2,6,10,","","","352.9","2,6","48.1","1,,,6","41",",,,6","4.86","2,6","9.79","2,,,6","-0.08",",,,6","",""
"USC00405560","1898-03","36.266667","-86.683333","152.4","MADISON, TN US","","","20.3","1,6","13",",6","9",",6","2",",6","","","0",",6","7",",6","0","1,6","16","1,6","0","1,6","","","-6.7",",6,03,","","","36.1",",,6,28,","28.9","1,6,19,","","","177.8","1,6","161.2",",,,6","","","13.25","1,6","19.54","1,,,6","6.95",",,,6","",""
"USC00405560","1898-04","36.266667","-86.683333","152.4","MADISON, TN US","","","0.3","2,6","","","","","","","","","0","2,6","5","2,6","0",",6","16",",6","0",",6","","","-1.7","2,6,06,","","","","","29.4",",6,30,","","","137.3",",6","","","","","13.44","2,6","20.85",",,,6","6.03","2,,,6","",""
"USC00405560","1898-05","36.266667","-86.683333","152.4","MADISON, TN US","","","125.1",",6","8",",6","4",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","5",",6","","","2.8",",6,07,","","","26.4",",,6,06,","34.4",",6,18,","","","16.6",",6","52.8",",,,6","","","21.83",",6","28.82",",,,6","14.85",",,,6","",""
"USC00405560","1898-06","36.266667","-86.683333","152.4","MADISON, TN US","","","220.0",",6","12",",6","7",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","19",",6","","","14.4",",6,23,","","","27.4",",,6,13,","36.1",",6,02,","","","0.0",",6","104.0",",,,6","","","25.67",",6","32.04",",,,6","19.29",",,,6","",""
"USC00405560","1898-07","36.266667","-86.683333","152.4","MADISON, TN US","","","","","16",",6","9",",6","1",",6","","","0",",","0",",6","","","","","","","","","13.9",",6,12,","","","77.7",",,6,26,","","","","","","","162.9",",,,6","","","","","","","20.98",",,,6","",""
"USC00405560","1898-08","36.266667","-86.683333","152.4","MADISON, TN US","","","212.4","2,6","7",",6","5",",6","1",",6","","","0",",6","0",",6","0","2,6","29","2,6","19","2,6","","","13.9",",6,27,","","","80.8",",,6,09,","36.1","2,6,24,","","","0.0","2,6","103.8",",,,6","","","25.70","2,6","32.28","2,,,6","19.12",",,,6","",""
"USC00405560","1898-09","36.266667","-86.683333","152.4","MADISON, TN US","","","157.9",",6","10",",6","10",",6","2",",6","","","0",",6","0",",6","0",",6","30",",6","18",",6","","","5.6",",6,08,","","","38.9",",,6,22,","35.6",",6,01,","","","5.6",",6","149.7",",,,6","","","23.41",",6","30.99",",,,6","15.83",",,,6","",""
"USC00405560","1898-10","36.266667","-86.683333","152.4","MADISON, TN US","","","52.6",",6","15",",6","10",",6","1",",6","0",",6","0",",6","5",",6","0",",6","20",",6","2",",6","","","-5.0",",6,27,","0",",T,6,26,","33.0",",,6,17,","33.3",",6,05,","","","166.6",",6","110.6",",,,6","0",",T,,6","14.66",",6","21.75",",,,6","7.56",",,,6","",""
"USC00405560","1898-11","36.266667","-86.683333","152.4","MADISON, TN US","","","0.0","1,6","13",",6","6",",6","1",",6","","","0","1,6","13","1,6","0",",6","6",",6","0",",6","","","-12.2","1,6,27,","","","33.5",",,6,09,","26.7",",6,04,","","","323.5",",6","92.0",",,,6","","","7.26","1,6","13.79",",,,6","0.72","1,,,6","",""
