"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BGM00041891","1982-10","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","2","2,S","1","2,S","1","2,S","","","","","0","4,S","27","4,S","10","4,S","","","70.1","2,,S,23,","33.3","4,S,20,+","","","72.1","2,,,S","","","31.44","4,,,S","",""
"BGM00041891","1982-11","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","4,S","26","4,S","3","4,S","","","","","32.6","4,S,01,","","","","","","","28.46","4,,,S","",""
"BGM00041891","1982-12","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","0","5,S","0","5,S","0","5,S","","","","","","","","","","","","","0.0","5,,S,31,+","","","","","0.0","5,,,S","","","","","",""
"BGM00041891","1983-10","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","5,S","26","5,S","14","5,S","","","","","35.0","5,S,03,+","","","","","","","32.08","5,,,S","",""
"BGM00041891","1985-11","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","0","5,S","0","5,S","0","5,S","","","","","","","","","","","","","0.0","5,,S,30,+","","","","","0.0","5,,,S","","","","","",""
"BGM00041891","1986-02","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","0.0","4,,S,28,+","","","","","0.0","4,,,S","","","","","",""
"BGM00041891","1986-09","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","0","5,S","0","5,S","","","","","","","18.7","5,S,28,","","","","","","","","","","","","","22.61","5,,,S"
"BGM00041891","1990-12","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","1","5,S","0","5,S","0","5,S","","","","","0","5,S","26","5,S","0","5,S","","","0.3","5,,S,18,","28.5","5,S,12,","","","0.3","5,,,S","","","26.90","5,,,S","",""
"BGM00041891","1991-02","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","2","5,S","1","5,S","0","5,S","","","","","","","","","","","","","15.0","5,,S,06,","","","","","16.0","5,,,S","","","","","",""
"BGM00041891","1991-06","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","5,S","25","5,S","4","5,S","","","","","33.8","5,S,04,","","","","","","","29.82","5,,,S","",""
"BGM00041891","1991-08","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","5,S","26","5,S","13","5,S","","","","","37.2","5,S,20,","","","","","","","32.11","5,,,S","",""
"BGM00041891","1992-06","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","13","5,S","8","5,S","3","5,S","","","","","","","","","","","","","97.0","5,,S,12,","","","","","292.5","5,,,S","","","","","",""
"BGM00041891","1992-08","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","3,S","28","3,S","21","3,S","","","","","35.8","3,S,18,","","","","","","","32.71","3,,,S","",""
"BGM00041891","1992-09","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","3,S","27","3,S","13","3,S","","","","","35.5","3,S,22,","","","","","","","31.78","3,,,S","",""
"BGM00041891","1992-11","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","0","4,S","0","4,S","0","4,S","","","","","0","2,S","28","2,S","2","2,S","","","0.0","4,,S,30,+","32.8","2,S,01,","","","0.0","4,,,S","","","29.32","2,,,S","",""
"BGM00041891","1992-12","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","0.0","4,,S,31,+","","","","","0.0","4,,,S","","","","","",""
"BGM00041891","1993-11","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","30.5","5,S,11,+","","","","","","","29.28","5,,,S","",""
"BGM00041891","1995-07","24.963","91.867","15.2","OSMANY INTERNATIONAL, BG","","","","","","","","","","","","","0","4,S","27","4,S","12","4,S","","","","","34.0","4,S,19,","","","","","","","31.37","4,,,S","",""
