"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094053","1998-06","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","4.8",",W","","","3.4",",W","19",",W","8",",W","1",",W","0",",W","2",",W","0",",W","17",",W","0",",W","","","","","","","-1.7",",W,06,","25.9",",,W,17,","31.7",",W,25,","","","142.7",",W","72.7",",,,W","13.69",",W","21.48",",,,W","5.89",",,,W","","","220",",W","200",",W","19.2",",W","23.2",",W"
"USW00094053","1998-07","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","4.1",",W","","","114.6","3,W","13",",W","4",",W","0",",W","0","3,W","0","3,W","0","3,W","27","3,W","10","3,W","","","","","","","11.1","3,W,12,+","13.5",",,W,23,","38.3","3,W,18,","2.2","W","2.2","3,W","35.9",",,,W","22.34","3,W","30.68","3,,,W","14.01","3,,,W","","","60",",W","60",",W","16.1",",W","18.3",",W"
"USW00094053","1998-08","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","3.6",",W","","","85.1",",W","8",",W","2",",W","1",",W","0",",W","0",",W","0",",W","31",",W","12",",W","","","","","","","6.7",",W,28,","33.8",",,W,03,","35.6",",W,30,+","3.6","W","1.4",",W","44.8",",,,W","21.03",",W","30.29",",,,W","11.78",",,,W","","","290",",W","290",",W","16.1",",W","19.7",",W"
"USW00094053","1998-09","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","3.6",",W","","","50.8","3,W","4",",W","3",",W","0",",W","0","3,W","0","3,W","0","3,W","23","3,W","10","3,W","","","","","","","1.7","3,W,29,","18.3",",,W,20,","36.7","3,W,04,","61.0","W","57.4","3,W","39.9",",,,W","18.09","3,W","27.36","3,,,W","8.81","3,,,W","","","290",",W","290",",W","14.8",",W","18.3",",W"
"USW00094053","1998-10","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","4.5",",W","","","0.0",",W","13",",W","7",",W","3",",W","0",",W","15",",W","0",",W","3",",W","0",",W","","","","","","","-4.4",",W,21,","40.1",",,W,28,","24.4",",W,08,","395.3","W","334.3",",W","132.3",",,,W","7.55",",W","14.05",",,,W","1.05",",,,W","","","270",",W","280",",W","17.9",",W","21.5",",W"
"USW00094053","1998-11","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","5.7",",W","","","0.0","2,W","4",",W","1",",W","0",",W","0","2,W","21","2,W","1","2,W","1","2,W","0","2,W","","","","","","","-10.0","2,W,12,","2.8",",,W,03,","21.7","2,W,26,","795.7","W","400.4","2,W","5.6",",,,W","4.03","2,W","10.29","2,,,W","-2.23","2,,,W","","","250",",W","240",",W","25.0",",W","31.3",",W"
"USW00094053","1998-12","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","4.5",",W","","","0.0","1,W","2",",W","0",",W","0",",W","7",",W","29",",W","6","1,W","0","1,W","0","1,W","","","","","","","-32.8",",W,21,","2.3",",,W,18,","18.3","1,W,01,","1463.0","W","667.3","1,W","3.1",",,,W","-4.06","1,W","3.91","1,,,W","-12.03",",,,W","","","260",",W","270",",W","19.7",",W","23.7",",W"
"USW00094053","1999-01","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","4.4",",W","0.0","W","0.0","1,W","8",",W","1",",W","0",",W","4",",W","30",",W","4","1,W","0","1,W","0","1,W","","","","","","","-21.7",",W,28,","2.5",",,W,26,","12.8","1,W,18,+","2093.6","W","630.6","1,W","8.8",",,,W","-2.82","1,W","5.25","1,,,W","-10.89",",,,W","","","260",",W","270",",W","20.6",",W","23.7",",W"
"USW00094053","1999-02","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","6.5",",W","0.0","W","0.0",",W","3",",W","0",",W","0",",W","0",",W","25",",W","1",",W","0",",W","0",",W","","","","","","","-11.7",",W,16,+","0.8",",,W,20,+","16.1",",W,09,","2570.3","W","476.7",",W","1.9",",,,W","1.31",",W","8.29",",,,W","-5.68",",,,W","","","250",",W","240",",W","23.2",",W","26.8",",W"
"USW00094053","1999-03","42.0613","-104.1584","1279.9","TORRINGTON MUNICIPAL AIRPORT, WY US","5.0",",W","0.0","W","0.0",",W","6",",W","3",",W","0",",W","0",",W","28",",W","1",",W","2",",W","0",",W","","","","","","","-12.2",",W,06,","7.6",",,W,31,","22.8",",W,26,","3032.6","W","462.3",",W","16.2",",,,W","3.42",",W","11.97",",,,W","-5.13",",,,W","","","260",",W","260",",W","19.7",",W","25.0",",W"
