"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00046677","1963-01","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","","","2","2,0","2","2,0","0","2,0","0","2,0","0","2,0","","","","","","","","","","","","","0","2,,0,31,+","0","2,,0,31,+","5.3","2,,0,30,","","","","","","","","","","","","","8.6","2,,,0","0","2,,,0","","","","","","","",""
"USC00046677","1963-02","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","0.0","2,0","9",",0","6",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","5","2,0","0","2,0","5.0","2,0,27,","0",",,0,28,+","0",",,0,28,+","39.6",",,0,10,","22.8","2,0,06,","","","","","118.0","2,0","","","","","72.0",",,,0","0",",,,0","13.80","2,0","18.82","2,,,0","8.77","2,,,0","",""
"USC00046677","1963-03","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","0.0",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","0.6",",0,04,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,28,","23.9",",0,22,","142.4",",,,0","","","203.4",",0","","","","","21.9",",,,0","0",",,,0","11.77",",0","18.28",",,,0","5.26",",,,0","4497",",,,0"
"USC00046677","1963-04","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","1.7","1,0","12",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","9","1,0","0","1,0","1.7","1,0,21,","0",",,0,30,+","0",",,0,30,+","10.9",",,0,26,","25.0","1,0,14,","143.6","2,,,0","","","157.8","1,0","","","","","28.2",",,,0","0",",,,0","12.95","1,0","18.99","1,,,0","6.91","1,,,0","3784","2,,,0"
"USC00046677","1963-05","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","33.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","6.1",",0,12,+","0",",,0,31,+","0",",,0,31,+","3.0",",,0,09,","35.0",",0,18,","254.3",",,,0","","","36.9",",0","","","","","4.5",",,,0","0",",,,0","18.24",",0","26.08",",,,0","10.39",",,,0","4288",",,,0"
"USC00046677","1963-06","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","103.4","2,0","1",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","2,0","28","2,0","10","2,0","8.9","1,0,29,","0",",,0,30,+","0",",,0,30,+","5.8",",,0,11,","38.3","2,0,18,+","313.7","2,,,0","","","1.4","2,0","","","","","5.8",",,,0","0",",,,0","21.92","2,0","30.81","2,,,0","13.04","1,,,0","4322","2,,,0"
"USC00046677","1963-07","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","161.2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","8.9",",0,02,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.3",",0,14,","380.0",",,,0","0.0","0","0.0",",0","","","","","0.0",",,,0","0",",,,0","23.53",",0","33.55",",,,0","13.51",",,,0","3707",",,,0"
"USC00046677","1963-08","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","171.0","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","22","1,0","8.3","1,0,24,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","37.2","1,0,16,","291.6","2,,,0","0.8","0","0.8","1,0","","","","","0.0",",,,0","0",",,,0","24.01","1,0","33.25","1,,,0","14.76","1,,,0","2982","2,,,0"
"USC00046677","1963-09","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","120.6","3,0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","27","3,0","9","3,0","9.4",",0,16,","0",",,0,30,+","0",",,0,30,+","1.5",",,0,19,+","40.6","3,0,27,","234.2",",,,0","3.0","0","2.2","3,0","15.68",",,,0","30.76",",,,0","3.5",",,,0","0",",,,0","22.79","3,0","30.87","3,,,0","14.70",",,,0","2965",",,,0"
"USC00046677","1963-10","36.68333","-120.58333","113.1","PANOCHE CREEK, CA US","","","","","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","6.7",",0,31,","0",",,0,31,+","0",",,0,31,+","23.4",",,0,16,","","","142.4",",,,0","","","","","12.10",",,,0","24.54",",,,0","37.4",",,,0","0",",,,0","","","","","11.22",",,,0","2826",",,,0"
