"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00181790","1899-01","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","0.0","6","0.0",",6","","","","","","","","","1",",6","2",",6","26",",6","3",",6","0",",6","0",",6","","","","","-26.1",",6,01,","","","51",",,6,31,","","","18.3",",6,03,","","","567.9",",6","","","51",",,,6","0.01",",6","6.18",",,,6","-6.15",",,,6","","","",""
"USC00181790","1899-02","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","0.0","6","0.0","1,6","5",",6","5",",6","2",",6","","","3",",6","8","1,6","25","1,6","12",",6","0",",6","0",",6","","","","","-28.3","1,6,12,","","","584",",,6,13,","58.4",",,6,13,","12.2",",6,22,","","","603.1",",6","109.2",",,,6","787",",,,6","-4.14","1,6","1.96",",,,6","-10.25","1,,,6","","","",""
"USC00181790","1899-03","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","0.0","6","0.0",",6","10",",6","9",",6","1",",6","","","1",",6","0",",6","15",",6","0",",6","2",",6","0",",6","","","","","-11.1",",6,29,","","","102",",,6,07,","27.7",",,6,28,","23.3",",6,12,","","","433.5",",6","108.8",",,,6","102",",,,6","4.35",",6","9.43",",,,6","-0.73",",,,6","","","",""
"USC00181790","1899-04","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","1.9","6","1.9",",6","2",",6","2",",6","0",",6","","","","","0",",6","10",",6","0",",6","15",",6","0",",6","","","","","-5.6",",6,04,","","","","","16.0",",,6,07,","27.8",",6,30,","","","217.5",",6","24.1",",,,6","","","11.15",",6","18.65",",,,6","3.65",",,,6","","","",""
"USC00181790","1899-05","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","45.4","6","43.5",",6","8",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","23",",6","3",",6","","","","","2.8",",6,23,+","","","","","50.3",",,6,19,","35.6",",6,29,","","","69.2",",6","128.9",",,,6","","","17.50",",6","24.95",",,,6","10.06",",,,6","","","",""
"USC00181790","1899-06","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","205.4","6","160.0","1,6","5",",6","5",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","30",",6","11",",6","","","","","7.8","1,6,30,","","","","","40.1",",,6,10,","35.0",",6,23,","","","1.4",",6","106.4",",,,6","","","23.84","1,6","30.18",",,,6","17.49","1,,,6","","","",""
"USC00181790","1899-07","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","370.6","6","165.2",",6","8",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","13",",6","","","","","8.9",",6,31,","","","","","8.6",",,6,08,","35.6",",6,27,","0.0","6","0.0",",6","27.9",",,,6","","","23.66",",6","31.02",",,,6","16.30",",,,6","","","",""
"USC00181790","1899-08","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","528.4","6","157.8",",6","8",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","16",",6","","","","","8.9",",6,17,","","","","","41.4",",,6,27,","37.2",",6,20,","0.5","6","0.5",",6","97.8",",,,6","","","23.41",",6","30.93",",,,6","15.88",",,,6","","","",""
"USC00181790","1899-09","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","581.2","6","52.8",",6","7",",6","7",",6","2",",6","","","","","0",",6","1",",6","0",",6","23",",6","3",",6","","","","","-0.6",",6,30,","","","","","29.2",",,6,11,","32.8",",6,06,","62.3","6","61.8",",6","119.0",",,,6","","","18.03",",6","24.46",",,,6","11.61",",,,6","","","",""
"USC00181790","1899-10","39.64034","-77.69778","162.2","HAGERSTOWN 1 E, MD US","","","583.7","6","2.5","2,6","4",",6","4",",6","0",",6","","","","","0","1,6","6","1,6","0","1,6","16","1,6","0","1,6","","","","","-2.8","1,6,22,+","","","","","17.0",",,6,09,","26.7","1,6,14,","202.6","6","140.3","1,6","41.4",",,,6","","","13.43","2,6","20.15","1,,,6","6.72","1,,,6","","","",""
