"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00423929","1915-08","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6","",""
"USC00423929","1915-09","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19.3",",,6,02,","57.7",",,,6","","","",""
"USC00423929","1915-11","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","6",",6","4",",6","0",",6","","","3","2,6","","","","","","","","","","","","","191","2,,6,24,","20.3",",,6,07,","55.1",",,,6","357","2,,,6","",""
"USC00423929","1915-12","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","8",",6","8",",6","0",",6","19",",6","7",",6","","","","","","","","","","","483",",,6,29,","305",",,6,26,","17.8",",,6,26,+","85.4",",,,6","1079",",,,6","",""
"USC00423929","1916-01","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","","","","","","","","","16",",6","","","","","","","","","","","","","191",",,6,15,","","","","","1423",",,,6","",""
"USC00423929","1916-02","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","10",",6","8",",6","0",",6","29",",6","7",",6","","","","","","","","","","","940",",,6,04,","127",",,6,03,","17.0",",,6,27,","77.3",",,,6","624",",,,6","",""
"USC00423929","1916-03","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","8",",6","7",",6","1",",6","21",",6","6",",6","","","","","","","","","","","584",",,6,05,","470",",,6,24,","49.3",",,6,24,","111.7",",,,6","863",",,,6","",""
"USC00423929","1916-04","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","4",",6","4",",6","0",",6","3",",6","2",",6","","","","","","","","","","","127",",,6,19,","102",",,6,19,","20.3",",,6,19,","33.0",",,,6","127",",,,6","",""
"USC00423929","1916-05","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","2",",6","1",",6","0",",6","0",",6","0",",6","","","","","","","","","","","0",",T,6,19,","0",",T,6,22,+","16.8",",,6,20,","17.3",",,,6","0",",T,,6","",""
"USC00423929","1916-06","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","2",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","0",",,6,30,+","15.2",",,6,22,","25.9",",,,6","0",",,,6","",""
"USC00423929","1916-07","40.81667","-111.83333","1610.0","CITY CRK WATER PLANT, UT US","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","21.6",",,6,24,","30.0",",,,6","","","",""
