"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GME00125098","2001-04","48.2181","9.9094","539.0","LAUPHEIM, GM","17","2,E","10","2,E","0","2,E","3","2,","40","2,,E,21,","9.8","2,,E,07,","59.5","2,,,E"
"GME00125098","2001-05","48.2181","9.9094","539.0","LAUPHEIM, GM","9","1,E","6","1,E","0","1,E","0","1,","0","1,,E,31,+","13.2","1,,E,05,","58.3","1,,,E"
"GME00125098","2001-06","48.2181","9.9094","539.0","LAUPHEIM, GM","17",",E","12",",E","0",",E","0",",","0",",,E,30,+","16.6",",,E,10,","108.9",",,,E"
"GME00125098","2001-07","48.2181","9.9094","539.0","LAUPHEIM, GM","8",",E","5",",E","1",",E","0",",","0",",,E,31,+","31.0",",,E,15,","70.1",",,,E"
"GME00125098","2001-08","48.2181","9.9094","539.0","LAUPHEIM, GM","13","1,E","8","1,E","1","1,E","0",",","0",",,E,31,+","33.8","1,,E,03,","90.5","1,,,E"
"GME00125098","2001-09","48.2181","9.9094","539.0","LAUPHEIM, GM","21",",E","10",",E","2",",E","0",",","0",",,E,30,+","40.2",",,E,08,","145.6",",,,E"
"GME00125098","2001-10","48.2181","9.9094","539.0","LAUPHEIM, GM","13",",E","8",",E","0",",E","0",",","0",",,E,31,+","12.5",",,E,20,","60.3",",,,E"
"GME00125098","2001-11","48.2181","9.9094","539.0","LAUPHEIM, GM","13",",E","9",",E","0",",E","0",",","20",",,E,25,+","9.6",",,E,07,","55.5",",,,E"
"GME00125098","2001-12","48.2181","9.9094","539.0","LAUPHEIM, GM","15",",E","2",",E","0",",E","6",",","40",",,E,24,","7.5",",,E,01,","26.1",",,,E"
"GME00125098","2002-01","48.2181","9.9094","539.0","LAUPHEIM, GM","6",",E","2",",E","0",",E","0",",","10",",,E,12,+","3.8",",,E,25,","11.8",",,,E"
"GME00125098","2002-02","48.2181","9.9094","539.0","LAUPHEIM, GM","13",",E","5",",E","0",",E","0",",","20",",,E,25,","8.0",",,E,27,","42.7",",,,E"
"GME00125098","2002-03","48.2181","9.9094","539.0","LAUPHEIM, GM","8",",E","5",",E","0",",E","0",",","0",",,E,31,+","19.3",",,E,19,","47.3",",,,E"
"GME00125098","2002-04","48.2181","9.9094","539.0","LAUPHEIM, GM","10",",E","7",",E","0",",E","0",",","0",",,E,30,+","17.3",",,E,24,","51.5",",,,E"
"GME00125098","2002-05","48.2181","9.9094","539.0","LAUPHEIM, GM","16",",E","11",",E","1",",E","0",",","0",",,E,31,+","29.8",",,E,18,","116.6",",,,E"
"GME00125098","2002-06","48.2181","9.9094","539.0","LAUPHEIM, GM","14","1,E","8","1,E","2","1,E","0","1,","0","1,,E,30,+","40.8","1,,E,23,","125.6","1,,,E"
"GME00125098","2002-07","48.2181","9.9094","539.0","LAUPHEIM, GM","20",",E","12",",E","1",",E","0",",","0",",,E,31,+","46.9",",,E,31,","136.2",",,,E"
"GME00125098","2002-08","48.2181","9.9094","539.0","LAUPHEIM, GM","13",",E","11",",E","2",",E","0",",","0",",,E,31,+","34.7",",,E,10,","157.4",",,,E"
"GME00125098","2002-09","48.2181","9.9094","539.0","LAUPHEIM, GM","16",",E","11",",E","1",",E","0","1,","0","1,,E,30,+","32.4",",,E,24,","123.0",",,,E"
