"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00088014","1906-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","12",",a","8",",a","0",",a","","","","","","","","","","","","","24.6",",,a,22,","","","","","96.8",",,,a","","","","","",""
"ASN00088014","1906-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","14",",a","6",",a","0",",a","","","","","","","","","","","","","14.0",",,a,25,","","","","","49.6",",,,a","","","","","",""
"ASN00088014","1906-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","9",",a","4",",a","1",",a","","","","","","","","","","","","","73.2",",,a,09,","","","","","120.0",",,,a","","","","","",""
"ASN00088014","1906-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","10",",a","0",",a","","","","","","","","","","","","","19.6",",,a,02,","","","","","79.3",",,,a","","","","","",""
"ASN00088014","1906-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","12",",a","7",",a","1",",a","","","","","","","","","","","","","26.2",",,a,19,","","","","","63.6",",,,a","","","","","",""
"ASN00088014","1906-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","8",",a","2",",a","0",",a","","","","","","","","","","","","","7.9",",,a,18,","","","","","17.1",",,,a","","","","","",""
"ASN00088014","1907-01","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","3",",a","0",",a","","","","","","","","","","","","","24.1",",,a,26,","","","","","31.2",",,,a","","","","","",""
"ASN00088014","1907-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","2",",a","2",",a","0",",a","","","","","","","","","","","","","23.1",",,a,07,","","","","","39.6",",,,a","","","","","",""
"ASN00088014","1907-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","12.2",",,a,05,","","","","","13.0",",,,a","","","","","",""
"ASN00088014","1907-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","14",",a","5",",a","0",",a","","","","","","","","","","","","","20.6",",,a,07,","","","","","54.1",",,,a","","","","","",""
"ASN00088014","1907-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","2.5",",,a,23,","","","","","3.8",",,,a","","","","","",""
"ASN00088014","1907-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","5",",a","0",",a","","","","","","","","","","","","","19.6",",,a,02,","","","","","36.0",",,,a","","","","","",""
"ASN00088014","1907-07","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","17",",a","7",",a","0",",a","","","","","","","","","","","","","23.6",",,a,29,","","","","","70.5",",,,a","","","","","",""
"ASN00088014","1907-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","18",",a","11",",a","0",",a","","","","","","","","","","","","","8.4",",,a,12,+","","","","","70.4",",,,a","","","","","",""
"ASN00088014","1907-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","5",",a","5",",a","0",",a","","","","","","","","","","","","","11.7",",,a,24,","","","","","30.9",",,,a","","","","","",""
"ASN00088014","1907-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","3",",a","0",",a","","","","","","","","","","","","","4.8",",,a,31,","","","","","15.0",",,,a","","","","","",""
"ASN00088014","1907-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","3",",a","0",",a","","","","","","","","","","","","","9.9",",,a,23,","","","","","30.3",",,,a","","","","","",""
"ASN00088014","1907-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","4",",a","2",",a","","","","","","","","","","","","","49.5",",,a,27,","","","","","89.3",",,,a","","","","","",""
