"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014931","1897-07","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","","","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5",",,6,20,","","","","","","","32.4",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00014931","1897-08","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","","","159.9",",6","3",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","8",",6","","","","","","","10.6",",6,26,+","","","","","40.9",",,6,04,","36.7",",6,31,","4.5","","5.5",",6","44.0",",,,6","","","23.31",",6","28.79",",,,6","17.84",",,,6","","","","","","","","","","","","","",""
"USW00014931","1897-10","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","","","57.4",",6","1",",6","1",",6","0",",6","","","","","0",",6","1",",6","0",",6","19",",6","4",",6","","","","","","","0.0",",6,29,","","","","","9.7",",,6,11,","33.9",",6,01,","","","92.8",",6","9.7",",,,6","","","17.19",",6","23.35",",,,6","11.04",",,,6","","","","","","","","","","","","","",""
"USW00014931","1897-11","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","","","0.0",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","16",",6","2",",6","3",",6","0",",6","","","","","","","-16.1",",6,29,","","","0",",T,6,28,","22.6",",,6,08,","23.3",",6,20,","","","415.4",",6","46.2",",,,6","0",",T,,6","4.49",",6","10.19",",,,6","-1.22",",,,6","","","","","","","","","","","","","",""
"USW00014931","1897-12","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","","","0.0","4,6","2",",6","1",",6","0",",6","","","","","2","3,6","28","3,6","17","3,6","0","3,6","0","3,6","","","","","","","-18.3","3,6,24,+","","","","","14.0",",,6,03,","11.7","3,6,09,","","","623.7","3,6","15.5",",,,6","","","-4.45","4,6","-0.03","3,,,6","-8.87","3,,,6","","","","","","","","","","","","","",""
"USW00014931","1898-01","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","0.0","6","0.0",",6","5",",6","3",",6","1",",6","","","1",",6","0",",6","29",",6","7",",6","0",",6","0",",6","","","","","","","-15.6",",6,01,","","","292",",,6,22,","29.2",",,6,22,","6.1",",6,05,","","","632.5",",6","47.2",",,,6","292",",,,6","-2.07",",6","1.99",",,,6","-6.13",",,,6","","","","","","","","","","","","","",""
"USW00014931","1898-02","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","0.0","6","0.0",",6","3",",6","3",",6","0",",6","","","","","3",",6","24",",6","7",",6","0",",6","0",",6","","","","","","","-21.7",",6,01,","","","","","20.3",",,6,20,","14.4",",6,10,","","","551.4",",6","31.7",",,,6","","","-1.36",",6","3.43",",,,6","-6.15",",,,6","","","","","","","","","","","","","",""
"USW00014931","1898-03","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","0.0","6","0.0",",6","9",",6","8",",6","3",",6","","","","","0",",6","18",",6","1",",6","0",",6","0",",6","","","","","","","-7.2",",6,23,","","","","","43.2",",,6,27,","18.3",",6,16,+","","","393.5",",6","155.6",",,,6","","","5.64",",6","11.13",",,,6","0.15",",,,6","","","","","","","","","","","","","",""
"USW00014931","1898-04","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","6.7","6","6.7",",6","9",",6","6",",6","1",",6","","","","","0",",6","5",",6","0",",6","4",",6","0",",6","","","","","","","-5.0",",6,05,","","","","","27.9",",,6,13,","27.8",",6,16,","","","233.0",",6","70.8",",,,6","","","10.79",",6","16.14",",,,6","5.44",",,,6","","","","","","","","","","","","","",""
"USW00014931","1898-05","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","","","37.1","6","30.4","2,6","11",",6","9",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","21","1,6","0","1,6","","","","","","","4.4","1,6,06,+","","","","","54.6",",,6,19,","30.6","1,6,24,","","","52.9","1,6","136.1",",,,6","","","17.35","2,6","22.33","1,,,6","12.37","1,,,6","","","","","","","","","","","","","",""
