"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00120975","1896-09","39.21667","-84.85",,"BRIGHT, IN US","","","","","5",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","64.3",",,6,29,","","","","","","","120.7",",,,6","","","","","","","",""
"USC00120975","1896-10","39.21667","-84.85",,"BRIGHT, IN US","","","1.9",",6","5",",6","5",",6","0",",6","0",",6","0",",6","0",",6","0",",6","4",",6","0",",6","","","1.1",",6,19,+","0",",,6,31,+","10.2",",,6,12,","23.9",",6,29,","","","203.8",",6","30.7",",,,6","0",",,,6","11.82",",6","16.15",",,,6","7.50",",,,6"
"USC00120975","1896-11","39.21667","-84.85",,"BRIGHT, IN US","","","0.0",",6","","","","","","","0",",6","0",",6","6",",6","2",",6","1",",6","0",",6","","","-11.1",",6,30,","0",",T,6,08,+","","","21.1",",6,02,","","","290.8",",6","","","0",",T,,6","8.64",",6","12.94",",,,6","4.34",",,,6"
"USC00120975","1896-12","39.21667","-84.85",,"BRIGHT, IN US","","","0.0","5,6","3",",6","3",",6","0",",6","0",",6","0","3,6","16","3,6","7","3,6","0","3,6","0","3,6","","","-10.6","3,6,01,","0",",T,6,22,","20.8",",,6,14,","16.1","3,6,12,","","","409.9","3,6","44.4",",,,6","0",",T,,6","2.54","5,6","6.39","3,,,6","-1.30","3,,,6"
"USC00120975","1897-01","39.21667","-84.85",,"BRIGHT, IN US","0.0","6","0.0",",6","11",",6","9",",6","0",",6","","","6",",6","26",",6","10",",6","0",",6","0",",6","","","-26.1",",6,25,","","","18.0",",,6,17,","17.8",",6,04,+","","","646.1",",6","75.4",",,,6","","","-2.51",",6","1.82",",,,6","-6.84",",,,6"
"USC00120975","1897-02","39.21667","-84.85",,"BRIGHT, IN US","0.0","6","0.0","4,6","7",",6","6",",6","1",",6","2",",6","0","2,6","21","2,6","2","2,6","0","2,6","0","2,6","","","-13.9","2,6,27,","76",",,6,08,","39.4",",,6,21,","15.6","2,6,17,","","","406.4","2,6","104.2",",,,6","140",",,,6","1.48","4,6","5.48","2,,,6","-2.52","2,,,6"
"USC00120975","1897-03","39.21667","-84.85",,"BRIGHT, IN US","0.0","6","0.0",",6","11",",6","9",",6","2",",6","0",",6","0",",6","13",",6","0",",6","1",",6","0",",6","","","-5.0",",6,27,+","18",",,6,25,","124.5",",,6,05,","21.1",",6,22,","","","350.4",",6","241.3",",,,6","18",",,,6","7.03",",6","12.05",",,,6","2.01",",,,6"
"USC00120975","1897-04","39.21667","-84.85",,"BRIGHT, IN US","3.6","6","3.6",",6","10",",6","7",",6","1",",6","0",",6","0",",6","5",",6","0",",6","8",",6","0",",6","","","-5.0",",6,20,","13",",,6,09,","39.4",",,6,09,","26.7",",6,24,","","","226.4",",6","115.4",",,,6","13",",,,6","10.91",",6","15.96",",,,6","5.85",",,,6"
"USC00120975","1897-05","39.21667","-84.85",,"BRIGHT, IN US","14.2","6","10.6",",6","","","","","","","1",",6","0",",6","0",",6","0",",6","17",",6","0",",6","","","0.6",",6,02,","51",",,6,02,","","","27.8",",6,08,","","","126.2",",6","","","51",",,,6","14.60",",6","20.09",",,,6","9.12",",,,6"
"USC00120975","1897-06","39.21667","-84.85",,"BRIGHT, IN US","123.6","6","109.4",",6","12",",6","8",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","2",",6","","","7.8",",6,08,","","","22.1",",,6,16,","32.8",",6,15,","","","14.7",",6","90.6",",,,6","","","21.49",",6","27.50",",,,6","15.48",",,,6"
