"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"RSM00031311","1936-01","53.967","129.067","405.0","OGORON, RS","2",",I","1",",I","0",",I","","","","","","","","","","","4.4",",,I,05,","","","5.5",",,,I","",""
"RSM00031311","1936-02","53.967","129.067","405.0","OGORON, RS","1","1,I","0","1,I","0","1,I","","","","","","","","","","","0.8","1,,I,12,","","","0.8","1,,,I","",""
"RSM00031311","1936-03","53.967","129.067","405.0","OGORON, RS","0",",I","0",",I","0",",I","","","","","","","","","","","0.2",",,I,22,","","","0.2",",,,I","",""
"RSM00031311","1936-04","53.967","129.067","405.0","OGORON, RS","5",",I","2",",I","0",",I","","","","","","","","","","","5.7",",,I,18,","","","12.3",",,,I","",""
"RSM00031311","1936-05","53.967","129.067","405.0","OGORON, RS","9",",I","5",",I","0",",I","","","","","","","","","","","17.0",",,I,12,","","","44.3",",,,I","",""
"RSM00031311","1936-06","53.967","129.067","405.0","OGORON, RS","18",",I","11",",I","1",",I","","","","","","","","","","","26.2",",,I,11,","","","134.5",",,,I","",""
"RSM00031311","1936-07","53.967","129.067","405.0","OGORON, RS","14",",I","9",",I","1",",I","","","","","","","","","","","33.5",",,I,22,","","","144.4",",,,I","",""
"RSM00031311","1936-08","53.967","129.067","405.0","OGORON, RS","19",",I","9",",I","2",",I","","","","","","","","","","","59.6",",,I,09,","","","181.3",",,,I","",""
"RSM00031311","1936-09","53.967","129.067","405.0","OGORON, RS","15","1,I","6","1,I","1","1,I","","","","","","","","","","","30.4","1,,I,03,","","","75.3","1,,,I","",""
"RSM00031311","1936-10","53.967","129.067","405.0","OGORON, RS","16",",I","6",",I","0",",I","","","","","","","","","","","10.7",",,I,11,","","","50.3",",,,I","",""
"RSM00031311","1936-11","53.967","129.067","405.0","OGORON, RS","11",",I","2",",I","0",",I","","","","","","","","","","","3.4",",,I,10,","","","10.7",",,,I","",""
"RSM00031311","1936-12","53.967","129.067","405.0","OGORON, RS","7",",I","1",",I","0",",I","","","","","","","","","","","2.7",",,I,02,","","","6.0",",,,I","",""
"RSM00031311","1937-01","53.967","129.067","405.0","OGORON, RS","2","1,I","0","1,I","0","1,I","","","","","","","","","","","0.5","1,,I,16,","","","1.3","1,,,I","",""
"RSM00031311","1937-02","53.967","129.067","405.0","OGORON, RS","3",",I","1",",I","0",",I","","","","","","","","","","","2.9",",,I,22,","","","4.3",",,,I","",""
"RSM00031311","1937-03","53.967","129.067","405.0","OGORON, RS","2",",I","0",",I","0",",I","","","","","","","","","","","1.3",",,I,30,","","","2.3",",,,I","",""
"RSM00031311","1937-04","53.967","129.067","405.0","OGORON, RS","7",",I","3",",I","0",",I","","","","","","","","","","","5.2",",,I,16,","","","19.5",",,,I","",""
"RSM00031311","1937-05","53.967","129.067","405.0","OGORON, RS","6",",I","3",",I","0",",I","","","","","","","","","","","10.5",",,I,28,","","","23.4",",,,I","",""
"RSM00031311","1937-06","53.967","129.067","405.0","OGORON, RS","2",",I","2",",I","0",",I","","","","","","","","","","","12.6",",,I,21,","","","18.0",",,,I","",""
"RSM00031311","1937-07","53.967","129.067","405.0","OGORON, RS","21",",I","16",",I","0",",I","","","","","","","","","","","17.2",",,I,09,","","","125.9",",,,I","",""
"RSM00031311","1937-08","53.967","129.067","405.0","OGORON, RS","11","1,I","8","1,I","0","1,I","","","","","","","","","","","14.1","1,,I,03,","","","53.2","1,,,I","",""
"RSM00031311","1937-09","53.967","129.067","405.0","OGORON, RS","13",",I","10",",I","1",",I","","","","","","","","","","","33.2",",,I,02,","","","88.1",",,,I","",""
"RSM00031311","1937-10","53.967","129.067","405.0","OGORON, RS","10",",I","5",",I","0",",I","","","","","","","","","","","17.1",",,I,12,","","","41.8",",,,I","",""
"RSM00031311","1937-11","53.967","129.067","405.0","OGORON, RS","8",",I","0",",I","0",",I","","","","","","","","","","","1.0",",,I,02,","","","4.4",",,,I","",""
"RSM00031311","1937-12","53.967","129.067","405.0","OGORON, RS","9","1,I","0","1,I","0","1,I","","","","","","","","","","","1.3","1,,I,10,","","","6.2","1,,,I","",""
"RSM00031311","1938-01","53.967","129.067","405.0","OGORON, RS","1",",I","0",",I","0",",I","","","","","","","","","","","0.3",",,I,02,","","","0.5",",,,I","",""
"RSM00031311","1938-02","53.967","129.067","405.0","OGORON, RS","4",",I","0",",I","0",",I","","","","","","","","","","","2.0",",,I,26,","","","4.7",",,,I","",""
"RSM00031311","1938-03","53.967","129.067","405.0","OGORON, RS","2",",I","0",",I","0",",I","","","","","","","","","","","0.5",",,I,26,","","","1.1",",,,I","",""
"RSM00031311","1938-04","53.967","129.067","405.0","OGORON, RS","11",",I","6",",I","0",",I","","","","","","","","","","","12.4",",,I,19,","","","44.5",",,,I","",""
"RSM00031311","1938-05","53.967","129.067","405.0","OGORON, RS","17",",I","9",",I","1",",I","","","","","","","","","","","27.1",",,I,30,","","","104.0",",,,I","",""
"RSM00031311","1938-06","53.967","129.067","405.0","OGORON, RS","12",",I","9",",I","0",",I","","","","","","","","","","","21.2",",,I,19,","","","79.5",",,,I","",""
"RSM00031311","1938-07","53.967","129.067","405.0","OGORON, RS","23","1,I","17","1,I","3","1,I","","","","","","","","","","","51.8","1,,I,13,","","","272.3","1,,,I","",""
"RSM00031311","1938-08","53.967","129.067","405.0","OGORON, RS","17","1,I","9","1,I","1","1,I","","","","","","","","","","","29.5","1,,I,25,","","","110.6","1,,,I","",""
"RSM00031311","1938-09","53.967","129.067","405.0","OGORON, RS","9",",I","4",",I","0",",I","","","","","","","","","","","12.9",",,I,06,","","","34.9",",,,I","",""
"RSM00031311","1938-10","53.967","129.067","405.0","OGORON, RS","9",",I","2",",I","0",",I","","","","","","","","","","","3.8",",,I,10,","","","14.6",",,,I","",""
"RSM00031311","1938-11","53.967","129.067","405.0","OGORON, RS","7","1,I","0","1,I","0","1,I","","","","","","","","","","","2.1","1,,I,09,","","","7.8","1,,,I","",""
"RSM00031311","1938-12","53.967","129.067","405.0","OGORON, RS","2",",I","0",",I","0",",I","","","","","","","","","","","0.4",",,I,04,","","","1.1",",,,I","",""
"RSM00031311","1939-01","53.967","129.067","405.0","OGORON, RS","6",",I","1",",I","0",",I","","","","","","","","","","","2.5",",,I,31,","","","6.9",",,,I","",""
"RSM00031311","1939-02","53.967","129.067","405.0","OGORON, RS","0","1,I","0","1,I","0","1,I","","","","","","","","","","","0.1","1,,I,21,+","","","0.2","1,,,I","",""
"RSM00031311","1939-03","53.967","129.067","405.0","OGORON, RS","6",",I","0",",I","0",",I","","","","","","","","","","","1.6",",,I,02,","","","6.1",",,,I","",""
"RSM00031311","1939-04","53.967","129.067","405.0","OGORON, RS","1",",I","0",",I","0",",I","","","","","","","","","","","0.6",",,I,30,","","","0.6",",,,I","",""
"RSM00031311","1939-05","53.967","129.067","405.0","OGORON, RS","10",",I","5",",I","1",",I","","","","","","","","","","","31.9",",,I,08,","","","60.7",",,,I","",""
"RSM00031311","1939-06","53.967","129.067","405.0","OGORON, RS","17","1,I","10","1,I","1","1,I","","","","","","","","","","","31.5","1,,I,21,","","","102.9","1,,,I","",""
"RSM00031311","1939-07","53.967","129.067","405.0","OGORON, RS","12",",I","8",",I","1",",I","","","","","","","","","","","31.1",",,I,18,","","","95.0",",,,I","",""
"RSM00031311","1939-08","53.967","129.067","405.0","OGORON, RS","12","1,I","8","1,I","0","1,I","","","","","","","","","","","9.1","1,,I,28,","","","43.8","1,,,I","",""
"RSM00031311","1939-09","53.967","129.067","405.0","OGORON, RS","12",",I","6",",I","1",",I","","","","","","","","","","","25.4",",,I,09,","","","65.8",",,,I","",""
"RSM00031311","1939-10","53.967","129.067","405.0","OGORON, RS","4",",I","2",",I","0",",I","","","","","","","","","","","16.6",",,I,06,","","","25.9",",,,I","",""
"RSM00031311","1939-11","53.967","129.067","405.0","OGORON, RS","8",",I","1",",I","0",",I","","","","","","","","","","","4.7",",,I,08,","","","12.5",",,,I","",""
"RSM00031311","1939-12","53.967","129.067","405.0","OGORON, RS","8",",I","0",",I","0",",I","","","","","","","","","","","1.7",",,I,29,","","","6.4",",,,I","",""
"RSM00031311","1940-01","53.967","129.067","405.0","OGORON, RS","5",",I","0",",I","0",",I","","","","","","","","","","","1.5",",,I,02,","","","4.0",",,,I","",""
"RSM00031311","1940-02","53.967","129.067","405.0","OGORON, RS","2",",I","0",",I","0",",I","","","","","","","","","","","0.5",",,I,10,","","","1.1",",,,I","",""
"RSM00031311","1940-03","53.967","129.067","405.0","OGORON, RS","8","1,I","0","1,I","0","1,I","","","","","","","","","","","2.3","1,,I,14,","","","8.3","1,,,I","",""
"RSM00031311","1940-04","53.967","129.067","405.0","OGORON, RS","9",",I","7",",I","1",",I","","","","","","","","","","","49.8",",,I,22,","","","104.8",",,,I","",""
"RSM00031311","1940-05","53.967","129.067","405.0","OGORON, RS","13",",I","7",",I","0",",I","","","","","","","","","","","5.9",",,I,27,","","","30.9",",,,I","",""
"RSM00031311","1940-06","53.967","129.067","405.0","OGORON, RS","11","1,I","4","1,I","0","1,I","","","","","","","","","","","4.9","1,,I,21,","","","22.7","1,,,I","",""
"RSM00031311","1940-07","53.967","129.067","405.0","OGORON, RS","10",",I","6",",I","0",",I","","","","","","","","","","","22.6",",,I,27,","","","56.1",",,,I","",""
"RSM00031311","1940-08","53.967","129.067","405.0","OGORON, RS","19",",I","15",",I","0",",I","","","","","","","","","","","17.1",",,I,01,","","","137.0",",,,I","",""
"RSM00031311","1940-09","53.967","129.067","405.0","OGORON, RS","11",",I","5",",I","0",",I","","","","","","","","","","","22.8",",,I,20,","","","57.7",",,,I","",""
"RSM00031311","1940-10","53.967","129.067","405.0","OGORON, RS","16",",I","8",",I","0",",I","","","","","","","","","","","6.3",",,I,31,","","","44.5",",,,I","",""
"RSM00031311","1940-11","53.967","129.067","405.0","OGORON, RS","11",",I","1",",I","0",",I","","","","","","","","","","","3.8",",,I,15,","","","12.4",",,,I","",""
