"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087643","1992-12","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","0","5,S","4.4","5,S,02,","11.53","5,,,S"
"ARM00087643","1994-03","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","0","5,S","3.1","5,S,30,","11.74","5,,,S"
"ARM00087643","1994-12","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","2,S","0","2,S","9.2","2,S,07,","15.40","2,,,S"
"ARM00087643","1995-09","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","5","5,S","-6.4","5,S,02,","4.74","5,,,S"
"ARM00087643","1996-05","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","6","5,S","-3.2","5,S,22,","5.70","5,,,S"
"ARM00087643","1996-06","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","17","5,S","-6.8","5,S,19,","-0.69","5,,,S"
"ARM00087643","2020-01","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","5.5","1,S,16,","13.61","1,,,S"
"ARM00087643","2020-02","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","4.9","1,S,22,","12.86","1,,,S"
"ARM00087643","2020-03","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0",",S","0",",S","9.5",",S,15,","14.08",",,,S"
"ARM00087643","2020-04","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","1.6","1,S,07,","7.93","1,,,S"
"ARM00087643","2020-05","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","3,S","1","3,S","-2.1","3,S,14,","5.36","3,,,S"
"ARM00087643","2020-06","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","7","1,S","-5.6","1,S,14,","2.20","1,,,S"
"ARM00087643","2020-07","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","15","1,S","-5.8","1,S,14,","0.61","1,,,S"
"ARM00087643","2020-08","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","2,S","12","2,S","-5.1","2,S,30,","1.72","2,,,S"
"ARM00087643","2020-09","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0",",S","5",",S","-3.5",",S,14,","3.76",",,,S"
"ARM00087643","2020-10","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0",",S","2",",S","-0.3",",S,06,","6.69",",,,S"
"ARM00087643","2020-11","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","3.8","1,S,30,","11.47","1,,,S"
"ARM00087643","2021-01","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","0","5,S","7.7","5,S,12,","15.23","5,,,S"
"ARM00087643","2021-03","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","5.8","1,S,19,","12.93","1,,,S"
"ARM00087643","2021-04","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","2,S","0","2,S","5.2","2,S,30,","11.46","2,,,S"
"ARM00087643","2021-05","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0",",S","3",",S","-2.1",",S,30,","3.96",",,,S"
"ARM00087643","2021-06","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","5,S","5","5,S","-2.1","5,S,30,","2.46","5,,,S"
"ARM00087643","2021-07","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0",",S","13",",S","-4.3",",S,19,","0.87",",,,S"
"ARM00087643","2021-08","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","2,S","11","2,S","-5.4","2,S,10,","2.07","2,,,S"
"ARM00087643","2021-09","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","3,S","1","3,S","-0.5","3,S,28,","6.79","3,,,S"
"ARM00087643","2021-10","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","3,S","1","3,S","-0.9","3,S,07,","7.03","3,,,S"
"ARM00087643","2021-11","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","0","1,S","0","1,S","2.4","1,S,17,","10.73","1,,,S"
