"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024215","1996-08","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","","","57.7",",M","","","","","","","0",",M","0",",M","0",",M","31",",M","9",",M","","","","","4.4",",M,19,","","","33.9",",M,12,","19.9","","20.9",",M","","","19.52",",M","29.22",",,,M","9.82",",,,M","","","","","","","","","",""
"USW00024215","1996-09","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","","","1.9",",M","","","","","","","0",",M","0",",M","0",",M","20",",M","0",",M","","","","","0.6",",M,23,+","","","29.4",",M,29,+","142.0","","122.1",",M","","","14.33",",M","23.09",",,,M","5.56",",,,M","","","","","","","","","",""
"USW00024215","1996-10","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","","","2.7",",M","","","","","","","0",",M","14",",M","0",",M","10",",M","0",",M","","","","","-5.6",",M,21,","","","31.1",",M,08,","423.3","","281.3",",M","","","9.35",",M","16.65",",,,M","2.05",",,,M","","","","","","","","","",""
"USW00024215","1996-11","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","","","0.0",",M","","","","","","","0",",M","22",",M","0",",M","0",",M","0",",M","","","","","-7.8",",M,16,","","","20.6",",M,10,","819.6","","396.3",",M","","","5.12",",M","10.49",",,,M","-0.24",",,,M","","","","","","","","","",""
"USW00024215","1996-12","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","","","0.0","1,M","","","","","","","0","1,M","20","1,M","0","1,M","0","1,M","0","1,M","","","","","-7.2","1,M,02,","","","11.1","1,M,31,+","1291.4","","471.8","1,M","","","2.61","1,M","5.87","1,,,M","-0.66","1,,,M","","","","","","","","","",""
"USW00024215","1997-01","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","0.0","M","0.0","1,M","","","","","","","0",",M","20",",M","1","1,M","0","1,M","0","1,M","","","","","-13.9",",M,13,","","","19.4","1,M,19,","1763.7","M","472.3","1,M","","","2.66","1,M","7.76","1,,,M","-2.44",",,,M","","","","","","","","","",""
"USW00024215","1997-02","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","0.0","M","0.0",",M","","","","","","","0",",M","24",",M","0",",M","0",",M","0",",M","","","","","-6.1",",M,06,","","","18.3",",M,15,","2173.4","M","409.7",",M","","","3.70",",M","9.47",",,,M","-2.07",",,,M","","","","","","","","","",""
"USW00024215","1997-03","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","0.0","M","0.0",",M","","","","","","","0",",M","18",",M","0",",M","1",",M","0",",M","","","","","-7.2",",M,04,","","","23.3",",M,25,","2536.0","M","362.6",",M","","","6.64",",M","13.44",",,,M","-0.17",",,,M","","","","","","","","","",""
"USW00024215","1997-04","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","0.0","M","0.0",",M","","","","","","","0",",M","9",",M","0",",M","3",",M","0",",M","","","","","-3.9",",M,06,+","","","22.2",",M,26,+","2837.6","M","301.6",",M","","","8.28",",M","14.67",",,,M","1.89",",,,M","","","","","","","","","",""
"USW00024215","1997-05","41.3325","-122.33278","1077.5","MOUNT SHASTA, CA US","","","4.9","M","4.9",",M","","","","","","","0",",M","2",",M","0",",M","21",",M","0",",M","","","","","-1.1",",M,02,","","","30.0",",M,11,","2947.6","M","110.0",",M","","","14.94",",M","23.12",",,,M","6.76",",,,M","","","","","","","","","",""
