"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205218","1891-09","43.38333","-83.21667","275.5","MAYVILLE, MI US","55.4","2,6","8",",6","5",",6","0",",6","","","0","1,6","0","1,6","0","1,6","23","1,6","0","1,6","","","4.4","1,6,30,","","","19.1",",,6,29,","31.7","1,6,24,","","","48.0","1,6","42.6",",,,6","","","18.63","2,6","24.78","1,,,6","12.47","1,,,6"
"USC00205218","1891-10","43.38333","-83.21667","275.5","MAYVILLE, MI US","","","7",",6","5",",6","0",",6","","","0","4,6","6","4,6","0","3,6","4","3,6","0","3,6","","","-3.9","4,6,28,","","","17.8",",,6,19,","28.9","3,6,02,","","","","","46.9",",,,6","","","9.50","7,6","15.06","3,,,6","3.93","4,,,6"
"USC00205218","1891-11","43.38333","-83.21667","275.5","MAYVILLE, MI US","0.0","5,6","13","2,6","10","2,6","1","2,6","3",",6","0","3,6","17","3,6","7","4,6","0","4,6","0","4,6","","","-13.3","3,6,29,","102",",,6,17,","41.1","2,,6,10,","15.6","4,6,08,","","","430.6","4,6","121.4","2,,,6","178",",,,6","1.14","5,6","4.42","4,,,6","-2.13","3,,,6"
"USC00205218","1892-01","43.38333","-83.21667","275.5","MAYVILLE, MI US","","","10",",6","8",",6","0",",6","7",",6","7","5,6","26","5,6","19","5,6","0","5,6","0","5,6","","","-20.0","5,6,15,+","102",",,6,18,","10.2",",,6,18,","11.1","5,6,01,","","","","","51.4",",,,6","471",",,,6","-8.43","9,6","-3.85","5,,,6","-13.00","5,,,6"
"USC00205218","1892-02","43.38333","-83.21667","275.5","MAYVILLE, MI US","0.0","3,6","10","1,6","8","1,6","0","1,6","5",",6","3","2,6","25","2,6","13","1,6","0","1,6","0","1,6","","","-20.0","2,6,17,","51",",,6,15,+","17.8","1,,6,02,","7.8","1,6,02,","","","557.6","1,6","61.6","1,,,6","242",",,,6","-3.40","3,6","-0.06","1,,,6","-6.74","2,,,6"
"USC00205218","1892-03","43.38333","-83.21667","275.5","MAYVILLE, MI US","","","5",",6","5",",6","0",",6","4","4,6","","","","","","","","","","","","","","","64","4,,6,08,","6.9",",,6,22,","","","","","","","25.4",",,,6","226","4,,,6","","","","","",""
"USC00205218","1892-04","43.38333","-83.21667","275.5","MAYVILLE, MI US","0.0","3,6","7",",6","5",",6","1",",6","1",",6","0","2,6","15","2,6","0","1,6","1","1,6","0","1,6","","","-6.7","2,6,09,","76",",,6,09,","27.7",",,6,28,","21.7","1,6,04,","","","325.5","1,6","85.7",",,,6","76",",,,6","6.14","3,6","11.52","1,,,6","0.75","2,,,6"
"USC00205218","1892-05","43.38333","-83.21667","275.5","MAYVILLE, MI US","3.3","2,6","17",",6","12",",6","0",",6","","","0","1,6","0","1,6","0","1,6","5","1,6","0","1,6","","","0.6","1,6,08,","","","20.3",",,6,06,","27.2","1,6,31,","","","185.0","1,6","127.4",",,,6","","","12.06","2,6","16.93","1,,,6","7.18","1,,,6"
"USC00205218","1892-06","43.38333","-83.21667","275.5","MAYVILLE, MI US","52.6",",6","10",",6","8",",6","1",",6","","","0",",6","0",",6","0",",6","26",",6","1",",6","","","6.1",",6,03,","","","31.8",",,6,27,","32.2",",6,12,","","","22.8",",6","106.0",",,,6","","","19.33",",6","24.65",",,,6","14.00",",,,6"
"USC00205218","1892-07","43.38333","-83.21667","275.5","MAYVILLE, MI US","115.7","2,6","5",",6","4",",6","1",",6","","","0","1,6","0","1,6","0","1,6","27","1,6","7","1,6","1","","7.2","1,6,04,+","","","26.7",",,6,29,","34.4","1,6,26,+","16.4","6","16.4","1,6","61.6",",,,6","","","21.85","2,6","28.35","1,,,6","15.35","1,,,6"
