"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CABS","1995-01","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.0","U","0.0","2,U","0","2,U","6","2,U","7",",U","0",",U","0",",U","-6.1","2,U,07,","11.1",",U,31,","","","423.9",",U","3.48","2,U","4.73",",,,U","2.23","2,,,U"
"USR0000CABS","1995-02","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","1",",U","0",",U","1.1",",U,14,","21.7",",U,22,","","","204.4",",U","11.03",",U","14.43",",,,U","7.64",",,,U"
"USR0000CABS","1995-03","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","9",",U","0",",U","0",",U","0",",U","-3.9",",U,06,+","18.9",",U,30,","","","374.8",",U","6.24",",U","9.56",",,,U","2.92",",,,U"
"USR0000CABS","1995-04","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.3","U","0.3",",U","0",",U","0",",U","0",",U","4",",U","0",",U","3.3",",U,15,","22.2",",U,24,+","","","197.3",",U","11.77",",U","15.80",",,,U","7.74",",,,U"
"USR0000CABS","1995-05","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","23.1","U","22.8",",U","0",",U","0",",U","0",",U","13",",U","0",",U","3.3",",U,12,","29.4",",U,29,","","","133.5",",U","14.76",",U","19.31",",,,U","10.21",",,,U"
"USR0000CABS","1995-06","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","116.6","U","93.5",",U","0",",U","0",",U","0",",U","21",",U","7",",U","5.0",",U,06,","37.2",",U,25,","","","60.0",",U","19.45",",U","24.98",",,,U","13.92",",,,U"
"USR0000CABS","1995-07","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","294.0","U","177.4",",U","0",",U","0",",U","0",",U","30",",U","8",",U","11.7",",U,12,","37.8",",U,16,","2.5","U","2.5",",U","23.98",",U","30.00",",,,U","17.95",",,,U"
"USR0000CABS","1995-08","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","489.9","U","195.9",",U","0",",U","0",",U","0",",U","31",",U","11",",U","10.6",",U,17,","39.4",",U,02,","2.7","U","0.2",",U","24.65",",U","31.16",",,,U","18.13",",,,U"
"USR0000CABS","1995-09","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","674.6","U","184.7",",U","0",",U","0",",U","0",",U","30",",U","13",",U","11.1",",U,29,","38.3",",U,18,","4.4","U","1.7",",U","24.43",",U","30.57",",,,U","18.29",",,,U"
"USR0000CABS","1995-10","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","749.0","U","74.4",",U","0",",U","0",",U","0",",U","26",",U","1",",U","8.3",",U,12,","33.9",",U,02,","28.3","U","23.9",",U","19.96",",U","25.91",",,,U","14.01",",,,U"
"USR0000CABS","1996-01","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.0","","0.0",",U","0",",U","7",",U","0",",U","1",",U","0",",U","-1.1",",U,26,+","23.3",",U,02,","","","350.6",",U","7.02",",U","10.33",",,,U","3.72",",,,U"
"USR0000CABS","1996-02","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","0.6","","0.6","2,U","0","2,U","6","2,U","0","2,U","4","2,U","0","2,U","-2.2","2,U,26,+","23.9","2,U,12,+","","","238.0","2,U","9.54","2,U","12.58","2,,,U","6.50","2,,,U"
"USR0000CABS","1996-03","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","3.9","","3.3","4,U","0","4,U","2","4,U","0","1,U","6","1,U","0","1,U","-9.4","4,U,28,","28.9","1,U,17,","","","210.8","1,U","10.85","4,U","16.24","1,,,U","5.46","4,,,U"
"USR0000CABS","1996-04","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","16.7","","12.8",",U","0",",U","0",",U","0",",U","10",",U","0",",U","2.2",",U,20,+","31.1",",U,30,","","","177.6",",U","12.84",",U","17.83",",,,U","7.85",",,,U"
"USR0000CABS","1996-05","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","43.6","","26.9",",U","0",",U","0",",U","0",",U","18",",U","2",",U","5.6",",U,23,","35.0",",U,12,","","","89.8",",U","16.30",",U","22.31",",,,U","10.30",",,,U"
"USR0000CABS","1996-06","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","184.2","","140.6",",U","0",",U","0",",U","0",",U","28",",U","9",",U","9.4",",U,27,","38.3",",U,06,","","","11.7",",U","22.63",",U","29.52",",,,U","15.74",",,,U"
"USR0000CABS","1996-07","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","488.3","","304.1",",U","0",",U","0",",U","0",",U","31",",U","27",",U","11.1",",U,18,","38.9",",U,30,","0.0","","0.0",",U","28.14",",U","34.86",",,,U","21.43",",,,U"
"USR0000CABS","1996-08","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","772.3","","284.0",",U","0",",U","0",",U","0",",U","31",",U","22",",U","12.8",",U,27,","40.0",",U,11,","0.0","","0.0",",U","27.50",",U","34.40",",,,U","20.59",",,,U"
"USR0000CABS","1996-09","40.3983","-122.8333","579.1","ARBUCKLE BASIN CALIFORNIA, CA US","896.0","","123.7",",U","0",",U","0",",U","0",",U","29",",U","5",",U","9.4",",U,16,+","34.4",",U,20,","12.2","","12.2",",U","22.05",",U","28.34",",,,U","15.76",",,,U"
