"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00406454","1936-01","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","10",",0","6",",0","1",",0","3",",0","1",",0","","","","","","","","","","","","","127",",,0,20,+","127",",,0,19,","30.2",",,0,06,","","","","","","","","","","","","","80.1",",,,0","147",",,,0","","","","","","","",""
"USC00406454","1936-02","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","11",",0","8",",0","0",",0","4",",0","2",",0","","","","","","","","","","","","","102",",,0,02,","102",",,0,02,","15.5",",,0,04,","","","","","","","","","","","","","64.2",",,,0","140",",,,0","","","","","","","",""
"USC00406454","1936-03","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","10",",0","10",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","52.1",",,0,16,","","","","","","","","","","","","","189.1",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-04","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","5",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","34.3",",,0,09,","","","","","","","","","","","","","67.3",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-05","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","23.6",",,0,12,","","","","","","","","","","","","","30.2",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-06","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","11.9",",,0,11,","","","","","","","","","","","","","28.5",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-07","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","5",",0","4",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","51.8",",,0,03,","","","","","","","","","","","","","127.4",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-08","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,05,","","","","","","","","","","","","","26.4",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-09","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","7",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","13.5",",,0,03,","","","","","","","","","","","","","40.9",",,,0","0",",,,0","","","","","","","",""
"USC00406454","1936-10","36.31667","-87.21667","119.5","CHEATHAM LOCK AND DAM, TN US","","","","","8",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","42.7",",,0,08,","","","","","","","","","","","","","90.2",",,,0","0",",,,0","","","","","","","",""
