"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BPW00080601","1949-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","270.5",",X","20",",X","9",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","11",",X","","","6","","20.0",",X,28,","0",",,X,31,+","0",",,X,31,+","37.1",",,X,09,","32.2",",X,30,+","0.0","","0.0",",X","139.6",",,,X","0",",,,X","27.06",",X","31.38",",,,X","22.74",",,,X"
"BPW00080601","1949-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","250.9",",X","20",",X","10",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","15",",X","","","8","","21.1",",X,13,+","0",",,X,28,+","0",",,X,28,+","29.7",",,X,11,","33.3",",X,21,+","0.0","","0.0",",X","103.9",",,,X","0",",,,X","27.29",",X","31.62",",,,X","22.97",",,,X"
"BPW00080601","1949-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","264.7",",X","23",",X","14",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","6",",X","","","10","","22.2",",X,07,+","0",",,X,31,+","0",",,X,31,+","78.0",",,X,06,","32.8",",X,16,","0.0","","0.0",",X","307.9",",,,X","0",",,,X","26.87",",X","30.59",",,,X","23.15",",,,X"
"BPW00080601","1949-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","270.5",",X","21",",X","11",",X","1",",X","0",",X","0","1,X","0",",X","0",",X","0",",X","30",",X","8",",X","","","4","","22.2",",X,12,+","0",",,X,30,+","0","1,,X,30,+","36.1",",,X,05,","32.2",",X,20,+","0.0","","0.0",",X","160.5",",,,X","0","1,,,X","27.35",",X","31.40",",,,X","23.30",",,,X"
"BPW00080601","1949-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","265.1",",X","9",",X","6",",X","0",",X","0",",X","0","1,X","0",",X","0",",X","0",",X","31",",X","8",",X","","","7","","21.1",",X,04,","0",",,X,31,+","0","1,,X,31,+","15.0",",,X,02,","32.2",",X,28,+","0.0","","0.0",",X","42.0",",,,X","0","1,,,X","26.89",",X","31.33",",,,X","22.44",",,,X"
"BPW00080601","1949-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","243.0",",X","16","1,X","11","1,X","0","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","","","3","","21.1",",X,23,","0",",,X,30,+","0",",,X,30,+","21.1","1,,X,07,","32.2",",X,02,","0.0","","0.0",",X","101.6","1,,,X","0",",,,X","26.43",",X","30.49",",,,X","22.37",",,,X"
"BPW00080601","1949-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","234.7","","234.7",",X","20",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","1","","7","","20.0",",X,08,","0",",,X,31,+","0",",,X,31,+","20.6",",,X,23,","31.7",",X,19,","0.0","","0.0",",X","87.2",",,,X","0",",,,X","25.90",",X","29.93",",,,X","21.88",",,,X"
"BPW00080601","1949-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","467.7","","233.0","1,X","12",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0","1,X","30","1,X","3","1,X","","","1","","19.4",",X,02,","0",",,X,31,+","0",",,X,31,+","47.0",",,X,21,","32.2","1,X,12,+","0.0","","0.0","1,X","90.8",",,,X","0",",,,X","26.09","1,X","30.39","1,,,X","21.79",",,,X"
"BPW00080601","1949-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","713.6","","245.9",",X","10",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","5",",X","","","3","","20.0",",X,12,","0",",,X,30,+","0",",,X,30,+","7.9",",,X,10,","32.2",",X,30,+","0.0","","0.0",",X","12.3",",,,X","0",",,,X","26.53",",X","31.15",",,,X","21.91",",,,X"
"BPW00080601","1949-10","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
