"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00027401","1947-10","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","","","","","","","","","","","","","","","3","5,6","26","5,6","27","4,6","0","4,6","0","4,6","","","","","","","-18.9","5,6,23,","","","","","","","0.0","4,6,02,","","","","","","","","","-7.35","9,6","-5.10","4,,,6","-9.60","5,,,6","","","","","","","",""
"USW00027401","1947-12","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","","","0.0","2,6","","","","","","","","","","","21","2,6","29","2,6","30","1,6","0","1,6","0","1,6","","","","","","","-34.4","2,6,19,","","","","","","","-6.1","1,6,13,","","","1087.0","1,6","","","","","-19.16","2,6","-16.39","1,,,6","-21.92","2,,,6","","","","","","","",""
"USW00027401","1948-01","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0","2,6","","","","","","","","","","","29","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","","","-41.1","1,6,11,+","","","","","","","-6.1","1,6,23,+","","","1317.5","1,6","","","","","-26.69","2,6","-22.46","1,,,6","-30.93","1,,,6","","","","","","","",""
"USW00027401","1948-02","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","","","","","","","","","","","28",",6","29",",6","29",",6","0",",6","0",",6","","","","","","","-40.0",",6,26,","","","","","","","-3.9",",6,10,","","","1213.7",",6","","","","","-23.52",",6","-19.25",",,,6","-27.79",",,,6","","","","","","","",""
"USW00027401","1948-03","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","","","","","","","","","","","31",",6","31",",6","31",",6","0",",6","0",",6","","","","","","","-37.8",",6,02,+","","","","","","","-10.0",",6,27,","","","1326.7",",6","","","","","-24.46",",6","-20.14",",,,6","-28.79",",,,6","","","","","","","",""
"USW00027401","1948-04","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","","","","","","","","","","","21",",6","30",",6","28",",6","0",",6","0",",6","","","","","","","-30.0",",6,18,+","","","","","","","1.1",",6,13,+","","","995.1",",6","","","","","-14.84",",6","-8.90",",,,6","-20.78",",,,6","","","","","","","",""
"USW00027401","1948-05","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0","1,6","0",",6","0",",6","0",",6","","","","","1","1,6","30","1,6","26","1,6","0","1,6","0","1,6","","","","","","","-23.3","1,6,02,","","","","","0.0",",T,6,31,+","3.3","1,6,29,","","","741.7","1,6","0.0",",T,,6","","","-6.39","1,6","-3.68","1,,,6","-9.10","1,,,6","","","","","","","",""
"USW00027401","1948-06","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","3",",6","0",",6","0",",6","","","","","0",",6","28",",6","1",",6","0",",6","0",",6","","","","","","","-4.4",",6,13,+","","","","","2.0",",,6,08,","12.8",",6,29,","","","527.6",",6","4.3",",,,6","","","0.75",",6","3.35",",,,6","-1.86",",,,6","","","","","","","",""
"USW00027401","1948-07","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","4",",6","2",",6","0",",6","","","","","0",",6","4",",6","0",",6","0",",6","0",",6","","","","","","","-1.1",",6,22,+","","","","","3.8",",,6,26,","16.1",",6,13,","413.0","6","413.0",",6","8.9",",,,6","","","5.01",",6","8.12",",,,6","1.90",",,,6","","","","","","","",""
"USW00027401","1948-08","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","11",",6","6",",6","0",",6","","","","","0",",6","13",",6","1",",6","0",",6","0",",6","","","","","","","-3.9",",6,24,","","","","","22.9",",,6,07,","16.1",",6,14,","867.0","6","454.0",",6","42.5",",,,6","","","3.69",",6","6.40",",,,6","0.98",",,,6","","","","","","","",""
