"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010152","1988-03","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","10.6","4,S,30,","","","5.86","4,,,S","",""
"GMM00010152","1988-04","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","3,S","1","3,S","0","3,S","","","","","21.9","3,S,20,","","","10.59","3,,,S","",""
"GMM00010152","1988-05","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","1,S","2","1,S","0","1,S","","","","","21.7","1,S,30,","","","15.31","1,,,S","",""
"GMM00010152","1988-06","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0",",S","10",",S","0",",S","","","","","26.3",",S,29,","","","19.77",",,,S","",""
"GMM00010152","1988-07","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0",",S","18",",S","0",",S","","","","","25.8",",S,04,","","","21.75",",,,S","",""
"GMM00010152","1988-08","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","1,S","14","1,S","0","1,S","","","","","25.4","1,S,07,","","","20.95","1,,,S","",""
"GMM00010152","1988-09","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0",",S","3",",S","0",",S","","","","","23.6",",S,10,","","","17.76",",,,S","",""
"GMM00010152","1988-10","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","17.3","5,S,05,","","","12.36","5,,,S","",""
"GMM00010152","1989-02","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","12.6","5,S,19,","","","7.23","5,,,S","",""
"GMM00010152","1989-03","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","20.1","2,S,28,","","","10.33","2,,,S","",""
"GMM00010152","1989-05","54.083","10.883","2.0","PELZERHAKEN AUT, GM","2","5,S","2","5,S","0","5,S","","","","","0","3,S","4","3,S","0","3,S","","","9.9","5,,S,12,","25.7","3,S,26,","14.2","5,,,S","17.61","3,,,S","",""
"GMM00010152","1989-06","54.083","10.883","2.0","PELZERHAKEN AUT, GM","","","","","","","","","","","0","2,S","14","2,S","0","2,S","","","","","29.8","2,S,26,","","","21.13","2,,,S","",""
