"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA002100693","1998-02","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","","","20",",C","5",",C","0",",C","","","5",",C","","","","","","","","","","","","","","","60",",,C,13,","6.0",",,C,13,","","","","","","","41.0",",,,C","410",",,,C","","","","","","","","","",""
"CA002100693","1998-07","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","","","","","","","","","0",",","","","","","","","","","","","","","","","0",",,C,31,+","","","","","","","","","","","","","","","","","","","","","","","",""
"CA002100693","1998-08","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0","2,C","","","","","","","0",",","","","0","2,C","4","2,C","0","2,C","0","2,C","0","2,C","-1.5","2,C,20,","0",",,C,31,+","","","","","20.5","2,C,01,","","","294.3","2,C","","","","","8.19","2,C","13.72","2,,,C","2.66","2,,,C","","","",""
"CA002100693","1998-09","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0","1,C","","","","","","","","","","","0","1,C","24","1,C","2","1,C","0","1,C","0","1,C","-11.3","1,C,29,","","","","","","","12.2","1,C,18,","","","477.5","1,C","","","","","1.87","1,C","6.28","1,,,C","-2.54","1,,,C","","","",""
"CA002100693","1998-10","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0","1,C","","","","","","","","","","","3","1,C","29","1,C","24","1,C","0","1,C","0","1,C","-21.4","1,C,31,+","","","","","","","5.3","1,C,20,","","","750.1","1,C","","","","","-6.67","1,C","-3.32","1,,,C","-10.02","1,,,C","","","",""
"CA002100693","1998-11","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0","5,C","","","","","","","","","","","15","5,C","25","5,C","25","5,C","0","5,C","0","5,C","-30.6","5,C,11,","","","","","","","-3.4","5,C,06,","","","901.7","5,C","","","","","-17.74","5,C","-14.52","5,,,C","-20.95","5,,,C","","","",""
"CA002100693","1999-02","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0",",C","","","","","","","","","","","24",",C","28",",C","28",",C","0",",C","0",",C","-27.4",",C,11,","","","","","","","-6.4",",C,14,","","","1011.4",",C","","","","","-17.79",",C","-14.25",",,,C","-21.33",",,,C","","","",""
"CA002100693","1999-03","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0","1,C","9","5,C","2","5,C","0","5,C","","","","","14","1,C","30","1,C","28",",C","0",",C","0",",C","-34.6","1,C,07,","","","","","8.9","5,,C,14,","1.8",",C,23,","","","941.9",",C","23.0","5,,,C","","","-13.12","1,C","-8.59",",,,C","-17.65","1,,,C","","","",""
"CA002100693","1999-04","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0",",C","","","","","","","","","","","3",",C","30",",C","16",",C","0",",C","0",",C","-19.9",",C,10,","","","","","","","5.7",",C,22,","","","731.9",",C","","","","","-6.07",",C","-1.42",",,,C","-10.71",",,,C","","","",""
"CA002100693","1999-05","63.25","-130.0333","1379.0","MACMILLAN PASS, YT CA","","","0.0",",C","5","3,C","2","3,C","0","3,C","","","0","5,C","0",",C","29",",C","3",",C","0",",C","0",",C","-7.5",",C,04,","","","0","5,,C,31,+","3.8","3,,C,21,","9.5",",C,27,","","","532.6",",C","11.6","3,,,C","0","5,,,C","1.15",",C","5.45",",,,C","-3.14",",,,C","","","",""
