"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KSM00047108","1973-02","37.567","126.967","87.0","SEOUL CITY, KS","","","2","4,S","0","4,S","0","4,S","","","","","","","2","3,S","0","3,S","0","3,S","","","","","2.0","4,,S,13,","14.0","3,S,16,","","","2.3","4,,,S","","","5.56","3,,,S","",""
"KSM00047108","1973-03","37.567","126.967","87.0","SEOUL CITY, KS","","","4","1,S","1","1,S","0","1,S","","","","","","","0",",S","0",",S","0",",S","","","","","3.0","1,,S,27,","21.0",",S,30,","","","7.0","1,,,S","","","9.94",",,,S","",""
"KSM00047108","1973-04","37.567","126.967","87.0","SEOUL CITY, KS","","","7","3,S","5","3,S","0","3,S","","","","","","","0","2,S","6","2,S","0","2,S","","","","","22.1","3,,S,07,","28.0","2,S,30,","","","79.0","3,,,S","","","18.00","2,,,S","",""
"KSM00047108","1973-05","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","3,S","21","3,S","0","3,S","","","","","","","27.0","3,S,27,","","","","","","","22.96","3,,,S","",""
"KSM00047108","1973-06","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","","","31.0","5,S,10,","","","","","","","26.32","5,,,S","",""
"KSM00047108","1973-07","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","4,S","27","4,S","6","4,S","","","","","","","34.0","4,S,17,","","","","","","","31.22","4,,,S","",""
"KSM00047108","1973-08","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","5,S","26","5,S","3","5,S","","","","","","","35.0","5,S,16,+","","","","","","","30.23","5,,,S","",""
"KSM00047108","1973-09","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","3,S","24","3,S","0","3,S","","","","","","","28.0","3,S,17,+","","","","","","","24.67","3,,,S","",""
"KSM00047108","1973-10","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","1,S","5","1,S","0","1,S","","","","","","","25.0","1,S,11,","","","","","","","18.13","1,,,S","",""
"KSM00047108","1973-11","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","2","3,S","0","3,S","0","3,S","","","","","","","17.0","3,S,01,","","","","","","","9.85","3,,,S","",""
"KSM00047108","1973-12","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","10","4,S","0","4,S","0","4,S","","","","","","","11.0","4,S,02,","","","","","","","1.81","4,,,S","",""
"KSM00047108","1974-01","37.567","126.967","87.0","SEOUL CITY, KS","","","0","3,S","0","3,S","0","3,S","","","","","","","7","1,S","0","1,S","0","1,S","","","","","0.0","3,,S,31,+","9.0","1,S,03,+","","","0.0","3,,,S","","","2.47","1,,,S","",""
"KSM00047108","1974-02","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","9","4,S","0","4,S","0","4,S","","","","","","","10.0","4,S,18,+","","","","","","","2.04","4,,,S","",""
"KSM00047108","1974-03","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","2","2,S","0","2,S","0","2,S","","","","","","","20.0","2,S,30,","","","","","","","8.76","2,,,S","",""
"KSM00047108","1974-04","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","","","21.0","3,S,19,","","","","","","","15.33","3,,,S","",""
"KSM00047108","1974-05","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","2,S","15","2,S","0","2,S","","","","","","","29.0","2,S,30,+","","","","","","","21.97","2,,,S","",""
"KSM00047108","1974-06","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","2,S","24","2,S","0","2,S","","","","","","","31.0","2,S,26,","","","","","","","25.18","2,,,S","",""
"KSM00047108","1974-07","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","4,S","27","4,S","0","4,S","","","","","","","31.0","4,S,22,","","","","","","","27.30","4,,,S","",""
"KSM00047108","1974-08","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","4,S","27","4,S","3","4,S","","","","","","","34.0","4,S,20,+","","","","","","","29.56","4,,,S","",""
"KSM00047108","1974-09","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","1,S","28","1,S","0","1,S","","","","","","","30.0","1,S,01,","","","","","","","26.17","1,,,S","",""
"KSM00047108","1974-10","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","4,S","5","4,S","0","4,S","","","","","","","23.0","4,S,06,+","","","","","","","18.30","4,,,S","",""
"KSM00047108","1974-12","37.567","126.967","87.0","SEOUL CITY, KS","","","4","4,S","0","4,S","0","4,S","","","","","","","5","3,S","0","3,S","0","3,S","","","","","0.5","4,,S,05,","10.0","3,S,01,","","","1.4","4,,,S","","","3.93","3,,,S","",""
"KSM00047108","1975-01","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","8","3,S","0","3,S","0","3,S","","","","","","","7.0","3,S,08,+","","","","","","","2.14","3,,,S","",""
"KSM00047108","1975-02","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","5","3,S","0","3,S","0","3,S","","","","","","","11.0","3,S,03,","","","","","","","3.92","3,,,S","",""
"KSM00047108","1975-04","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","1,S","12","1,S","0","1,S","","","","","","","29.0","1,S,30,","","","","","","","19.55","1,,,S","",""
"KSM00047108","1975-05","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","1,S","19","1,S","0","1,S","","","","","","","28.0","1,S,01,","","","","","","","22.30","1,,,S","",""
"KSM00047108","1975-06","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","1,S","28","1,S","0","1,S","","","","","","","32.0","1,S,21,+","","","","","","","26.66","1,,,S","",""
"KSM00047108","1975-07","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","2,S","29","2,S","1","2,S","","","","","","","33.0","2,S,30,","","","","","","","28.86","2,,,S","",""
"KSM00047108","1975-08","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","2,S","29","2,S","10","2,S","","","","","","","35.0","2,S,22,+","","","","","","","31.76","2,,,S","",""
"KSM00047108","1975-09","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0","2,S","27","2,S","1","2,S","","","","","","","36.0","2,S,07,","","","","","","","27.46","2,,,S","",""
"KSM00047108","1975-10","37.567","126.967","87.0","SEOUL CITY, KS","","","","","","","","","","","","","","","0",",S","13",",S","0",",S","","","","","","","26.0",",S,06,","","","","","","","20.58",",,,S","",""
