"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"JAW00043324","1954-09","34.15","132.23333","2.1","IWAKUNI, JA","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAW00043324","1954-10","34.15","132.23333","2.1","IWAKUNI, JA","","","","","7.6",",X","7",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","13",",X","0",",X","7","","","","1","","7.2",",X,14,","0",",,X,31,+","0",",,X,31,+","19.8",",,X,02,","25.6",",X,01,","","","61.0",",X","55.1",",,,X","0",",,,X","16.61",",X","20.49",",,,X","12.73",",,,X","","","",""
"JAW00043324","1954-11","34.15","132.23333","2.1","IWAKUNI, JA","","","","","0.0",",X","3",",X","1",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","3","","","","","","6.1",",X,12,","0",",,X,30,+","0",",,X,30,+","32.5",",,X,27,","22.2",",X,10,+","","","130.1",",X","34.3",",,,X","0",",,,X","14.00",",X","18.51",",,,X","9.48",",,,X","","","",""
"JAW00043324","1954-12","34.15","132.23333","2.1","IWAKUNI, JA","","","","","0.0",",X","3",",X","1",",X","1",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","4","","","","","","0.0",",X,16,","0",",,X,31,+","0",",T,X,16,","43.2",",,X,08,","16.7",",X,22,+","","","320.2",",X","46.3",",,,X","0",",T,,X","8.00",",X","11.99",",,,X","4.01",",,,X","","","",""
"JAW00043324","1955-01","34.15","132.23333","2.1","IWAKUNI, JA","","","0.0","X","0.0",",X","10",",X","6",",X","0",",X","0",",X","1",",X","0",",X","14",",X","0",",X","0",",X","0",",X","6","","","","","","-2.8",",X,16,+","0",",,X,31,+","33",",,X,16,","7.9",",,X,25,","13.3",",X,24,","","","435.7",",X","26.8",",,,X","36",",,,X","4.28",",X","7.96",",,,X","0.59",",,,X","","","",""
"JAW00043324","1955-02","34.15","132.23333","2.1","IWAKUNI, JA","","","0.0","X","0.0",",X","7",",X","7",",X","1",",X","0",",X","1",",X","0",",X","8",",X","0",",X","0",",X","0",",X","6","","","","","","-3.9",",X,21,","0",",,X,28,+","25",",,X,21,","39.1",",,X,27,","17.2",",X,24,","","","326.0",",X","99.7",",,,X","25",",,,X","6.69",",X","11.00",",,,X","2.38",",,,X","","","",""
"JAW00043324","1955-03","34.15","132.23333","2.1","IWAKUNI, JA","","","0.0","X","0.0",",X","16",",X","11",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","10","","","","","","0.6",",X,14,","0",",,X,31,+","0",",,X,31,+","17.0",",,X,28,","19.4",",X,17,","","","270.9",",X","81.3",",,,X","0",",,,X","9.60",",X","13.17",",,,X","6.02",",,,X","","","",""
"JAW00043324","1955-04","34.15","132.23333","2.1","IWAKUNI, JA","","","0.3","X","0.3",",X","10",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","13","","","","1","","1.7",",X,05,","0",",,X,30,+","0",",,X,30,+","87.1",",,X,16,","25.0",",X,12,","","","127.2",",X","265.8",",,,X","0",",,,X","14.10",",X","18.26",",,,X","9.95",",,,X","","","",""
"JAW00043324","1955-05","34.15","132.23333","2.1","IWAKUNI, JA","","","23.4","X","23.1",",X","12",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","22",",X","0",",X","15","","","","1","","9.4",",X,05,","0",",,X,31,+","0",",,X,31,+","31.0",",,X,17,","27.2",",X,24,","","","32.5",",X","106.8",",,,X","0",",,,X","18.03",",X","22.28",",,,X","13.78",",,,X","","","",""
"JAW00043324","1955-06","34.15","132.23333","2.1","IWAKUNI, JA","","","163.8","X","140.4",",X","12",",X","9",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","14","","","","2","","13.9",",X,01,","0",",,X,30,+","0",",,X,30,+","93.2",",,X,29,","32.8",",X,26,","","","0.6",",X","245.7",",,,X","0",",,,X","23.00",",X","26.47",",,,X","19.52",",,,X","","","",""
