"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00022440","1948-07","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","376.4",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","14.4",",0,07,","0",",,0,31,+","0",",,0,31,+","7.4",",,0,23,","46.7",",0,16,","348.0",",,,0","0.0","0","0.0",",0","7.4",",,,0","0",",,,0","30.48",",0","41.27",",,,0","19.68",",,,0","1223",",,,0"
"USC00022440","1948-08","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","360.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","15.0",",0,25,","0",",,0,31,+","0",",,0,31,+","19.8",",,0,06,","46.1",",0,30,","297.8",",,,0","0.0","0","0.0",",0","20.8",",,,0","0",",,,0","29.97",",0","40.54",",,,0","19.41",",,,0","985",",,,0"
"USC00022440","1948-09","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","280.1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","","","12.2",",0,22,+","0",",,0,30,+","0",",,0,30,+","1.0",",,0,16,","46.7",",0,03,","248.8",",,,0","0.0","0","0.0",",0","1.0",",,,0","0",",,,0","27.67",",0","38.80",",,,0","16.54",",,,0","853",",,,0"
"USC00022440","1948-10","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","113.2",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","6.7",",0,31,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,19,","37.2",",0,08,+","166.6","1,,,0","7.2","0","7.2",",0","13.7",",,,0","0",",,,0","21.75",",0","31.29",",,,0","12.22",",,,0","1204","1,,,0"
"USC00022440","1948-11","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","1.4","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","18",",0","0",",0","","","0.0","1,0,20,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","28.9",",0,04,+","133.5",",,,0","122.7","0","115.5",",0","0.0",",,,0","0",",,,0","14.36","1,0","21.91",",,,0","6.80","1,,,0","2306",",,,0"
"USC00022440","1948-12","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","","","0.0",",0","4",",0","3",",0","0",",0","0","1,0","0","1,0","0",",0","8",",0","0",",0","4",",0","0",",0","","","-3.3",",0,04,","0","1,,0,31,+","0","1,,0,31,+","21.6",",,0,27,","21.1",",0,13,+","98.9",",,,0","396.2","0","273.5",",0","32.8",",,,0","0","1,,,0","9.51",",0","16.49",",,,0","2.54",",,,0","2099",",,,0"
"USC00022440","1949-01","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","0.0","0","0.0",",0","10",",0","5",",0","2",",0","0","1,0","1",",0","0",",0","19",",0","0",",0","0",",0","0",",0","","","-5.0",",0,29,","0","1,,0,31,+","76",",,0,12,","43.2",",,0,12,","16.7",",0,01,","","","804.1","0","407.9",",0","96.4",",,,0","76",",,,0","5.17",",0","10.27",",,,0","0.08",",,,0","3793",",,,0"
"USC00022440","1949-02","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","0.0","0","0.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","9",",0","0",",0","","","-4.4",",0,14,","0",",,0,28,+","0",",,0,28,+","8.9",",,0,27,","26.1",",0,24,","95.7","2,,,0","1041.6","0","237.5",",0","10.9",",,,0","0",",,,0","9.85",",0","17.26",",,,0","2.44",",,,0","2393",",,,0"
"USC00022440","1949-03","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","0.8","0","0.8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","1.7",",0,29,","0",",,0,31,+","0",",,0,31,+","1.5",",,0,31,","28.9",",0,20,+","151.3","2,,,0","1147.6","0","106.0",",0","1.5",",,,0","0",",,,0","14.94",",0","23.96",",,,0","5.92",",,,0","1648",",,,0"
"USC00022440","1949-04","35.18333","-114.56667","161.8","DAVIS DAM NUMBER 2, AZ US","93.2","0","92.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","16",",0","","","4.4",",0,02,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","40.0",",0,24,","233.7",",,,0","1167.4","0","19.8",",0","0.0",",,,0","0",",,,0","20.75",",0","30.94",",,,0","10.57",",,,0","1450",",,,0"
