"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00706I155","1995-01","50.65","-70.5333","497.0","MANOUANE EST, QC CA","0.0","C","0.0","4,C","","","","","","","17","4,C","27","4,C","25","4,C","0","4,C","0","4,C","-48.1","4,C,11,","","","6.2","4,C,15,","","","990.1","4,C","","","-18.34","4,C","-11.86","4,,,C","-24.81","4,,,C","","","",""
"CA00706I155","1995-02","50.65","-70.5333","497.0","MANOUANE EST, QC CA","0.0","C","0.0","2,C","","","","","","","24","2,C","26","2,C","26","2,C","0","2,C","0","2,C","-40.1","2,C,27,","","","-0.6","2,C,19,","","","1022.1","2,C","","","-20.98","2,C","-12.59","2,,,C","-29.37","2,,,C","","","",""
"CA00706I155","1995-04","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","0.0","5,C","","","","","","","8","5,C","25","5,C","3","5,C","0","5,C","0","5,C","-24.2","5,C,02,","","","15.0","5,C,29,","","","516.2","5,C","","","-2.31","5,C","5.18","5,,,C","-9.81","5,,,C","","","",""
"CA00706I155","1995-05","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","0.0","3,C","","","","","","","0","3,C","17","3,C","0","3,C","0","3,C","0","3,C","-8.3","3,C,07,","","","20.0","3,C,28,","","","373.9","3,C","","","4.98","3,C","11.43","3,,,C","-1.47","3,,,C","","","",""
"CA00706I155","1995-08","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","6.5",",C","23","1,C","19","1,C","1","1,C","0",",C","0",",C","0",",C","12",",C","0",",C","0.9",",C,23,","44.0","1,,C,24,","29.7",",C,10,","","","136.1",",C","224.0","1,,,C","14.15",",C","20.98",",,,C","7.32",",,,C","","","",""
"CA00706I155","1995-11","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","0.0","4,C","","","","","","","8","4,C","26","4,C","20","4,C","0","4,C","0","4,C","-32.1","4,C,28,","","","9.0","4,C,12,","","","714.1","4,C","","","-9.13","4,C","-4.29","4,,,C","-13.97","4,,,C","","","",""
"CA00706I155","1996-01","50.65","-70.5333","497.0","MANOUANE EST, QC CA","0.0","C","0.0","4,C","","","","","","","28","3,C","28","3,C","26","3,C","0","3,C","0","3,C","-43.8","3,C,03,","","","8.2","3,C,19,","","","1148.9","3,C","","","-23.66","4,C","-15.03","3,,,C","-32.29","3,,,C","","","",""
"CA00706I155","1996-02","50.65","-70.5333","497.0","MANOUANE EST, QC CA","0.0","C","0.0","4,C","","","","","","","18","4,C","25","4,C","21","4,C","0","4,C","0","4,C","-44.1","4,C,04,","","","2.6","4,C,22,","","","934.2","4,C","","","-19.04","4,C","-12.02","4,,,C","-26.05","4,,,C","","","",""
"CA00706I155","1996-04","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","","","15","5,C","13","5,C","3","5,C","","","","","","","","","","","","","70.0","5,,C,30,","","","","","","","255.0","5,,,C","","","","","","","","","",""
"CA00706I155","1996-05","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","0.0","2,C","13","2,C","10","2,C","1","2,C","0","2,C","26","2,C","1","2,C","0","2,C","0","2,C","-8.4","2,C,09,","63.0","2,,C,20,","20.1","2,C,31,","","","456.8","2,C","150.0","2,,,C","2.58","2,C","8.56","2,,,C","-3.40","2,,,C","","","",""
"CA00706I155","1996-06","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","3.3","2,C","18","2,C","7","2,C","1","2,C","0","2,C","1","2,C","0","2,C","10","2,C","0","2,C","-0.3","2,C,01,","30.0","2,,C,30,","31.1","2,C,12,","","","155.8","2,C","68.0","2,,,C","12.88","2,C","19.94","2,,,C","5.83","2,,,C","","","",""
"CA00706I155","1996-07","50.65","-70.5333","497.0","MANOUANE EST, QC CA","","","0.0",",C","","","","","","","0",",C","0",",C","0",",C","8",",C","0",",C","1.9",",C,22,","","","24.0",",C,13,","152.5","C","152.5",",C","","","13.41",",C","18.57",",,,C","8.25",",,,C","","","",""
