"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418059","1987-03","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","35.3","1,0","4",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","26",",0","0",",0","0.6","1,0,31,","0",",,0,31,+","0",",,0,31,+","6.6",",,0,12,","31.1",",0,19,","","","","","58.2",",0","","","","","15.3",",,,0","0",",,,0","17.66","1,0","24.03",",,,0","11.29","1,,,0","",""
"USC00418059","1987-04","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","93.7","3,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","25",",0","8",",0","3.3","3,0,01,","0",",,0,30,+","0",",,0,30,+","7.1",",,0,07,","36.1",",0,17,","","","","","34.3",",0","","","","","14.2",",,,0","0",",,,0","20.78","3,0","28.06",",,,0","13.49","3,,,0","",""
"USC00418059","1987-05","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","245.0","1,0","9",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","16",",0","17.8","1,0,08,+","0",",,0,31,+","0",",,0,31,+","16.5",",,0,06,","34.4",",0,04,","","","","","0.0",",0","","","","","61.1",",,,0","0",",,,0","26.49","1,0","31.41",",,,0","21.58","1,,,0","",""
"USC00418059","1987-06","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","283.8",",0","11",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","18.9",",0,04,","0",",,0,30,+","0",",,0,30,+","30.0",",,0,15,","36.1",",0,26,","","","","","0.0",",0","","","","","146.7",",,,0","0",",,,0","27.79",",0","32.35",",,,0","23.23",",,,0","",""
"USC00418059","1987-07","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","327.5",",0","7",",0","5",",0","1",",0","0","1,0","0","1,0","0",",0","0",",0","0",",0","31",",0","27",",0","21.1",",0,03,","0","1,,0,31,+","0","1,,0,31,+","97.8",",,0,27,","36.7",",0,14,+","","","0.0","0","0.0",",0","","","","","133.4",",,,0","0","1,,,0","28.90",",0","34.18",",,,0","23.62",",,,0","",""
"USC00418059","1987-08","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","350.7",",0","1",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","23.3",",0,30,+","0",",,0,31,+","0",",,0,31,+","37.6",",,0,30,","36.7",",0,26,+","","","0.0","0","0.0",",0","","","","","37.6",",,,0","0",",,,0","29.65",",0","35.29",",,,0","24.00",",,,0","",""
"USC00418059","1987-09","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","272.0","1,0","8",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","19",",0","15.6","1,0,25,+","0",",,0,30,+","0",",,0,30,+","38.9",",,0,01,","36.7",",0,19,+","","","0.0","0","0.0",",0","","","","","89.5",",,,0","0",",,,0","27.70","1,0","33.14",",,,0","22.26","1,,,0","",""
"USC00418059","1987-10","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","157.5",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","12.8",",0,02,+","0",",,0,31,+","0",",,0,31,+","9.9",",,0,22,","33.9",",0,27,","","","0.0","0","0.0",",0","","","","","14.8",",,,0","0",",,,0","23.41",",0","30.23",",,,0","16.59",",,,0","",""
"USC00418059","1987-11","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","78.2",",0","5",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","5.0",",0,29,+","0",",,0,30,+","0",",,0,30,+","29.0",",,0,09,","31.1",",0,06,","","","50.0","0","50.0",",0","","","","","35.1",",,,0","0",",,,0","19.28",",0","25.26",",,,0","13.29",",,,0","",""
"USC00418059","1987-12","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","56.7","1,0","6",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","21",",0","0",",0","4.4","1,0,30,+","0",",,0,31,+","0",",,0,31,+","4.3",",,0,19,","31.7",",0,12,","","","128.7","0","78.7",",0","","","","","6.5",",,,0","0",",,,0","17.48","1,0","22.98",",,,0","11.98","1,,,0","",""
