"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NIM00065201","1999-08","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","4,S","27","4,S","0","4,S","","","31.1","4,S,09,","","","29.16","4,,,S","",""
"NIM00065201","2009-04","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","25","5,S","22","5,S","","","35.0","5,S,02,","","","32.69","5,,,S","",""
"NIM00065201","2010-10","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","2,S","29","2,S","8","2,S","","","33.7","2,S,30,","","","31.25","2,,,S","",""
"NIM00065201","2010-12","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","3,S","28","3,S","24","3,S","","","35.0","3,S,20,+","","","33.30","3,,,S","",""
"NIM00065201","2011-01","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","3,S","28","3,S","27","3,S","","","40.0","3,S,27,","","","33.64","3,,,S","",""
"NIM00065201","2011-03","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","26","5,S","26","5,S","","","35.7","5,S,22,","","","33.97","5,,,S","",""
"NIM00065201","2011-04","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","3,S","27","3,S","25","3,S","","","35.6","3,S,16,","","","33.88","3,,,S","",""
"NIM00065201","2012-02","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","24","5,S","18","5,S","","","34.2","5,S,01,","","","32.53","5,,,S","",""
"NIM00065201","2012-03","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","3,S","28","3,S","23","3,S","","","36.4","3,S,17,","","","33.44","3,,,S","",""
"NIM00065201","2012-04","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","25","5,S","20","5,S","","","34.5","5,S,13,","","","32.87","5,,,S","",""
"NIM00065201","2013-02","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","4,S","24","4,S","23","4,S","","","35.0","4,S,07,","","","33.53","4,,,S","",""
"NIM00065201","2013-09","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","2,S","28","2,S","0","2,S","","","31.7","2,S,20,","","","29.39","2,,,S","",""
"NIM00065201","2015-12","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","3,S","0","3,S","","","","","","","18.0","3,S,17,","","","","","","","21.19","3,,,S"
"NIM00065201","2016-01","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","4,S","0","4,S","","","","","","","19.5","4,S,27,+","","","","","","","22.63","4,,,S"
"NIM00065201","2016-02","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","5,S","0","5,S","0","4,S","25","4,S","25","4,S","22.9","5,S,11,","37.1","4,S,10,","30.53","8,S","35.25","4,,,S","25.81","5,,,S"
"NIM00065201","2016-04","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","3,S","27","3,S","25","3,S","","","36.2","3,S,27,","","","34.47","3,,,S","",""
"NIM00065201","2016-06","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","5,S","0","5,S","","","","","","","21.3","5,S,17,","","","","","","","23.14","5,,,S"
"NIM00065201","2016-07","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","4,S","0","4,S","","","","","","","22.5","4,S,26,+","","","","","","","23.40","4,,,S"
"NIM00065201","2016-08","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","26","5,S","0","5,S","","","31.1","5,S,04,","","","29.22","5,,,S","",""
"NIM00065201","2017-01","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","5,S","26","5,S","26","5,S","","","36.0","5,S,24,","","","34.65","5,,,S","",""
"NIM00065201","2017-12","6.577","3.321","41.1","MURTALA MUHAMMED, NI","","","","","0","4,S","27","4,S","25","4,S","","","34.9","4,S,13,","","","33.39","4,,,S","",""
"NIM00065201","2018-01","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","5,S","0","5,S","0","4,S","27","4,S","27","4,S","19.2","5,S,06,","36.3","4,S,22,","28.72","9,S","34.12","4,,,S","23.33","5,,,S"
"NIM00065201","2019-08","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","3,S","0","3,S","0","5,S","26","5,S","0","5,S","21.9","3,S,15,","31.3","5,S,18,","26.67","6,S","29.79","5,,,S","23.56","3,,,S"
"NIM00065201","2019-11","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","3,S","0","3,S","","","","","","","21.6","3,S,27,","","","","","","","24.07","3,,,S"
"NIM00065201","2020-01","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","3,S","0","3,S","","","","","","","17.4","3,S,02,","","","","","","","22.37","3,,,S"
"NIM00065201","2021-11","6.577","3.321","41.1","MURTALA MUHAMMED, NI","0","5,S","0","5,S","","","","","","","21.5","5,S,02,","","","","","","","24.02","5,,,S"
