"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00468100","1920-03","37.91667","-81.78333","271.0","SHARPLES, WV US","10",",6","6",",6","1",",6","","","","","","","","","34.3",",,6,19,","86.5",",,,6","",""
"USC00468100","1920-04","37.91667","-81.78333","271.0","SHARPLES, WV US","11",",6","11",",6","0",",6","","","","","","","","","21.6",",,6,02,","94.3",",,,6","",""
"USC00468100","1920-05","37.91667","-81.78333","271.0","SHARPLES, WV US","10",",6","8",",6","0",",6","","","","","","","","","17.8",",,6,22,","76.9",",,,6","",""
"USC00468100","1920-06","37.91667","-81.78333","271.0","SHARPLES, WV US","8",",6","7",",6","2",",6","","","","","","","","","50.8",",,6,05,","133.1",",,,6","",""
"USC00468100","1920-07","37.91667","-81.78333","271.0","SHARPLES, WV US","9",",6","8",",6","1",",6","","","","","","","","","33.0",",,6,25,","101.1",",,,6","",""
"USC00468100","1920-08","37.91667","-81.78333","271.0","SHARPLES, WV US","10",",6","5",",6","1",",6","","","","","","","","","38.1",",,6,28,","77.3",",,,6","",""
"USC00468100","1920-09","37.91667","-81.78333","271.0","SHARPLES, WV US","6",",6","5",",6","1",",6","","","","","","","","","34.3",",,6,12,","63.2",",,,6","",""
"USC00468100","1920-10","37.91667","-81.78333","271.0","SHARPLES, WV US","3",",6","3",",6","0",",6","","","","","","","","","24.9",",,6,27,","39.2",",,,6","",""
"USC00468100","1920-11","37.91667","-81.78333","271.0","SHARPLES, WV US","","","","","","","","","1","","","","","","","","","","",""
"USC00468100","1920-12","37.91667","-81.78333","271.0","SHARPLES, WV US","7",",6","5",",6","0",",6","","","","","","","","","21.6",",,6,27,","71.7",",,,6","",""
"USC00468100","1921-01","37.91667","-81.78333","271.0","SHARPLES, WV US","5",",6","5",",6","0",",6","","","","","","","","","17.8",",,6,08,","53.4",",,,6","",""
"USC00468100","1921-02","37.91667","-81.78333","271.0","SHARPLES, WV US","8",",6","7",",6","0",",6","1",",6","","","","","254",",,6,20,","17.3",",,6,20,","61.3",",,,6","254",",,,6"
"USC00468100","1921-03","37.91667","-81.78333","271.0","SHARPLES, WV US","4",",6","4",",6","1",",6","","","","","","","","","25.4",",,6,03,","52.6",",,,6","",""
"USC00468100","1921-04","37.91667","-81.78333","271.0","SHARPLES, WV US","5",",6","5",",6","1",",6","","","","","","","","","30.0",",,6,01,","60.5",",,,6","",""
"USC00468100","1921-05","37.91667","-81.78333","271.0","SHARPLES, WV US","11",",6","11",",6","1",",6","","","","","","","","","40.1",",,6,26,","150.8",",,,6","",""
"USC00468100","1921-06","37.91667","-81.78333","271.0","SHARPLES, WV US","7",",6","7",",6","0",",6","","","","","","","","","18.3",",,6,20,","88.2",",,,6","",""
