"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014773","1913-04","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","1.7",",0","11",",0","8",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","6",",0","0",",0","4","","","","2","","0.0",",0,08,+","0",",,0,30,+","0",",T,0,07,+","39.6",",,0,12,","26.7",",0,25,","","","209.0",",0","133.8",",,,0","","","0",",T,,0","11.42",",0","16.36",",,,0","6.49",",,,0","","","","","",""
"USW00014773","1913-05","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","20.6",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","1",",0","7","","","","4","","1.1",",0,11,","0",",,0,31,+","0",",,0,31,+","29.5",",,0,23,","32.2",",0,03,","","","92.1",",0","76.4",",,,0","","","0",",,,0","16.03",",0","21.67",",,,0","10.38",",,,0","","","","","",""
"USW00014773","1913-06","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","108.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","2","","","","6","","6.7",",0,09,","0",",,0,30,+","0",",,0,30,+","12.2",",,0,20,","34.4",",0,16,","","","13.9",",0","17.3",",,,0","","","0",",,,0","21.47",",0","27.58",",,,0","15.37",",,,0","","","","","",""
"USW00014773","1913-07","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","183.9",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","2","","","","4","","14.4",",0,07,","0",",,0,31,+","0",",,0,31,+","13.7",",,0,28,","36.1",",0,30,","0.0","0","0.0",",0","38.2",",,,0","","","0",",,,0","24.26",",0","30.08",",,,0","18.45",",,,0","","","","","",""
"USW00014773","1913-08","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","135.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","","","6","","12.8",",0,22,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,06,","35.0",",0,10,","0.0","0","0.0",",0","83.9",",,,0","","","0",",,,0","22.69",",0","27.86",",,,0","17.51",",,,0","","","","","",""
"USW00014773","1913-09","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","51.7",",0","11",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","1",",0","4","","","","3","","6.7",",0,15,","0",",,0,30,+","0",",,0,30,+","35.6",",,0,05,","32.2",",0,05,","48.1","0","48.1",",0","118.4",",,,0","","","0",",,,0","18.45",",0","23.43",",,,0","13.48",",,,0","","","","","",""
"USW00014773","1913-10","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","5.6",",0","11",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","7","","","","2","","1.1",",0,31,","0",",,0,31,+","0",",,0,31,+","57.2",",,0,01,","25.0",",0,05,","170.0","0","121.9",",0","159.8",",,,0","","","0",",,,0","14.58",",0","18.51",",,,0","10.65",",,,0","","","","","",""
"USW00014773","1913-11","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","0.0",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","2",",0","0",",0","12","","","","","","-1.7",",0,11,","0",",,0,30,+","0",",T,0,27,+","21.1",",,0,16,","21.1",",0,20,+","482.9","0","312.9",",0","63.0",",,,0","","","0",",T,,0","7.90",",0","12.35",",,,0","3.45",",,,0","","","","","",""
"USW00014773","1913-12","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","","","0.0",",0","7",",0","5",",0","1",",0","1",",0","0",",0","0",",0","18",",0","1",",0","0",",0","0",",0","4","","","","","","-7.2",",0,28,","25",",,0,10,","13",",,0,10,","32.0",",,0,23,","13.9",",0,03,","942.9","0","460.0",",0","62.1",",,,0","","","13",",,,0","3.50",",0","7.45",",,,0","-0.46",",,,0","","","","","",""
"USW00014773","1914-01","40.2269","-74.7465","57.9","TRENTON WEATHER SERVICE OFFICE CITY, NJ US","0.0","0","0.0",",0","12",",0","7",",0","0",",0","0",",0","1",",0","2",",0","26",",0","8",",0","0",",0","0",",0","11","","","","","","-20.0",",0,14,","0",",T,0,15,+","30",",,0,05,","22.6",",,0,24,","16.1",",0,30,","1508.2","0","565.3",",0","69.1",",,,0","","","39",",,,0","0.10",",0","4.30",",,,0","-4.11",",,,0","","","","","",""
