"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00341252","1893-06","36.8","-101.3",,"BUFFALO T, OK US","","","227.6","1,6","","","","","","","","","0","1,6","0","1,6","0",",6","30",",6","26",",6","7.2","1,6,10,","","","","","41.1",",6,23,","0.0",",6","","","","","26.17","1,6","35.17",",,,6","17.17","1,,,6"
"USC00341252","1893-09","36.8","-101.3",,"BUFFALO T, OK US","","","149.5",",6","","","","","","","","","0",",6","0",",6","0",",6","28",",6","17",",6","8.3",",6,25,","","","","","36.1",",6,14,","6.7",",6","","","","","23.10",",6","30.75",",,,6","15.44",",,,6"
"USC00341252","1893-10","36.8","-101.3",,"BUFFALO T, OK US","","","11.7",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","3",",6","2.2",",6,25,+","","","17.3",",,6,01,","32.2",",6,09,+","53.6",",6","17.3",",,,6","","","16.98",",6","26.67",",,,6","7.29",",,,6"
"USC00341252","1894-01","36.8","-101.3",,"BUFFALO T, OK US","0.0","","0.0","4,6","","","","","","","","","0","3,6","11","3,6","0","2,6","6","2,6","0","2,6","-12.2","3,6,06,","","","","","26.7","2,6,22,+","264.4","2,6","","","","","8.24","4,6","14.99","2,,,6","1.50","3,,,6"
"USC00341252","1894-02","36.8","-101.3",,"BUFFALO T, OK US","0.0","","0.0",",6","4","1,6","4","1,6","0","1,6","3",",6","1",",6","28",",6","1",",6","2",",6","0",",6","-17.8",",6,04,","152",",,6,24,","15.2","1,,6,24,","21.1",",6,08,+","452.3",",6","45.7","1,,,6","343",",,,6","2.18",",6","11.49",",,,6","-7.13",",,,6"
"USC00341252","1894-03","36.8","-101.3",,"BUFFALO T, OK US","14.3","","14.3",",6","1",",6","1",",6","0",",6","1",",6","0",",6","14",",6","0",",6","16",",6","0",",6","-11.1",",6,29,","25",",,6,10,","2.5",",,6,10,","31.1",",6,12,","231.7",",6","2.5",",,,6","25",",,,6","11.32",",6","19.88",",,,6","2.76",",,,6"
"USC00341252","1894-04","36.8","-101.3",,"BUFFALO T, OK US","22.7","","8.4",",6","","","","","","","","","0",",6","2",",6","0",",6","28",",6","4",",6","-1.1",",6,10,","","","","","32.2",",6,29,+","77.4",",6","","","","","16.03",",6","26.03",",,,6","6.04",",,,6"
"USC00341252","1894-05","36.8","-101.3",,"BUFFALO T, OK US","86.8","","64.1","1,6","","","","","","","","","0",",6","0",",6","0","1,6","21","1,6","8","1,6","4.4",",6,23,+","","","","","34.4","1,6,12,","61.1","1,6","","","","","18.33","1,6","25.87","1,,,6","10.79",",,,6"
"USC00341252","1895-02","36.8","-101.3",,"BUFFALO T, OK US","","","0.0",",6","","","","","","","","","0",",6","21",",6","2",",6","4",",6","0",",6","-15.6",",6,11,","","","","","25.6",",6,28,","414.4",",6","","","","","3.53",",6","12.79",",,,6","-5.73",",,,6"
"USC00341252","1895-03","36.8","-101.3",,"BUFFALO T, OK US","","","3.1",",6","2",",6","2",",6","0",",6","2",",6","0",",6","20",",6","0",",6","17",",6","1",",6","-12.2",",6,14,","25",",,6,19,+","2.5",",,6,19,+","32.2",",6,29,","272.7",",6","5.0",",,,6","50",",,,6","9.64",",6","21.25",",,,6","-1.97",",,,6"
