"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013782","1893-11","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1270.1","0","5.6","4,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","8","2,0","0","2,0","","","","","0.6","2,0,25,","0",",,0,30,+","0",",,0,30,+","14.5",",,0,21,","25.6","2,0,04,","130.0","0","104.2","2,0","34.5",",,,0","0",",,,0","14.45","4,0","18.95","2,,,0","9.96","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-12","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1270.1","0","0.0","3,0","6",",0","5",",0","2",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","3","1,0","0","1,0","","","","","0.6","2,0,18,","0",",,0,31,+","0",",,0,31,+","40.4",",,0,05,","22.8","1,0,25,+","314.4","0","184.4","1,0","115.8",",,,0","0",",,,0","11.87","3,0","16.33","1,,,0","7.40","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-01","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0","5,0","10",",0","5",",0","0",",0","0",",0","0",",0","0","2,0","1","2,0","0","3,0","5","3,0","0","3,0","","","","","-1.1","2,0,27,","0",",,0,31,+","0",",,0,31,+","13.5",",,0,25,","23.3","3,0,06,","470.9","0","156.5","3,0","43.5",",,,0","0",",,,0","12.08","5,0","16.49","3,,,0","7.68","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-02","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.5","0","0.5","5,0","12",",0","10",",0","0",",0","0",",0","0",",0","0","3,0","3","3,0","0","3,0","3","3,0","0","3,0","","","","","-1.7","3,0,25,+","0",",,0,28,+","0",",T,0,25,","24.1",",,0,25,","24.4","3,0,10,","618.2","0","147.3","3,0","99.2",",,,0","0",",T,,0","11.83","5,0","16.42","3,,,0","7.24","3,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-03","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","35.7","0","35.2","2,0","8",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0","1,0","16","1,0","0","1,0","","","","","0.0","1,0,27,","0",",,0,31,+","0",",,0,31,+","23.6",",,0,01,","28.9","1,0,22,","703.8","0","85.6","1,0","45.3",",,,0","0",",,,0","16.46","2,0","21.04","1,,,0","11.87","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-04","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","62.3","0","26.6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","6.7",",0,13,","0",",,0,30,+","0",",,0,30,+","9.4",",,0,04,","30.0",",0,29,","735.4","0","31.6",",0","13.5",",,,0","0",",,,0","18.16",",0","22.17",",,,0","14.15",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-05","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","189.8","0","127.5","1,0","14",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","0",",0","","","","","7.2","1,0,20,","0",",,0,31,+","0",",,0,31,+","29.5",",,0,19,","31.7",",0,31,+","743.4","0","8.0",",0","88.3",",,,0","0",",,,0","22.40","1,0","26.38",",,,0","18.43","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-06","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","384.8","0","195.0","1,0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","1","1,0","","","","","15.0",",0,01,","0",",,0,30,+","0",",,0,30,+","36.1",",,0,25,","33.9","1,0,13,","743.4","0","0.0","1,0","85.9",",,,0","0",",,,0","24.95","1,0","28.51","1,,,0","21.39",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-07","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","623.5","0","238.7",",0","18",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","","","17.8",",0,10,","0",",,0,31,+","0",",,0,31,+","71.1",",,0,03,","32.8",",0,21,+","0.0","0","0.0",",0","286.7",",,,0","0",",,,0","26.03",",0","29.39",",,,0","22.67",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-08","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","881.6","0","258.1",",0","21",",0","14",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","19.4",",0,20,","0",",,0,31,+","0",",,0,31,+","58.7",",,0,04,","35.6",",0,10,","0.0","0","0.0",",0","307.6",",,,0","0",",,,0","26.66",",0","30.57",",,,0","22.75",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-09","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1092.8","0","211.2",",0","9",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","","","16.7",",0,26,","0",",,0,30,+","0",",,0,30,+","123.4",",,0,26,","35.0",",0,10,","0.0","0","0.0",",0","277.9",",,,0","0",",,,0","25.37",",0","28.77",",,,0","21.98",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-10","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1166.5","0","73.7",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","10.0",",0,16,","0",",,0,31,+","0",",,0,31,+","77.2",",,0,09,","30.0",",0,03,","14.8","0","14.8",",0","104.7",",,,0","0",",,,0","20.23",",0","23.97",",,,0","16.50",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-11","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1176.3","0","9.8","4,0","7",",0","5",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","13","2,0","0","2,0","","","","","0.6","2,0,12,","0",",,0,30,+","0",",,0,30,+","37.3",",,0,21,","24.4","2,0,04,","130.0","0","115.2","2,0","79.9",",,,0","0",",,,0","14.29","4,0","18.61","2,,,0","9.97","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1894-12","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1177.5","0","1.2","4,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","4","2,0","1","2,0","6","2,0","0","2,0","","","","","-10.0","2,0,29,","0",",,0,31,+","0",",T,0,31,","7.1",",,0,27,","22.8","2,0,02,","320.8","0","190.8","2,0","11.2",",,,0","0",",T,,0","11.34","4,0","15.74","2,,,0","6.94","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-01","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0","4,0","12",",0","8",",0","3",",0","0",",0","0",",0","0","2,0","3","2,0","0","2,0","3","2,0","0","2,0","","","","","-5.6","2,0,13,","0",",,0,31,+","0",",,0,31,+","43.7",",,0,31,","22.2","2,0,07,","572.2","0","251.4","2,0","195.0",",,,0","0",",,,0","9.27","4,0","13.33","2,,,0","5.21","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-02","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","10",",0","2",",0","1",",0","0",",0","","","","","-11.1",",0,08,","0",",T,0,11,","0",",T,0,11,","53.1",",,0,02,","24.4",",0,28,","945.4","0","373.2",",0","113.7",",,,0","0",",T,,0","5.00",",0","8.91",",,,0","1.09",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-03","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","","","11",",0","8",",0","2",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","6","3,0","0","3,0","","","","","1.1","3,0,17,","0",",,0,31,+","0",",,0,31,+","32.3",",,0,14,","27.2","3,0,28,","","","","","132.6",",,,0","0",",,,0","13.41","6,0","17.84","3,,,0","8.99","3,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-04","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","31.0",",0","12",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","","","","","7.2",",0,18,","0",",,0,30,+","0",",,0,30,+","31.5",",,0,30,","27.8",",0,22,","","","49.8",",0","107.0",",,,0","0",",,,0","17.71",",0","21.82",",,,0","13.60",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-05","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","98.4",",0","10",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","","","10.6",",0,13,","0",",,0,31,+","0",",,0,31,+","56.6",",,0,24,","31.7",",0,31,","","","11.4",",0","143.1",",,,0","0",",,,0","21.14",",0","24.75",",,,0","17.53",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-06","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","237.9",",0","10",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","","","","","17.8",",0,09,","0",",,0,30,+","0",",,0,30,+","64.5",",,0,23,","36.1",",0,02,+","","","0.0",",0","108.0",",,,0","0",",,,0","26.26",",0","30.32",",,,0","22.21",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-07","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","282.5",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","19.4",",0,03,","0",",,0,31,+","0",",,0,31,+","52.3",",,0,25,","35.0",",0,10,","0.0","0","0.0",",0","164.2",",,,0","0",",,,0","27.45",",0","31.29",",,,0","23.60",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-08","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","292.8",",0","13",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","21.7",",0,31,+","0",",,0,31,+","0",",,0,31,+","48.0",",,0,04,","36.7",",0,19,","0.0","0","0.0",",0","129.1",",,,0","0",",,,0","27.78",",0","31.22",",,,0","24.34",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-09","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","222.5",",0","8",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","","","17.8",",0,30,","0",",,0,30,+","0",",,0,30,+","52.6",",,0,10,","32.8",",0,27,","0.0","0","0.0",",0","176.3",",,,0","0",",,,0","25.75",",0","29.15",",,,0","22.35",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-10","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","43.0",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","9.4",",0,10,","0",",,0,31,+","0",",,0,31,+","15.2",",,0,31,","31.1",",0,07,","25.7","0","25.7",",0","19.5",",,,0","0",",,,0","18.89",",0","23.10",",,,0","14.69",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-11","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","11.5","4,0","13",",0","6",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","11","2,0","0","2,0","","","","","2.8","2,0,21,","0",",,0,30,+","0",",,0,30,+","20.3",",,0,01,","26.7","2,0,09,","138.1","0","112.4","2,0","62.1",",,,0","0",",,,0","14.48","4,0","18.52","2,,,0","10.44","2,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1895-12","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","","","","","11",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","4","3,0","0","3,0","2","3,0","0","3,0","","","","","-1.1","3,0,06,+","0",",,0,31,+","0",",,0,31,+","24.9",",,0,10,","22.2","3,0,26,","","","","","51.6",",,,0","0",",,,0","10.37","6,0","15.14","3,,,0","5.60","3,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-01","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0","2,0","10",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","0","1,0","0","1,0","","","","","-2.8","1,0,05,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,16,","17.8","1,0,30,","","","265.5","1,0","110.4",",,,0","0",",,,0","9.13","2,0","12.82","1,,,0","5.44","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-02","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","1",",0","0",",0","","","","","-7.8",",0,21,","0",",T,0,17,","0",",T,0,18,+","43.2",",,0,08,","22.2",",0,01,","","","203.8",",0","102.7",",,,0","0",",T,,0","11.31",",0","15.96",",,,0","6.65",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-03","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","4.5","0","4.5",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","","","","","1.7",",0,21,","0",",,0,31,+","0",",,0,31,+","71.1",",,0,11,","27.2",",0,31,","","","167.4",",0","92.4",",,,0","0",",,,0","13.08",",0","17.48",",,,0","8.68",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-04","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","68.4","0","63.9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","6.7",",0,03,","0",",,0,30,+","0",",,0,30,+","11.2",",,0,24,","31.7",",0,21,","","","41.6",",0","18.0",",,,0","0",",,,0","19.07",",0","22.85",",,,0","15.29",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-05","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","274.1","0","205.7",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","","","","","12.8",",0,08,","0",",,0,31,+","0",",,0,31,+","3.3",",,0,05,","35.6",",0,12,","","","1.1",",0","13.2",",,,0","0",",,,0","24.93",",0","28.46",",,,0","21.40",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-06","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","502.6","0","228.5",",0","16",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","5",",0","","","","","17.8",",0,14,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,09,","34.4",",0,26,","","","0.0",",0","192.4",",,,0","0",",,,0","25.95",",0","29.32",",,,0","22.58",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-07","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","801.3","0","298.7",",0","14",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","21.1",",0,09,+","0",",,0,31,+","0",",,0,31,+","73.9",",,0,09,","36.7",",0,30,","0.0","0","0.0",",0","268.6",",,,0","0",",,,0","27.97",",0","31.14",",,,0","24.80",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-08","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1077.7","0","276.4",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","17.8",",0,30,","0",",,0,31,+","0",",,0,31,+","31.0",",,0,03,","35.0",",0,09,+","0.0","0","0.0",",0","120.0",",,,0","0",",,,0","27.25",",0","30.77",",,,0","23.73",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-09","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1283.5","0","205.8",",0","4",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","","","15.0",",0,30,+","0",",,0,30,+","0",",,0,30,+","42.2",",,0,22,","34.4",",0,17,","0.0","0","0.0",",0","70.0",",,,0","0",",,,0","25.19",",0","28.75",",,,0","21.63",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-10","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1338.5","0","55.0",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","10.0",",0,19,","0",",,0,31,+","0",",,0,31,+","22.4",",,0,13,","29.4",",0,01,","25.5","0","25.5",",0","35.1",",,,0","0",",,,0","19.29",",0","23.21",",,,0","15.37",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-11","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1365.9","0","27.4",",0","10",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","","","4.4",",0,30,","0",",,0,30,+","0",",,0,30,+","27.9",",,0,01,","26.7",",0,11,","84.5","0","59.0",",0","45.1",",,,0","0",",,,0","17.28",",0","21.13",",,,0","13.44",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1896-12","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1365.9","0","0.0",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","4",",0","0",",0","0",",0","0",",0","","","","","-1.7",",0,25,","0",",,0,31,+","0",",,0,31,+","86.4",",,0,02,","20.0",",0,11,+","352.3","0","267.8",",0","146.4",",,,0","0",",,,0","9.70",",0","13.89",",,,0","5.50",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1897-01","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","6",",0","1",",0","1",",0","0",",0","","","","","-7.2",",0,28,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,27,","21.7",",0,04,","654.5","0","302.2",",0","21.4",",,,0","0",",,,0","8.59",",0","12.53",",,,0","4.64",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1897-02","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1.1","0","1.1",",0","12",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","","","","","3.3",",0,28,+","0",",,0,28,+","0",",,0,28,+","58.9",",,0,11,","23.3",",0,18,","811.9","0","157.4",",0","193.4",",,,0","0",",,,0","12.75",",0","16.12",",,,0","9.39",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1897-03","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","15.6","0","14.5",",0","15",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","","","","","5.0",",0,28,","0",",,0,31,+","0",",,0,31,+","45.5",",,0,13,","30.0",",0,21,","898.2","0","86.3",",0","111.2",",,,0","0",",,,0","16.01",",0","19.75",",,,0","12.28",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1897-04","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","54.6","0","39.0",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","9.4",",0,02,","0",",,0,30,+","0",",,0,30,+","12.2",",,0,26,","27.8",",0,06,","926.4","0","28.2",",0","48.1",",,,0","0",",,,0","18.69",",0","22.01",",,,0","15.37",",,,0","","","","","","","","","","","","","","","",""
