"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00332651","1985-10","39.3477","-84.5897","175.3","FAIRFIELD, OH US","","","22.5","2,0","12",",0","8",",0","1",",0","0",",0","0",",0","0","2,0","1","2,0","0",",0","20",",0","0",",0","","","-0.6","2,0,02,","0",",,0,31,+","0",",,0,31,+","54.6",",,0,20,","30.0",",0,12,","","","101.0",",0","109.7",",,,0","0",",,,0","15.72","2,0","22.12",",,,0","9.31","2,,,0"
"USC00332651","1986-01","39.3477","-84.5897","175.3","FAIRFIELD, OH US","0.0","0","0.0","3,0","6",",0","3",",0","1",",0","","","0","2,0","0","2,0","22","2,0","5","1,0","0","1,0","0","1,0","","","-16.1","2,0,28,","","","8","2,,0,26,","28.2",",,0,19,","13.3","1,0,18,","","","495.8","1,0","36.8",",,,0","8","2,,,0","0.69","3,0","5.71","1,,,0","-4.33","2,,,0"
"USC00332651","1986-02","39.3477","-84.5897","175.3","FAIRFIELD, OH US","0.0","0","0.0","3,0","15",",0","13",",0","0",",0","","","","","0","1,0","17","1,0","5","2,0","0","2,0","0","2,0","","","-14.4","1,0,13,","","","","","23.4",",,0,11,","19.4","2,0,18,","","","395.0","2,0","119.4",",,,0","","","2.63","3,0","7.03","2,,,0","-1.77","1,,,0"
"USC00332651","1986-03","39.3477","-84.5897","175.3","FAIRFIELD, OH US","1.1","0","1.1","3,0","11",",0","5",",0","1",",0","","","","","0","2,0","8","2,0","0","1,0","7","1,0","0","1,0","","","-11.1","2,0,01,","","","","","27.9",",,0,19,","29.4","1,0,31,","","","292.8","1,0","81.8",",,,0","","","8.13","3,0","14.82","1,,,0","1.44","2,,,0"
"USC00332651","1986-04","39.3477","-84.5897","175.3","FAIRFIELD, OH US","11.3","0","10.2","2,0","7",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0","1,0","19","1,0","2","1,0","","","-3.3","1,0,23,","0",",,0,30,+","0",",,0,30,+","17.0",",,0,20,","32.2","1,0,27,+","","","143.0","1,0","46.8",",,,0","0",",,,0","13.79","2,0","21.89","1,,,0","5.70","1,,,0"
"USC00332651","1986-05","39.3477","-84.5897","175.3","FAIRFIELD, OH US","79.5","0","68.2","2,0","14",",0","11",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","0","1,0","","","0.6","1,0,03,","0",",,0,31,+","0",",,0,31,+","57.4",",,0,08,","30.6","1,0,31,","","","34.7","1,0","115.0",",,,0","0",",,,0","19.49","2,0","25.69","1,,,0","13.28","1,,,0"
"USC00332651","1986-06","39.3477","-84.5897","175.3","FAIRFIELD, OH US","238.4","0","158.9","1,0","10",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","5","1,0","","","8.9",",0,02,","0",",,0,30,+","0",",,0,30,+","25.7",",,0,06,","34.4","1,0,27,+","","","0.0","1,0","100.2",",,,0","0",",,,0","23.67","1,0","29.97","1,,,0","17.36",",,,0"
"USC00332651","1986-07","39.3477","-84.5897","175.3","FAIRFIELD, OH US","465.7","0","227.3","2,0","7",",0","7",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","21","2,0","","","11.1","2,0,04,","0",",,0,31,+","0",",,0,31,+","26.9",",,0,02,","36.7","2,0,13,","0.0","0","0.0","2,0","76.5",",,,0","0",",,,0","26.17","2,0","32.63","2,,,0","19.71","2,,,0"
"USC00332651","1986-08","39.3477","-84.5897","175.3","FAIRFIELD, OH US","622.5","0","156.8",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","5.0",",0,29,","0",",,0,31,+","0",",,0,31,+","31.5",",,0,10,","33.9",",0,26,","11.4","0","11.4",",0","69.6",",,,0","0",",,,0","23.02",",0","29.97",",,,0","16.07",",,,0"
"USC00332651","1986-09","39.3477","-84.5897","175.3","FAIRFIELD, OH US","742.6","0","120.1",",0","7",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","6.1",",0,09,","0",",,0,30,+","0",",,0,30,+","59.2",",,0,12,","32.2",",0,29,+","18.9","0","7.5",",0","146.5",",,,0","0",",,,0","22.09",",0","28.03",",,,0","16.15",",,,0"
