"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00028817","1982-05","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","142.3",",0","2",",0","1",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","5.0",",0,13,","","","0",",,0,31,+","5.1",",,0,05,","37.2",",0,31,","345.7",",,,0","","","3.9",",0","","","","","6.6",",,,0","0",",,,0","22.80",",0","32.40",",,,0","13.19",",,,0","",""
"USC00028817","1982-06","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","265.7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","30",",0","","","12.8",",0,08,+","0",",,0,30,+","0",",,0,30,+","0.5",",,0,29,","42.2",",0,27,","430.7",",,,0","","","0.0",",0","16.88",",,,0","33.51",",,,0","0.5",",,,0","0",",,,0","27.19",",0","37.67",",,,0","16.70",",,,0","3048",",,,0"
"USC00028817","1982-07","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","345.0","1,0","9",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","30",",0","","","16.7","1,0,01,","0",",,0,31,+","0",",,0,31,+","29.7",",,0,06,","41.7",",0,14,","370.2",",,,0","0.0","0","0.0",",0","21.74",",,,0","35.26",",,,0","67.9",",,,0","0",",,,0","29.87","1,0","37.62",",,,0","22.13","1,,,0","3144",",,,0"
"USC00028817","1982-08","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","356.5",",0","10",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","","","17.2",",0,23,","0",",,0,31,+","0",",,0,31,+","49.0",",,0,13,","42.2",",0,20,","255.7","4,,,0","0.0","0","0.0",",0","22.39",",,,0","36.06",",,,0","133.0",",,,0","0",",,,0","29.83",",0","37.12",",,,0","22.54",",,,0","2642",",,,0"
"USC00028817","1982-09","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","264.6",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","","","12.8",",0,29,","0",",,0,30,+","0",",,0,30,+","23.6",",,0,10,","40.6",",0,02,","298.4",",,,0","0.0","0","0.0",",0","19.65",",,,0","33.11",",,,0","52.3",",,,0","0",",,,0","27.15",",0","35.06",",,,0","19.25",",,,0","2887",",,,0"
"USC00028817","1982-10","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","60.8","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","11","1,0","","","3.3",",0,28,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","35.6","1,0,03,","239.9",",,,0","18.4","0","18.4","1,0","11.54",",,,0","26.11","1,,,0","0.0",",,,0","0",",,,0","19.65","1,0","30.27","1,,,0","9.03",",,,0","2444",",,,0"
"USC00028817","1982-11","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","1.7","1,0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","18","1,0","0","1,0","","","0.6",",0,12,","0",",,0,30,+","0",",,0,30,+","21.1",",,0,18,","28.9","1,0,06,+","110.9","3,,,0","123.6","0","105.2","1,0","9.46",",,,0","20.13",",,,0","39.7",",,,0","0",",,,0","14.76","1,0","21.97","1,,,0","7.54",",,,0","2649",",,,0"
"USC00028817","1982-12","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","0.0",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","8",",0","0",",0","","","-3.3",",0,25,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,10,","25.6",",0,20,","81.5","1,,,0","375.6","0","252.0",",0","5.88",",,,0","16.04",",,,0","58.5",",,,0","0",",,,0","10.20",",0","17.58",",,,0","2.83",",,,0","2760",",,,0"
"USC00028817","1983-01","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","0.3","0","0.3",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","14",",0","0",",0","","","-3.9",",0,02,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,30,","26.1",",0,14,","130.3",",,,0","597.8","0","222.2",",0","5.86",",,,0","17.41",",,,0","47.5",",,,0","0",",,,0","11.17",",0","19.53",",,,0","2.82",",,,0","2466",",,,0"
"USC00028817","1983-02","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","0.3","0","0.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","","","-0.6",",0,02,","0",",,0,28,+","0",",,0,28,+","14.7",",,0,03,","26.1",",0,23,","90.5","4,,,0","782.7","0","184.9",",0","7.46",",,,0","20.20",",,,0","45.2",",,,0","0",",,,0","11.73",",0","19.22",",,,0","4.24",",,,0","",""
