"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00004109","1997-06","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","6.5","1,M","","","","","","","0","1,M","0","1,M","0","1,M","23","1,M","0","1,M","6.7","1,M,25,+","","","30.0","1,M,25,+","","","46.1","1,M","","","16.97","1,M","24.18","1,,,M","9.76","1,,,M","","","","","","","","","",""
"USW00004109","1997-07","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","78.2",",M","","","","","","","0",",M","0",",M","0",",M","29",",M","6",",M","8.3",",M,12,+","","","33.9",",M,05,","14.1","M","14.1",",M","","","20.40",",M","28.51",",,,M","12.29",",,,M","","","","","","","","","",""
"USW00004109","1997-08","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","114.3","2,M","","","","","","","0","2,M","0","2,M","0","2,M","29","2,M","15","2,M","8.9","2,M,09,","","","35.6","2,M,06,","14.1","M","0.0","2,M","","","22.27","2,M","31.30","2,,,M","13.25","2,,,M","","","","","","","","","",""
"USW00004109","1997-09","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","18.1","2,M","","","","","","","0","2,M","0","2,M","0","2,M","17","2,M","0","2,M","7.2","2,M,20,","","","30.0","2,M,01,","69.2","M","55.1","2,M","","","17.01","2,M","23.20","2,,,M","10.83","2,,,M","","","","","","","","","",""
"USW00004109","1997-10","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","0.0",",M","","","","","","","0",",M","0",",M","0",",M","1",",M","0",",M","0.6",",M,26,+","","","21.7",",M,01,","332.7","M","263.5",",M","","","9.83",",M","14.41",",,,M","5.25",",,,M","","","","","","","","","",""
"USW00004109","1997-11","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","0.0",",M","","","","","","","0",",M","9",",M","0",",M","0",",M","0",",M","-6.1",",M,15,","","","14.4",",M,04,","751.1","M","418.4",",M","","","4.39",",M","7.93",",,,M","0.84",",,,M","","","","","","","","","",""
"USW00004109","1997-12","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","","","0.0","1,M","","","","","","","0",",M","27",",M","4","1,M","0","1,M","0","1,M","-8.9",",M,18,","","","6.1","1,M,01,","1308.0","M","556.9","1,M","","","-0.33","1,M","2.09","1,,,M","-2.76",",,,M","","","","","","","","","",""
"USW00004109","1998-01","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","0.0","W","0.0",",M","","","","","","","0",",M","23",",M","5",",M","0",",M","0",",M","-8.3",",M,11,","","","8.9",",M,28,","1849.0","W","541.0",",M","","","0.88",",M","2.84",",,,M","-1.07",",,,M","","","","","","","","","",""
"USW00004109","1998-02","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","0.0","W","0.0","1,M","","","","","","","0",",M","19",",M","0","1,M","0","1,M","0","1,M","-3.9",",M,28,","","","13.9","1,M,20,","2238.1","W","389.1","1,M","","","3.89","1,M","8.07","1,,,M","-0.28",",,,M","","","","","","","","","",""
"USW00004109","1998-03","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","","","0.0","W","0.0",",M","","","","","","","0",",M","16",",M","0",",M","0",",M","0",",M","-3.3",",M,06,","","","18.3",",M,13,","2610.3","W","372.2",",M","","","6.33",",M","11.90",",,,M","0.75",",,,M","","","","","","","","","",""
"USW00004109","1998-04","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.0",",W","0.0","W","0.0",",W","19",",W","12",",W","0",",W","0",",W","1",",W","0",",W","8",",W","0",",W","0.0",",W,13,","14.0",",,W,24,","29.4",",W,30,","2863.9","W","253.6",",W","95.7",",,,W","9.88",",W","16.13",",,,W","3.62",",,,W","","","180",",W","180",",W","9.4",",W","10.7",",W"
"USW00004109","1998-05","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.0",",W","0.5","W","0.5",",W","21",",W","12",",W","1",",W","0",",W","0",",W","0",",W","16",",W","0",",W","3.9",",W,16,","26.9",",,W,21,","30.6",",W,01,","3000.8","W","136.9",",W","124.0",",,,W","13.93",",W","20.56",",,,W","7.31",",,,W","","","180",",W","170",",W","9.8",",W","11.6",",W"
"USW00004109","1998-06","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9",",W","6.6","W","6.1",",W","9",",W","4",",W","0",",W","0",",W","0",",W","0",",W","23",",W","0",",W","5.0",",W,04,","9.1",",,W,12,+","31.7",",W,30,","3067.8","W","67.0",",W","29.0",",,,W","16.30",",W","22.94",",,,W","9.67",",,,W","","","150",",W","140",",W","9.8",",W","13.4",",W"
"USW00004109","1998-07","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.2","2,W","179.7","W","173.1","1,W","5","1,W","3","1,W","0","1,W","0","1,W","0","1,W","0","1,W","30","1,W","21","1,W","11.7","1,W,21,","14.7","1,,W,10,","38.3","1,W,27,+","0.0","W","0.0","1,W","21.8","1,,,W","24.10","1,W","33.31","1,,,W","14.89","1,,,W","","","220","2,W","190","1,W","13.0","2,W","17.0","1,W"
"USW00004109","1998-08","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.2",",W","331.7","W","152.0",",W","4",",W","1",",W","0",",W","0",",W","0",",W","0",",W","31",",W","25",",W","7.8",",W,19,+","5.8",",,W,23,","39.4",",W,13,","0.0","W","0.0",",W","9.1",",,,W","23.24",",W","34.17",",,,W","12.30",",,,W","","","190",",W","190",",W","5.8",",W","8.9",",W"
"USW00004109","1998-09","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.8",",W","387.1","W","55.4",",W","11",",W","6",",W","0",",W","0",",W","0",",W","0",",W","27",",W","5",",W","7.8",",W,30,+","12.7",",,W,25,","35.6",",W,03,+","26.9","W","26.9",",W","52.0",",,,W","19.28",",W","27.07",",,,W","11.49",",,,W","","","180",",W","120",",W","6.7",",W","8.9",",W"
"USW00004109","1998-10","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.7",",W","387.1","W","0.0",",W","12",",W","3",",W","0",",W","0",",W","0",",W","0",",W","4",",W","0",",W","0.6",",W,31,","15.2",",,W,02,","25.6",",W,01,","273.6","W","246.7",",W","42.1",",,,W","10.38",",W","16.24",",,,W","4.51",",,,W","","","190",",W","190",",W","6.3",",W","7.2",",W"
"USW00004109","1998-11","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.5",",W","387.1","W","0.0",",W","27",",W","15",",W","2",",W","0",",W","0",",W","0",",W","0",",W","0",",W","0.6",",W,09,","30.5",",,W,13,","13.9",",W,03,","658.2","W","384.6",",W","185.5",",,,W","5.51",",W","7.86",",,,W","3.16",",,,W","","","190",",W","300",",W","4.5",",W","6.3",",W"
"USW00004109","1998-12","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9",",W","387.1","W","0.0","1,W","17",",W","11",",W","2",",W","0","1,W","17","1,W","7",",W","0",",W","0",",W","-15.6","1,W,20,","41.4",",,W,29,","11.1",",W,01,","1197.5","W","539.3",",W","159.2",",,,W","0.18","1,W","2.33",",,,W","-1.97","1,,,W","","","220",",W","220",",W","7.2",",W","10.3",",W"
"USW00004109","1999-01","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9",",W","0.0","W","0.0",",W","23",",W","15",",W","0",",W","0",",W","11",",W","1",",W","0",",W","0",",W","-5.0",",W,25,","20.8",",,W,14,","8.9",",W,20,+","1692.3","W","494.8",",W","157.6",",,,W","2.37",",W","4.80",",,,W","-0.05",",,,W","","","170","1,W","160",",W","4.5","1,W","6.7",",W"
"USW00004109","1999-02","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.8",",W","0.0","W","0.0",",W","21",",W","18",",W","1",",W","0",",W","17",",W","0",",W","0",",W","0",",W","-4.4",",W,12,","29.2",",,W,28,","10.0",",W,20,+","2120.4","W","428.1",",W","177.2",",,,W","3.04",",W","6.24",",,,W","-0.15",",,,W","","","210",",W","190",",W","4.5",",W","7.2",",W"
"USW00004109","1999-03","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.0",",W","0.0","W","0.0",",W","14",",W","10",",W","0",",W","0",",W","17",",W","0",",W","4",",W","0",",W","-2.8",",W,12,+","14.5",",,W,26,","22.8",",W,20,","2491.2","W","370.8",",W","73.2",",,,W","6.37",",W","12.70",",,,W","0.04",",,,W","","","190",",W","190",",W","9.4",",W","11.2",",W"
"USW00004109","1999-04","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.1",",W","0.0","W","0.0",",W","13",",W","5",",W","0",",W","0",",W","12",",W","0",",W","8",",W","0",",W","-2.8",",W,02,","8.9",",,W,28,","27.2",",W,24,","2764.0","W","272.8",",W","44.3",",,,W","9.24",",W","17.19",",,,W","1.29",",,,W","","","190",",W","200",",W","8.0",",W","11.2",",W"
"USW00004109","1999-05","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.2","2,W","4.1","W","4.1",",W","15",",W","6",",W","0",",W","0",",W","2",",W","0",",W","16",",W","1",",W","-1.7",",W,08,","13.0",",,W,03,","32.2",",W,24,","2942.0","W","178.0",",W","56.5",",,,W","12.72",",W","20.54",",,,W","4.91",",,,W","","","190","2,W","190",",W","7.6","2,W","11.2",",W"
"USW00004109","1999-06","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.0","1,W","25.5","W","21.4",",W","16",",W","8",",W","0",",W","0",",W","0",",W","0",",W","22",",W","2",",W","2.8",",W,10,","19.3",",,W,25,","38.3",",W,15,","3020.7","W","78.7",",W","75.6",",,,W","16.42",",W","24.06",",,,W","8.78",",,,W","","","190","1,W","190",",W","7.2","1,W","11.6",",W"
"USW00004109","1999-07","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.3",",W","123.4","W","97.9",",W","3",",W","1",",W","0",",W","0",",W","0",",W","0",",W","31",",W","16",",W","6.1",",W,05,+","3.6",",,W,01,","40.0",",W,29,","9.5","W","9.5",",W","5.9",",,,W","21.18",",W","32.30",",,,W","10.07",",,,W","","","190",",W","190",",W","10.7",",W","13.0",",W"
"USW00004109","1999-08","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9",",W","274.8","W","151.4",",W","10",",W","5",",W","0",",W","0",",W","0",",W","0",",W","29",",W","23",",W","7.2",",W,31,","21.1",",,W,12,","39.4",",W,04,","16.7","W","7.2",",W","55.9",",,,W","22.98",",W","32.59",",,,W","13.37",",,,W","","","200",",W","180",",W","7.6",",W","11.2",",W"
"USW00004109","1999-09","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.1",",W","280.7","W","5.9",",W","3",",W","0",",W","0",",W","0",",W","0",",W","0",",W","26",",W","0",",W","1.1",",W,29,","2.3",",,W,25,","31.7",",W,19,","79.5","W","62.8",",W","3.1",",,,W","16.44",",W","26.58",",,,W","6.29",",,,W","","","30",",W","30",",W","6.7",",W","9.4",",W"
"USW00004109","1999-10","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9",",W","280.7","W","0.0",",W","22",",W","7",",W","2",",W","0",",W","9",",W","0",",W","3",",W","0",",W","-1.7",",W,17,","35.1",",,W,26,","22.8",",W,04,+","331.9","W","252.4",",W","99.9",",,,W","10.19",",W","17.26",",,,W","3.12",",,,W","","","180",",W","140",",W","6.3",",W","10.3",",W"
"USW00004109","1999-11","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","1.0","1,W","280.7","W","0.0","1,W","15","1,W","8","1,W","1","1,W","0","1,W","5","1,W","0","1,W","0","1,W","0","1,W","-1.7","1,W,02,","68.1","1,,W,25,","17.8","1,W,13,+","675.0","W","343.1","1,W","161.9","1,,,W","6.50","1,W","10.31","1,,,W","2.70","1,,,W","","","360","1,W","50","1,W","5.4","1,W","7.6","1,W"
"USW00004109","1999-12","46.14417","-115.59639","451.1","LOWELL THREE RIVERS RESORT, ID US","0.9","1,W","280.7","W","0.0","1,W","16","1,W","10","1,W","1","1,W","0","1,W","17","1,W","0","1,W","0","1,W","0","1,W","-3.9","1,W,28,","33.8","1,,W,16,","9.4","1,W,22,+","1173.3","W","498.3","1,W","146.3","1,,,W","1.72","1,W","3.84","1,,,W","-0.40","1,,,W","","","190","1,W","200","1,W","7.2","1,W","9.4","1,W"
