"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00026643","1955-01","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","3.8",",,I,05,","","","","","","","17.2",",,,I","","","","","",""
"BOM00026643","1955-02","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","17",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","6.9",",,I,22,","","","","","","","28.5",",,,I","","","","","",""
"BOM00026643","1955-03","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","6.3",",,I,28,","","","","","","","25.5",",,,I","","","","","",""
"BOM00026643","1955-04","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","11.1",",,I,08,","","","","","","","44.4",",,,I","","","","","",""
"BOM00026643","1955-05","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","18",",I","11",",I","0",",I","","","","","","","","","","","","","","","","","12.0",",,I,20,","","","","","","","75.4",",,,I","","","","","",""
"BOM00026643","1955-06","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","7",",I","4",",I","1",",I","","","","","","","","","","","","","","","","","25.6",",,I,08,","","","","","","","50.5",",,,I","","","","","",""
"BOM00026643","1955-07","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","23.2",",,I,28,","","","","","","","55.0",",,,I","","","","","",""
"BOM00026643","1955-08","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.1",",,I,22,","","","","","","","3.1",",,,I","","","","","",""
"BOM00026643","1955-09","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","13",",I","8",",I","1",",I","","","","","","","","","","","","","","","","","27.7",",,I,19,","","","","","","","84.3",",,,I","","","","","",""
"BOM00026643","1955-11","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","16",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","7.4",",,I,11,","","","","","","","27.3",",,,I","","","","","",""
"BOM00026643","1955-12","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","20",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","3.9",",,I,04,","","","","","","","30.5",",,,I","","","","","",""
"BOM00026643","1956-01","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","14",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","11.1",",,I,25,","","","","","","","33.0",",,,I","","","","","",""
"BOM00026643","1956-02","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","5.4",",,I,13,","","","","","","","20.9",",,,I","","","","","",""
"BOM00026643","1956-03","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","7",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.7",",,I,08,","","","","","","","6.2",",,,I","","","","","",""
"BOM00026643","1956-04","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","17",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","21.7",",,I,21,","","","","","","","80.6",",,,I","","","","","",""
"BOM00026643","1956-05","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","7.1",",,I,04,","","","","","","","26.3",",,,I","","","","","",""
"BOM00026643","1956-06","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","14",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","37.8",",,I,11,","","","","","","","106.1",",,,I","","","","","",""
"BOM00026643","1956-07","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","15",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","8.1",",,I,13,","","","","","","","43.4",",,,I","","","","","",""
"BOM00026643","1956-08","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","21",",I","13",",I","0",",I","","","","","","","","","","","","","","","","","15.6",",,I,01,","","","","","","","92.1",",,,I","","","","","",""
"BOM00026643","1956-09","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","13",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","6.8",",,I,13,","","","","","","","31.6",",,,I","","","","","",""
"BOM00026643","1956-10","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","18",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","11.3",",,I,03,","","","","","","","49.2",",,,I","","","","","",""
"BOM00026643","1956-11","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","10",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","3.3",",,I,29,","","","","","","","13.8",",,,I","","","","","",""
"BOM00026643","1956-12","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","12",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","2.2",",,I,23,","","","","","","","11.3",",,,I","","","","","",""
"BOM00026643","1957-01","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","10",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","2.9",",,I,06,","","","","","","","13.0",",,,I","","","","","",""
"BOM00026643","1957-02","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","17",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","6.2",",,I,23,","","","","","","","31.0",",,,I","","","","","",""
"BOM00026643","1957-03","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","12",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","5.0",",,I,21,","","","","","","","21.8",",,,I","","","","","",""
"BOM00026643","1957-04","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","5","4,I","2","4,I","0","4,I","","","","","","","","","","","","","","","","","4.2","4,,I,11,","","","","","","","12.4","4,,,I","","","","","",""
"BOM00026643","1957-05","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","17.6",",,I,23,","","","","","","","40.1",",,,I","","","","","",""
"BOM00026643","1957-06","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","14",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19.2",",,I,23,","","","","","","","69.9",",,,I","","","","","",""
"BOM00026643","1957-07","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","11.1",",,I,19,","","","","","","","42.6",",,,I","","","","","",""
"BOM00026643","1957-08","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","19",",I","13",",I","1",",I","","","","","","","","","","","","","","","","","27.1",",,I,19,","","","","","","","145.5",",,,I","","","","","",""
"BOM00026643","1957-09","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","19",",I","11",",I","1",",I","","","","","","","","","","","","","","","","","32.8",",,I,18,","","","","","","","154.6",",,,I","","","","","",""
"BOM00026643","1957-10","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","14.1",",,I,07,","","","","","","","41.6",",,,I","","","","","",""
"BOM00026643","1957-11","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","6.5",",,I,27,","","","","","","","21.0",",,,I","","","","","",""
"BOM00026643","1957-12","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","10",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","13.9",",,I,14,","","","","","","","25.6",",,,I","","","","","",""
"BOM00026643","1958-01","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","18",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","22.4",",,I,25,","","","","","","","56.8",",,,I","","","","","",""
"BOM00026643","1958-02","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","19",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","3.4",",,I,12,","","","","","","","27.0",",,,I","","","","","",""
"BOM00026643","1958-03","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","15",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","5.7",",,I,31,","","","","","","","30.6",",,,I","","","","","",""
"BOM00026643","1958-04","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","12",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","5.2",",,I,06,","","","","","","","22.7",",,,I","","","","","",""
"BOM00026643","1958-05","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","14",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","6.0",",,I,30,","","","","","","","27.7",",,,I","","","","","",""
"BOM00026643","1958-06","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","15",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","23.1",",,I,24,","","","","","","","86.4",",,,I","","","","","",""
"BOM00026643","1958-07","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","16.6",",,I,28,","","","","","","","60.0",",,,I","","","","","",""
"BOM00026643","1958-08","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","16",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","11.1",",,I,15,","","","","","","","57.1",",,,I","","","","","",""
"BOM00026643","1958-09","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","6.8",",,I,22,","","","","","","","16.5",",,,I","","","","","",""
"BOM00026643","1958-10","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","12",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","21.1",",,I,14,","","","","","","","51.9",",,,I","","","","","",""
"BOM00026643","1958-11","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","9",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","11.2",",,I,11,","","","","","","","29.2",",,,I","","","","","",""
"BOM00026643","1958-12","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","18",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","7.1",",,I,14,","","","","","","","40.0",",,,I","","","","","",""
"BOM00026643","1959-01","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","18",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","11.1",",,I,05,","","","","","","","43.0",",,,I","","","","","",""
"BOM00026643","1959-02","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","8",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","3.8",",,I,26,","","","","","","","13.9",",,,I","","","","","",""
"BOM00026643","1959-03","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","7",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","17.9",",,I,25,","","","","","","","35.1",",,,I","","","","","",""
"BOM00026643","1959-04","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","12.4",",,I,19,","","","","","","","44.0",",,,I","","","","","",""
"BOM00026643","1959-05","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","7",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","9.7",",,I,21,","","","","","","","27.8",",,,I","","","","","",""
"BOM00026643","1959-06","55.367","27.467","131.0","SHARCOVSCHINA, BO","","","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","14.2",",,I,26,","","","","","","","27.9",",,,I","","","","","",""
