"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00032444","1892-01","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","0.0","0","0.0","1,0","3","1,0","3","1,0","0","1,0","","","2","1,0","4","1,0","24","1,0","7","1,0","0","1,0","0","1,0","","","","","-24.4","1,0,19,","","","127","1,,0,18,","16.5","1,,0,17,","19.4","1,0,20,","","","","","548.3","1,0","","","","","","","","","","","34.3","1,,,0","203","1,,,0","0.06","1,0","6.41","1,,,0","-6.29","1,,,0"
"USC00032444","1892-02","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","0.0","0","0.0",",0","6",",0","6",",0","0",",0","","","0",",0","0",",0","12",",0","0",",0","0",",0","0",",0","","","","","-6.1",",0,16,","","","0",",,0,29,+","17.8",",,0,02,","18.9",",0,24,+","","","","","322.9",",0","","","","","","","","","","","60.4",",,,0","0",",,,0","7.20",",0","12.79",",,,0","1.60",",,,0"
"USC00032444","1892-03","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","0.3","0","0.3",",0","8",",0","5",",0","1",",0","","","1",",0","0",",0","13",",0","3",",0","3",",0","0",",0","","","","","-10.6",",0,18,","","","51",",,0,16,","35.6",",,0,22,","27.2",",0,31,","","","","","347.9",",0","","","","","","","","","","","78.6",",,,0","51",",,,0","7.12",",0","13.07",",,,0","1.16",",,,0"
"USC00032444","1892-04","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","29.5","0","29.2",",0","8",",0","7",",0","1",",0","","","0",",0","0",",0","1",",0","0",",0","18",",0","1",",0","","","","","-1.1",",0,09,","","","0",",,0,30,+","39.4",",,0,19,","32.2",",0,18,","","","","","126.1",",0","","","","","","","","","","","122.6",",,,0","0",",,,0","15.10",",0","21.57",",,,0","8.64",",,,0"
"USC00032444","1892-05","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","71.7","0","42.2",",0","17",",0","16",",0","4",",0","","","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","2.8",",0,22,","","","0",",,0,31,+","72.4",",,0,14,","29.4",",0,29,+","","","","","59.4",",0","","","","","","","","","","","306.6",",,,0","0",",,,0","17.78",",0","23.19",",,,0","12.37",",,,0"
"USC00032444","1892-06","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","224.5","0","152.8",",0","7",",0","7",",0","3",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","11",",0","","","","","7.8",",0,03,","","","0",",,0,30,+","45.7",",,0,30,","33.3",",0,15,","","","","","9.7",",0","","","","","","","","","","","135.7",",,,0","0",",,,0","23.10",",0","29.27",",,,0","16.93",",,,0"
"USC00032444","1892-07","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","421.3","0","196.8",",0","6",",0","6",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","","","11.1",",0,04,","","","0",",,0,31,+","18.8",",,0,03,","34.4",",0,22,+","0.0","","","","0.0",",0","","","","","","","","","","","52.3",",,,0","0",",,,0","24.68",",0","30.57",",,,0","18.79",",,,0"
"USC00032444","1892-08","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","613.0","0","191.7",",0","6",",0","4",",0","2",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","8.3",",0,31,","","","0",",,0,31,+","59.7",",,0,12,","36.1",",0,07,+","1.7","","","","1.7",",0","","","","","","","","","","","136.9",",,,0","0",",,,0","24.46",",0","30.56",",,,0","18.37",",,,0"
"USC00032444","1892-09","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","699.3","0","86.3",",0","4",",0","3",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","","","","","6.1",",0,14,","","","0",",,0,30,+","37.1",",,0,11,","33.3",",0,25,","11.5","","","","9.8",",0","","","","","","","","","","","45.8",",,,0","0",",,,0","20.88",",0","28.01",",,,0","13.75",",,,0"
"USC00032444","1892-10","36.10104","-94.17365","387.1","FAYETTEVILLE EXPERIMENTAL STATION, AR US","722.4","0","23.1",",0","9",",0","7",",0","0",",0","","","0",",0","0",",0","3",",0","0",",0","20",",0","0",",0","","","","","-1.1",",0,26,","","","0",",,0,31,+","24.4",",,0,14,","30.6",",0,07,","104.5","","","","93.0",",0","","","","","","","","","","","101.5",",,,0","0",",,,0","16.08",",0","22.96",",,,0","9.19",",,,0"
