"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00004839","1998-11","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","5.1",",W","341.7","W","0.0","3,W","12",",W","3",",W","1",",W","","","0","3,W","8","3,W","0","3,W","0","3,W","0","3,W","","","","","","","-4.4","3,W,13,","","","32.8",",,W,10,","18.3","3,W,29,","556.8","W","327.2","3,W","62.0",",,,W","6.21","3,W","10.31","3,,,W","2.12","3,,,W","","","220",",W","210",",W","24.1",",W","30.0",",W"
"USW00004839","1998-12","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.9",",W","341.7","W","0.0",",W","8",",W","2",",W","0",",W","","","0",",W","23",",W","8",",W","0",",W","0",",W","","","","","","","-12.8",",W,22,","","","19.3",",,W,06,","17.2",",W,03,","1077.8","W","521.0",",W","28.0",",,,W","1.53",",W","5.29",",,,W","-2.23",",,,W","","","220",",W","220",",W","16.1",",W","18.3",",W"
"USW00004839","1999-01","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","5.4",",W","0.0","W","0.0","1,W","15",",W","7",",W","0",",W","","","2","1,W","27","1,W","16","1,W","0","1,W","0","1,W","","","","","","","-20.0","1,W,14,","","","17.8",",,W,22,","11.1","1,W,23,","1796.5","W","718.7","1,W","59.2",",,,W","-5.63","1,W","-2.18","1,,,W","-9.07","1,,,W","","","80",",W","80",",W","17.0",",W","20.6",",W"
"USW00004839","1999-02","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.9",",W","0.0","W","0.0","1,W","11",",W","6",",W","0",",W","","","0","1,W","20","1,W","6","1,W","1","1,W","0","1,W","","","","","","","-11.7","1,W,22,","","","8.4",",,W,28,","21.1","1,W,11,","2281.3","W","484.8","1,W","41.0",",,,W","0.38","1,W","4.56","1,,,W","-3.80","1,,,W","","","230",",W","230",",W","21.9",",W","26.8",",W"
"USW00004839","1999-03","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.8",",W","0.0","W","0.0","1,W","4",",W","2",",W","0",",W","","","0","1,W","27","1,W","5","1,W","1","1,W","0","1,W","","","","","","","-15.0","1,W,07,","","","7.1",",,W,02,","21.7","1,W,31,","2819.7","W","538.4","1,W","12.2",",,,W","0.39","1,W","5.70","1,,,W","-4.93","1,,,W","","","240",",W","270",",W","16.1",",W","20.6",",W"
"USW00004839","1999-04","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.4",",W","0.8","W","0.8",",W","14",",W","9",",W","2",",W","","","0",",W","8",",W","0",",W","3",",W","0",",W","","","","","","","-2.8",",W,20,","","","43.9",",,W,23,","25.0",",W,03,","3100.3","W","280.6",",W","130.2",",,,W","9.01",",W","14.81",",,,W","3.20",",,,W","","","230",",W","230",",W","17.9",",W","21.0",",W"
"USW00004839","1999-05","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.2",",W","20.8","W","20.0",",W","11",",W","9",",W","2",",W","","","0",",W","0",",W","0",",W","19",",W","0",",W","","","","","","","3.3",",W,14,+","","","33.8",",,W,23,","28.3",",W,16,","3205.9","W","105.6",",W","105.5",",,,W","15.57",",W","21.77",",,,W","9.37",",,,W","","","180",",W","180",",W","16.1",",W","21.5",",W"
"USW00004839","1999-06","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.2",",W","110.8","W","90.0",",W","8",",W","6",",W","0",",W","","","0",",W","0",",W","0",",W","24",",W","3",",W","","","","","","","5.0",",W,18,+","","","18.5",",,W,13,","32.2",",W,11,+","3242.6","W","36.7",",W","56.3",",,,W","20.11",",W","26.02",",,,W","14.20",",,,W","","","230",",W","220",",W","13.4",",W","16.5",",W"
"USW00004839","1999-07","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.8",",W","253.1","W","142.3","3,W","7",",W","3",",W","1",",W","","","0","3,W","0","3,W","0","3,W","28","3,W","5","3,W","","","","","","","10.0","3,W,11,","","","39.1",",,W,09,","36.1","3,W,30,","1.9","W","1.9","3,W","70.7",",,,W","23.35","3,W","29.05","3,,,W","17.65","3,,,W","","","240",",W","190",",W","14.3",",W","18.3",",W"
"USW00004839","1999-08","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.0",",W","298.1","W","45.0",",W","12",",W","8",",W","1",",W","","","0",",W","0",",W","0",",W","31",",W","0",",W","","","","","","","7.8",",W,30,","","","27.7",",,W,25,","28.9",",W,28,","11.2","W","9.3",",W","71.1",",,,W","19.48",",W","25.14",",,,W","13.83",",,,W","","","260",",W","270",",W","10.7",",W","13.0",",W"
"USW00004839","1999-09","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.5",",W","324.2","W","26.1",",W","9",",W","5",",W","0",",W","","","0",",W","0",",W","0",",W","18",",W","2",",W","","","","","","","2.2",",W,22,","","","13.0",",,W,28,","32.8",",W,05,+","85.9","W","74.7",",W","30.7",",,,W","16.71",",W","23.54",",,,W","9.89",",,,W","","","210",",W","200",",W","13.9",",W","17.9",",W"
"USW00004839","1999-10","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.2","2,W","324.5","W","0.3","2,W","9","1,W","6","1,W","0","1,W","","","0","2,W","5","2,W","0","2,W","5","2,W","0","2,W","","","","","","","-2.8","2,W,27,","","","10.4","1,,W,03,","24.4","2,W,29,","326.3","W","240.4","2,W","34.2","1,,,W","10.05","2,W","15.87","2,,,W","4.23","2,,,W","","","210","1,W","200","1,W","13.0","1,W","17.9","1,W"
"USW00004839","1999-11","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.5",",W","324.5","W","0.0",",W","10",",W","5",",W","0",",W","","","0",",W","14",",W","0",",W","2",",W","0",",W","","","","","","","-3.9",",W,30,+","","","15.5",",,W,23,","21.1",",W,09,+","675.0","W","348.7",",W","34.1",",,,W","6.71",",W","11.94",",,,W","1.48",",,,W","","","230",",W","240",",W","15.6",",W","19.2",",W"
"USW00004839","1999-12","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.4",",W","324.5","W","0.0",",W","15",",W","7",",W","1",",W","","","1",",W","25",",W","8",",W","0",",W","0",",W","","","","","","","-18.3",",W,24,","","","29.5",",,W,05,","13.9",",W,03,","1247.2","W","572.2",",W","73.2",",,,W","-0.13",",W","3.69",",,,W","-3.94",",,,W","","","230",",W","230",",W","19.7",",W","21.9",",W"
"USW00004839","2000-01","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.6",",W","0.0","W","0.0",",W","14",",W","5",",W","0",",W","","","1",",W","28",",W","17",",W","0",",W","0",",W","","","","","","","-21.1",",W,27,","","","5.6",",,W,06,","14.4",",W,02,","1931.9","W","684.7",",W","29.8",",,,W","-3.75",",W","0.12",",,,W","-7.63",",,,W","","","220",",W","240",",W","14.3",",W","17.9",",W"
"USW00004839","2000-02","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.7","2,W","0.0","W","0.0","2,W","11",",W","5",",W","0",",W","","","0","2,W","19","2,W","9","2,W","0","2,W","0","2,W","","","","","","","-13.9","2,W,06,","","","18.3",",,W,24,","18.9","2,W,26,","2398.8","W","466.9","2,W","36.8",",,,W","1.04","2,W","5.30","2,,,W","-3.22","2,,,W","","","230",",W","320",",W","14.3",",W","16.1",",W"
"USW00004839","2000-03","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.2",",W","0.3","W","0.3",",W","12",",W","4",",W","0",",W","","","0",",W","16",",W","0",",W","3",",W","0",",W","","","","","","","-7.2",",W,12,","","","7.4",",,W,20,","25.0",",W,08,","2781.6","W","382.8",",W","28.4",",,,W","5.99",",W","11.31",",,,W","0.67",",,,W","","","220",",W","220",",W","16.5",",W","20.6",",W"
"USW00004839","2000-04","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.8",",W","0.3","W","0.0",",W","11",",W","8",",W","1",",W","","","0",",W","10",",W","0",",W","1",",W","0",",W","","","","","","","-4.4",",W,05,","","","46.2",",,W,20,","21.7",",W,14,","3105.7","W","324.1",",W","114.9",",,,W","7.53",",W","12.82",",,,W","2.24",",,,W","","","100",",W","170",",W","13.0",",W","17.0",",W"
"USW00004839","2000-05","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.3",",W","23.9","W","23.6",",W","14",",W","10",",W","3",",W","","","0",",W","0",",W","0",",W","13",",W","0",",W","","","","","","","3.3",",W,02,","","","80.8",",,W,18,","29.4",",W,08,","3218.5","W","112.8",",W","234.2",",,,W","15.45",",W","20.34",",,,W","10.57",",,,W","","","280",",W","280",",W","14.8",",W","19.7",",W"
"USW00004839","2000-06","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.4",",W","73.9","W","50.0",",W","16",",W","9",",W","2",",W","","","0",",W","0",",W","0",",W","23",",W","0",",W","","","","","","","4.4",",W,06,","","","37.6",",,W,12,","31.1",",W,10,","3257.1","W","38.6",",W","114.4",",,,W","18.71",",W","23.74",",,,W","13.68",",,,W","","","190",",W","190",",W","15.6",",W","20.1",",W"
"USW00004839","2000-07","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.2",",W","148.4","W","74.5","2,W","16",",W","8",",W","1",",W","","","0","2,W","0","2,W","0","2,W","28","2,W","0","2,W","","","","","","","9.4","2,W,20,","","","46.7",",,W,06,","30.0","2,W,05,","9.1","W","9.1","2,W","129.3",",,,W","20.59","2,W","25.70","2,,,W","15.48","2,,,W","","","200",",W","210",",W","14.3",",W","16.5",",W"
"USW00004839","2000-08","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.1",",W","235.9","W","87.5",",W","11",",W","3",",W","1",",W","","","0",",W","0",",W","0",",W","30",",W","1",",W","","","","","","","8.3",",W,20,","","","52.8",",,W,05,","32.2",",W,31,","18.2","W","9.1",",W","81.5",",,,W","20.86",",W","25.98",",,,W","15.74",",,,W","","","230",",W","210",",W","12.5",",W","15.6",",W"
"USW00004839","2000-09","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.7",",W","278.1","W","42.2",",W","14",",W","10",",W","2",",W","","","0",",W","0",",W","0",",W","15",",W","0",",W","","","","","","","1.7",",W,28,","","","43.2",",,W,23,","31.1",",W,01,","122.4","W","104.2",",W","141.4",",,,W","16.27",",W","21.52",",,,W","11.02",",,,W","","","260",",W","270",",W","13.4",",W","17.9",",W"
"USW00004839","2000-10","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.7",",W","281.2","W","3.1",",W","14",",W","5",",W","0",",W","","","0",",W","2",",W","0",",W","8",",W","0",",W","","","","","","","-0.6",",W,29,","","","11.2",",,W,23,","26.1",",W,01,","304.0","W","181.6",",W","37.6",",,,W","12.57",",W","17.94",",,,W","7.21",",,,W","","","200",",W","210",",W","12.5",",W","16.1",",W"
"USW00004839","2000-11","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.5",",W","281.2","W","0.0",",W","19",",W","12",",W","0",",W","","","0",",W","11",",W","3",",W","1",",W","0",",W","","","","","","","-6.1",",W,24,","","","24.1",",,W,09,","21.7",",W,01,","733.8","W","429.8",",W","106.0",",,,W","4.01",",W","6.95",",,,W","1.06",",,,W","","","230",",W","240",",W","14.8",",W","17.9",",W"
"USW00004839","2000-12","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.1",",W","281.2","W","0.0",",W","15",",W","4",",W","0",",W","","","1",",W","31",",W","24",",W","0",",W","0",",W","","","","","","","-22.2",",W,28,","","","11.9",",,W,16,","2.8",",W,16,+","1481.6","W","747.8",",W","34.8",",,,W","-5.79",",W","-2.41",",,,W","-9.17",",,,W","","","300",",W","300",",W","16.1",",W","21.5",",W"
"USW00004839","2001-01","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.5",",W","0.0","W","0.0",",W","10",",W","3",",W","0",",W","","","2",",W","29",",W","17",",W","0",",W","0",",W","","","","","","","-19.4",",W,02,","","","10.4",",,W,29,","4.4",",W,30,","2147.3","W","665.7",",W","25.6",",,,W","-3.14",",W","-0.14",",,,W","-6.15",",,,W","","","240",",W","210",",W","13.9",",W","17.0",",W"
"USW00004839","2001-02","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","5.0",",W","0.0","W","0.0",",W","10",",W","4",",W","0",",W","","","0",",W","28",",W","13",",W","0",",W","0",",W","","","","","","","-11.7",",W,21,+","","","20.3",",,W,24,","12.8",",W,25,","2739.2","W","591.9",",W","60.8",",,,W","-2.81",",W","0.43",",,,W","-6.04",",,,W","","","250",",W","240",",W","21.0",",W","24.1",",W"
"USW00004839","2001-03","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.1",",W","0.0","W","0.0",",W","12",",W","2",",W","0",",W","","","0",",W","27",",W","5",",W","0",",W","0",",W","","","","","","","-10.6",",W,25,","","","8.4",",,W,15,","12.8",",W,21,","3289.1","W","549.9",",W","25.0",",,,W","0.59",",W","4.71",",,,W","-3.52",",,,W","","","310",",W","330",",W","14.3",",W","17.9",",W"
"USW00004839","2001-04","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","5.3",",W","0.3","W","0.3","1,W","14",",W","5",",W","0",",W","","","0","1,W","8","1,W","0","1,W","9","1,W","0","1,W","","","","","","","-2.8","1,W,02,","","","16.8",",,W,21,","27.2","1,W,30,","3517.1","W","228.0","1,W","49.6",",,,W","10.48","1,W","16.67","1,,,W","4.29","1,,,W","","","210",",W","210",",W","19.2",",W","24.1",",W"
"USW00004839","2001-05","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","4.1",",W","15.1","W","14.8","1,W","16",",W","11",",W","1",",W","","","0","1,W","1","1,W","0","1,W","15","1,W","0","1,W","","","","","","","0.0","1,W,13,","","","34.0",",,W,16,","27.2","1,W,17,+","3623.2","W","106.1","1,W","118.8",",,,W","15.29","1,W","20.95","1,,,W","9.63","1,,,W","","","250",",W","240",",W","13.9",",W","17.0",",W"
"USW00004839","2001-06","42.74611","-86.09667","210.0","HOLLAND TULIP CITY AIRPORT, MI US","3.2",",W","75.8","W","60.7",",W","14",",W","8",",W","0",",W","","","0",",W","0",",W","0",",W","21",",W","2",",W","","","","","","","7.2",",W,03,","","","22.9",",,W,01,","32.8",",W,14,","3680.8","W","57.6",",W","104.0",",,,W","18.44",",W","23.75",",,,W","13.12",",,,W","","","290",",W","280",",W","14.3",",W","19.7",",W"
