"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BXM00096315","1981-10","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","16","4,S","11","4,S","3","4,S","","","","","","","","","","","","","47.0","4,,S,18,","","","","","179.4","4,,,S","","","","","",""
"BXM00096315","1981-12","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","11","5,S","9","5,S","2","5,S","","","","","0","5,S","26","5,S","0","5,S","","","49.0","5,,S,31,","32.0","5,S,17,+","","","160.9","5,,,S","","","30.58","5,,,S","",""
"BXM00096315","1982-04","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","21","4,S","20","4,S","7","4,S","","","","","","","","","","","","","140.0","4,,S,17,","","","","","536.0","4,,,S","","","","","",""
"BXM00096315","1982-09","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","11","5,S","8","5,S","1","5,S","","","","","","","","","","","","","29.0","5,,S,21,","","","","","111.3","5,,,S","","","","","",""
"BXM00096315","1983-09","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","17","5,S","13","5,S","6","5,S","","","","","","","","","","","","","287.0","5,,S,11,","","","","","688.0","5,,,S","","","","","",""
"BXM00096315","1983-11","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","22",",S","17",",S","4",",S","","","","","","","","","","","","","71.1",",,S,26,","","","","","293.8",",,,S","","","","","",""
"BXM00096315","1983-12","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","17","5,S","13","5,S","3","5,S","","","","","","","","","","","","","90.9","5,,S,17,","","","","","247.8","5,,,S","","","","","",""
"BXM00096315","1984-01","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","17","5,S","13","5,S","7","5,S","","","","","","","","","","","","","72.9","5,,S,24,","","","","","364.8","5,,,S","","","","","",""
"BXM00096315","1984-05","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","20","1,S","17","1,S","4","1,S","","","","","","","","","","","","","75.9","1,,S,19,","","","","","374.0","1,,,S","","","","","",""
"BXM00096315","1984-06","4.944","114.928","22.3","BRUNEI INTERNATIONAL, BX","","","13","5,S","5","5,S","1","5,S","","","","","","","","","","","","","39.1","5,,S,03,","","","","","82.6","5,,,S","","","","","",""
