"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMC00914911","1968-04","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","258.2",",0","14",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","20.0",",0,15,","0",",,0,30,+","0",",,0,30,+","159.5",",,0,01,","31.1",",0,20,","","","0.0",",0","301.5",",,,0","0",",,,0","26.94",",0","29.55",",,,0","24.32",",,,0"
"FMC00914911","1968-05","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","266.8","1,0","24",",0","20",",0","4",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","0","1,0","21.1","1,0,19,","0",",,0,31,+","0",",,0,31,+","135.9",",,0,23,","31.7","1,0,31,+","","","0.0","1,0","428.9",",,,0","0",",,,0","27.23","1,0","30.10","1,,,0","24.35","1,,,0"
"FMC00914911","1968-06","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","275.0",",0","18",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","21.7",",0,29,+","0",",,0,30,+","0",",,0,30,+","34.5",",,0,20,","31.7",",0,28,+","","","0.0",",0","162.4",",,,0","0",",,,0","27.50",",0","30.73",",,,0","24.27",",,,0"
"FMC00914911","1968-07","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","265.3",",0","22",",0","16",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","21.7",",0,16,","0",",,0,31,+","0",",,0,31,+","96.0",",,0,18,","31.7",",0,30,+","0.0","","0.0",",0","406.3",",,,0","0",",,,0","26.89",",0","30.16",",,,0","23.63",",,,0"
"FMC00914911","1968-08","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","274.3",",0","18",",0","16",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","21.7",",0,16,","0",",,0,31,+","0",",,0,31,+","178.1",",,0,08,","32.2",",0,16,","0.0","","0.0",",0","501.6",",,,0","0",",,,0","27.18",",0","29.94",",,,0","24.43",",,,0"
"FMC00914911","1968-09","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","278.2",",0","14",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","21.7",",0,15,+","0",",,0,30,+","0",",,0,30,+","32.8",",,0,06,","32.2",",0,19,","0.0","","0.0",",0","147.4",",,,0","0",",,,0","27.61",",0","30.58",",,,0","24.63",",,,0"
"FMC00914911","1969-02","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","264.0",",0","14",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","23.3",",0,01,","0",",,0,28,+","0",",,0,28,+","19.3",",,0,20,","31.7",",0,14,","","","0.0",",0","37.2",",,,0","0",",,,0","27.76",",0","30.70",",,,0","24.83",",,,0"
"FMC00914911","1969-03","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","301.0",",0","18",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","22.8",",0,17,","0",",,0,31,+","0",",,0,31,+","26.9",",,0,17,","31.7",",0,31,+","","","0.0",",0","74.3",",,,0","0",",,,0","28.04",",0","30.99",",,,0","25.10",",,,0"
"FMC00914911","1969-04","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","276.9",",0","17",",0","14",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","21.1",",0,21,","0",",,0,30,+","0",",,0,30,+","202.2",",,0,18,","32.2",",0,28,","","","0.0",",0","657.9",",,,0","0",",,,0","27.56",",0","30.37",",,,0","24.75",",,,0"
"FMC00914911","1969-05","7.37649","143.9075","2.1","WOLEAI ATOLL, FM FM","","","303.9",",0","27",",0","24",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","22.2",",0,12,","0",",,0,31,+","0",",,0,31,+","66.8",",,0,22,","32.2",",0,28,+","","","0.0",",0","535.3",",,,0","0",",,,0","28.14",",0","31.44",",,,0","24.83",",,,0"
