"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00126506","1937-06","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","124.2",",6","9",",6","8",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","4",",6","","","8.9",",6,11,","","","","","26.4",",,6,14,","35.0",",6,03,","1397.9","1,,,6","","","8.3",",6","","","","","99.8",",,,6","","","22.20",",6","27.79",",,,6","16.60",",,,6","2077",",,,6"
"USC00126506","1937-07","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","164.5",",6","8",",6","7",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","7",",6","","","6.1",",6,01,","","","","","50.3",",,6,13,","35.0",",6,10,","1667.1",",,,6","5.3","","5.3",",6","","","","","151.8",",,,6","","","23.47",",6","29.57",",,,6","17.36",",,,6","1979",",,,6"
"USC00126506","1937-08","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","186.4","1,6","5",",6","5",",6","2",",6","","","","","0","1,6","0","1,6","0",",6","31",",6","9",",6","","","14.4","1,6,13,","","","","","39.9",",,6,09,","34.4",",6,18,","1581.6",",,,6","5.3","","0.0",",6","","","","","102.4",",,,6","","","24.52","1,6","30.49",",,,6","18.55","1,,,6","2001",",,,6"
"USC00126506","1937-09","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","63.7","2,6","7",",6","5",",6","1",",6","","","","","0","2,6","0","2,6","0",",6","21",",6","3",",6","","","1.7","2,6,17,","","","","","58.7",",,6,11,","34.4",",6,01,","1080.8",",,,6","78.7","","73.4",",6","","","","","86.9",",,,6","","","17.87","2,6","24.56",",,,6","11.19","2,,,6","1907",",,,6"
"USC00126506","1938-04","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","12.0","1,6","6",",6","5",",6","1",",6","","","","","0",",6","8",",6","0","1,6","13","1,6","0","1,6","","","-2.8",",6,03,","","","","","37.3",",,6,07,","28.9","1,6,27,","1332.4",",,,6","","","187.9","1,6","","","","","93.1",",,,6","","","12.16","1,6","17.96","1,,,6","6.35",",,,6","4433",",,,6"
"USC00126506","1938-05","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","34.2","2,6","15",",6","12",",6","1",",6","","","","","0","2,6","0","2,6","0",",6","21",",6","0",",6","","","1.1","2,6,13,+","","","","","35.6",",,6,18,","30.0",",6,04,","1378.8",",,,6","","","80.6",",6","","","","","129.0",",,,6","","","16.73","2,6","22.67",",,,6","10.79","2,,,6","3187",",,,6"
"USC00126506","1938-06","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","90.4",",6","9",",6","6",",6","3",",6","","","","","0",",6","0",",6","0",",6","30",",6","1",",6","","","8.9",",6,13,","","","","","94.0",",,6,26,","32.2",",6,24,","1446.4",",,,6","","","3.8",",6","","","","","190.1",",,,6","","","21.22",",6","26.47",",,,6","15.97",",,,6","2254",",,,6"
"USC00126506","1938-07","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","178.7",",6","7",",6","5",",6","3",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","14.4",",6,19,+","","","","","97.3",",,6,02,","34.4",",6,12,","1731.3",",,,6","0.0","","0.0",",6","","","","","194.9",",,,6","","","24.10",",6","30.54",",,,6","17.65",",,,6","1658",",,,6"
"USC00126506","1938-08","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","178.9",",6","9",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","12.8",",6,19,","","","","","35.3",",,6,21,","34.4",",6,10,","1602.8",",,,6","0.0","","0.0",",6","","","","","85.9",",,,6","","","24.10",",6","30.42",",,,6","17.79",",,,6","1599",",,,6"
"USC00126506","1938-09","39.9","-85.98333","242.3","OAKLANDON GEIST RESERVOIR, IN US","","","89.6",",6","7",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","5",",6","","","5.6",",6,30,+","","","","","20.6",",,6,11,","35.0",",6,09,","1163.2",",,,6","37.4","","37.4",",6","","","","","50.1",",,,6","","","20.07",",6","27.09",",,,6","13.06",",,,6","1782",",,,6"
