"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SUM00062805","1990-02","11.786","34.337","482.2","DAMAZIN, SU","","","0","5,S","0","5,S","","","","","","","14.5","5,S,28,","","","","","","","","","17.56","5,,,S"
"SUM00062805","1990-10","11.786","34.337","482.2","DAMAZIN, SU","273.5","5,S","0","3,S","0","3,S","0","4,S","27","4,S","27","4,S","18.5","3,S,01,","39.0","4,S,30,","0.0","4,S","28.80","5,S","35.90","4,,,S","21.70","3,,,S"
"SUM00062805","1990-11","11.786","34.337","482.2","DAMAZIN, SU","","","0","5,S","0","5,S","","","","","","","18.0","5,S,24,","","","","","","","","","20.98","5,,,S"
"SUM00062805","1991-11","11.786","34.337","482.2","DAMAZIN, SU","","","0","3,S","0","3,S","0","5,S","25","5,S","25","5,S","17.0","3,S,24,+","39.6","5,S,04,","","","28.22","6,S","37.74","5,,,S","18.71","3,,,S"
"SUM00062805","1992-03","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","26","5,S","26","5,S","","","43.6","5,S,30,","","","","","39.64","5,,,S","",""
"SUM00062805","1992-04","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","25","5,S","25","5,S","","","43.5","5,S,15,+","","","","","41.42","5,,,S","",""
"SUM00062805","1999-10","11.786","34.337","482.2","DAMAZIN, SU","","","0","5,S","0","5,S","","","","","","","19.0","5,S,07,","","","","","","","","","20.72","5,,,S"
"SUM00062805","2007-09","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","25","5,S","17","5,S","","","39.5","5,S,02,","","","","","33.36","5,,,S","",""
"SUM00062805","2008-03","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","3,S","28","3,S","28","3,S","","","43.2","3,S,26,","","","","","41.37","3,,,S","",""
"SUM00062805","2008-10","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","26","5,S","24","5,S","","","39.5","5,S,08,","","","","","35.10","5,,,S","",""
"SUM00062805","2008-11","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","25","5,S","25","5,S","","","39.2","5,S,15,","","","","","37.42","5,,,S","",""
"SUM00062805","2013-11","11.786","34.337","482.2","DAMAZIN, SU","","","","","","","0","5,S","25","5,S","25","5,S","","","38.5","5,S,29,+","","","","","36.54","5,,,S","",""
