"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"KSM00047101","1973-02","37.9","127.733","78.0","CHUNCHEON, KS","3","2,S","0","2,S","0","2,S","","","2","2,S","0","2,S","0","2,S","","","1.3","2,,S,22,","12.0","2,S,18,+","1.9","2,,,S","5.96","2,,,S"
"KSM00047101","1973-03","37.9","127.733","78.0","CHUNCHEON, KS","3","2,S","1","2,S","0","2,S","","","0","1,S","1","1,S","0","1,S","","","5.1","2,,S,27,","22.0","1,S,30,","5.9","2,,,S","10.93","1,,,S"
"KSM00047101","1973-04","37.9","127.733","78.0","CHUNCHEON, KS","6","5,S","1","5,S","0","5,S","","","0","4,S","7","4,S","0","4,S","","","9.9","5,,S,24,","29.0","4,S,30,","14.9","5,,,S","18.19","4,,,S"
"KSM00047101","1973-05","37.9","127.733","78.0","CHUNCHEON, KS","5","5,S","3","5,S","0","5,S","","","0","2,S","25","2,S","0","2,S","","","24.1","5,,S,07,","28.0","2,S,14,","30.9","5,,,S","23.55","2,,,S"
"KSM00047101","1973-07","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","4,S","27","4,S","12","4,S","","","","","35.0","4,S,25,+","","","32.04","4,,,S"
"KSM00047101","1973-08","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","5,S","26","5,S","7","5,S","","","","","35.0","5,S,16,","","","30.23","5,,,S"
"KSM00047101","1973-09","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","2,S","25","2,S","0","2,S","","","","","28.0","2,S,17,+","","","25.07","2,,,S"
"KSM00047101","1973-10","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","4,S","2","4,S","0","4,S","","","","","24.0","4,S,11,","","","17.78","4,,,S"
"KSM00047101","1973-11","37.9","127.733","78.0","CHUNCHEON, KS","3","5,S","0","5,S","0","5,S","","","1","3,S","0","3,S","0","3,S","","","0.5","5,,S,27,","15.0","3,S,07,+","1.1","5,,,S","8.70","3,,,S"
"KSM00047101","1973-12","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","13","2,S","0","2,S","0","2,S","","","","","6.0","2,S,21,+","","","1.17","2,,,S"
"KSM00047101","1974-01","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","7","2,S","0","2,S","0","2,S","","","","","7.0","2,S,08,","","","1.69","2,,,S"
"KSM00047101","1974-02","37.9","127.733","78.0","CHUNCHEON, KS","2","5,S","0","5,S","0","5,S","","","9","2,S","0","2,S","0","2,S","","","0.5","5,,S,05,","13.0","2,S,18,","0.8","5,,,S","2.92","2,,,S"
"KSM00047101","1974-03","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","2","1,S","0","1,S","0","1,S","","","","","20.0","1,S,30,","","","9.27","1,,,S"
"KSM00047101","1974-04","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","5,S","1","5,S","0","5,S","","","","","24.0","5,S,06,","","","16.44","5,,,S"
"KSM00047101","1974-05","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","1,S","23","1,S","0","1,S","","","","","31.0","1,S,29,+","","","23.60","1,,,S"
"KSM00047101","1974-06","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","5,S","22","5,S","0","5,S","","","","","32.0","5,S,26,","","","26.20","5,,,S"
"KSM00047101","1974-08","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","3,S","28","3,S","6","3,S","","","","","35.0","3,S,20,","","","29.82","3,,,S"
"KSM00047101","1974-09","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","3,S","26","3,S","0","3,S","","","","","29.0","3,S,12,+","","","25.85","3,,,S"
"KSM00047101","1974-10","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","5,S","4","5,S","0","5,S","","","","","23.0","5,S,06,+","","","17.88","5,,,S"
"KSM00047101","1975-01","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","7","4,S","0","4,S","0","4,S","","","","","8.0","4,S,08,","","","1.93","4,,,S"
"KSM00047101","1975-02","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","2","3,S","0","3,S","0","3,S","","","","","10.0","3,S,03,","","","4.28","3,,,S"
"KSM00047101","1975-03","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","15.0","4,S,28,+","","","10.11","4,,,S"
"KSM00047101","1975-04","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","3,S","13","3,S","0","3,S","","","","","29.0","3,S,30,","","","19.78","3,,,S"
"KSM00047101","1975-05","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","3,S","20","3,S","0","3,S","","","","","28.0","3,S,27,+","","","23.14","3,,,S"
"KSM00047101","1975-06","37.9","127.733","78.0","CHUNCHEON, KS","","","","","","","","","0","2,S","28","2,S","1","2,S","","","","","34.0","2,S,20,","","","26.50","2,,,S"
